Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,62,1,62,11.76470588235294
relator,56,2,118,22.39089184060721
subkind,52,3,170,32.25806451612903
category,51,4,221,41.935483870967744
role,49,5,270,51.23339658444023
mode,34,6,304,57.685009487666036
quality,33,7,337,63.946869070208734
event,33,8,370,70.20872865275142
roleMixin,30,9,400,75.90132827324479
phase,26,10,426,80.83491461100569
collective,18,11,444,84.25047438330171
datatype,17,12,461,87.4762808349146
type,16,13,477,90.5123339658444
situation,14,14,491,93.16888045540796
mixin,11,15,502,95.2561669829222
phaseMixin,8,16,510,96.7741935483871
quantity,5,17,515,97.72296015180265
historicalRole,4,18,519,98.4819734345351
enumeration,4,19,523,99.24098671726756
historicalRoleMixin,3,20,526,99.81024667931689
abstract,1,21,527,100.0
