Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,phaseMixin,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.029413565187332777,0.14997428340994734,0.05669773329351241,-0.08801668681961315,0.1097444628715324,0.2541519834335276,-0.05336829436153786,0.2304170263526168,0.2366514085294431,-0.059314025937820425,-0.059863701139317285,0.18452775193025514,0.24410766142466192,0.13204231533889618,0.2036448223865168
collective,0.029413565187332777,1.0,0.06077373672730694,0.055110707513555186,0.1354864631242362,0.025556978646897693,0.03927562949192332,0.3517112109027646,0.10453025125088636,-0.07260617021627111,0.22626815908496908,0.04592292716443521,-0.025661707204758445,-0.2786717339183397,0.28016337905446725,0.00420964016902268
datatype,0.14997428340994734,0.06077373672730694,1.0,0.08563785744611009,0.03099006540266517,-0.14147971940609816,-0.05963271277766141,-0.019312567852757145,0.11796629683136625,0.1507583115457563,-0.09980839117598053,-0.044919039744087064,-0.06497094252871939,0.22553892069666878,0.04778260585100148,0.09980839117598053
event,0.05669773329351241,0.055110707513555186,0.08563785744611009,1.0,-0.198482094646197,-0.15176909315787326,0.14512508966242518,0.04529812543430685,-0.0543155118283426,0.11515151515151516,-0.051039174580310834,-0.09496202694374643,0.19234987159632905,0.536304001977644,-0.05917770816372139,0.31717201346336016
kind,-0.08801668681961315,0.1354864631242362,0.03099006540266517,-0.198482094646197,1.0,0.05644679160957225,0.052516914298519596,0.3052338478336799,-0.115311332039411,0.12172106356755727,0.27044949022201503,0.5016590831917551,-0.153078414897136,-0.2107090987628963,0.46990278285718545,-0.3667558940571716
mixin,0.1097444628715324,0.025556978646897693,-0.14147971940609816,-0.15176909315787326,0.05644679160957225,1.0,0.06730014882714846,0.1532025970508513,-0.025188215477923954,0.07904640268639232,0.03803922395418824,0.20325039468018608,0.11514278057926748,-0.1079202164955997,-0.08468127268702454,0.05452288766766981
mode,0.2541519834335276,0.03927562949192332,-0.05963271277766141,0.14512508966242518,0.052516914298519596,0.06730014882714846,1.0,0.02415622876811428,0.19991006215410542,0.2554806265932276,0.16277355542547303,0.10122536019104245,0.16897624559750224,-0.03630962895541186,0.08097417620232503,0.23552151315752803
phase,-0.05336829436153786,0.3517112109027646,-0.019312567852757145,0.04529812543430685,0.3052338478336799,0.1532025970508513,0.02415622876811428,1.0,0.18540600608604457,0.04529812543430685,0.06295302240270342,0.2142053172645568,-0.06320251114885667,-0.08490780809508193,0.34338592604522516,-0.13154362890117136
phaseMixin,0.2304170263526168,0.10453025125088636,0.11796629683136625,-0.0543155118283426,-0.115311332039411,-0.025188215477923954,0.19991006215410542,0.18540600608604457,1.0,0.12190814877028006,-0.02613806382589961,-0.13966036203020538,0.33088171181747916,-0.05950766528442286,0.018857036045412785,0.34415117370767817
quality,0.2366514085294431,-0.07260617021627111,0.1507583115457563,0.11515151515151516,0.12172106356755727,0.07904640268639232,0.2554806265932276,0.04529812543430685,0.12190814877028006,1.0,0.2150936643027385,0.1420372197876549,0.024522692793157486,0.1867487149743582,0.18767787446208783,0.1841055940218355
relator,-0.059314025937820425,0.22626815908496908,-0.09980839117598053,-0.051039174580310834,0.27044949022201503,0.03803922395418824,0.16277355542547303,0.06295302240270342,-0.02613806382589961,0.2150936643027385,1.0,0.13963352382703062,0.10602433716236774,-0.1624544715704938,0.26850574048109455,-0.19956140350877194
role,-0.059863701139317285,0.04592292716443521,-0.044919039744087064,-0.09496202694374643,0.5016590831917551,0.20325039468018608,0.10122536019104245,0.2142053172645568,-0.13966036203020538,0.1420372197876549,0.13963352382703062,1.0,0.027093815217750148,-0.19392011513454485,0.04619216557802341,-0.21091497305341692
roleMixin,0.18452775193025514,-0.025661707204758445,-0.06497094252871939,0.19234987159632905,-0.153078414897136,0.11514278057926748,0.16897624559750224,-0.06320251114885667,0.33088171181747916,0.024522692793157486,0.10602433716236774,0.027093815217750148,1.0,0.15887624588013344,-0.11117203731578339,0.2977900948125633
situation,0.24410766142466192,-0.2786717339183397,0.22553892069666878,0.536304001977644,-0.2107090987628963,-0.1079202164955997,-0.03630962895541186,-0.08490780809508193,-0.05950766528442286,0.1867487149743582,-0.1624544715704938,-0.19392011513454485,0.15887624588013344,1.0,-0.0908397581771155,0.07834683735314595
subkind,0.13204231533889618,0.28016337905446725,0.04778260585100148,-0.05917770816372139,0.46990278285718545,-0.08468127268702454,0.08097417620232503,0.34338592604522516,0.018857036045412785,0.18767787446208783,0.26850574048109455,0.04619216557802341,-0.11117203731578339,-0.0908397581771155,1.0,-0.12001392945745894
type,0.2036448223865168,0.00420964016902268,0.09980839117598053,0.31717201346336016,-0.3667558940571716,0.05452288766766981,0.23552151315752803,-0.13154362890117136,0.34415117370767817,0.1841055940218355,-0.19956140350877194,-0.21091497305341692,0.2977900948125633,0.07834683735314595,-0.12001392945745894,1.0
