Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,2,4,0.05263157894736842
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,2,4,0.05263157894736842
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,17,1,0.4473684210526316
mixin,0,12,0.0
mode,1,8,0.02631578947368421
phase,1,8,0.02631578947368421
phaseMixin,0,12,0.0
quality,1,8,0.02631578947368421
quantity,0,12,0.0
relator,2,4,0.05263157894736842
role,3,3,0.07894736842105263
roleMixin,2,4,0.05263157894736842
situation,0,12,0.0
subkind,6,2,0.15789473684210525
type,0,12,0.0
none,1,8,0.02631578947368421
other,0,12,0.0
