Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.0136986301369863,1,0.0136986301369863,0.00032216494845360824,0.0018115942028985507
category,214,2.9315068493150687,51,0.6986301369863014,0.06894329896907217,0.09239130434782608
collective,33,0.4520547945205479,18,0.2465753424657534,0.010631443298969073,0.03260869565217391
datatype,64,0.8767123287671232,17,0.2328767123287671,0.020618556701030927,0.030797101449275364
enumeration,38,0.5205479452054794,4,0.0547945205479452,0.012242268041237113,0.007246376811594203
event,208,2.8493150684931505,33,0.4520547945205479,0.06701030927835051,0.059782608695652176
historicalRole,23,0.3150684931506849,4,0.0547945205479452,0.007409793814432989,0.007246376811594203
historicalRoleMixin,9,0.1232876712328767,3,0.0410958904109589,0.0028994845360824743,0.005434782608695652
kind,510,6.986301369863014,63,0.863013698630137,0.1643041237113402,0.11413043478260869
mixin,14,0.1917808219178082,11,0.1506849315068493,0.004510309278350515,0.019927536231884056
mode,124,1.6986301369863013,34,0.4657534246575342,0.03994845360824742,0.06159420289855073
phase,153,2.095890410958904,27,0.3698630136986301,0.04929123711340206,0.04891304347826087
phaseMixin,20,0.273972602739726,8,0.1095890410958904,0.006443298969072165,0.014492753623188406
quality,149,2.041095890410959,33,0.4520547945205479,0.04800257731958763,0.059782608695652176
quantity,6,0.0821917808219178,5,0.0684931506849315,0.0019329896907216496,0.009057971014492754
relator,227,3.1095890410958904,57,0.7808219178082192,0.07313144329896908,0.10326086956521739
role,313,4.287671232876712,50,0.684931506849315,0.10083762886597938,0.09057971014492754
roleMixin,177,2.4246575342465753,30,0.410958904109589,0.05702319587628866,0.05434782608695652
situation,56,0.7671232876712328,14,0.1917808219178082,0.01804123711340206,0.025362318840579712
subkind,535,7.328767123287672,53,0.726027397260274,0.1723582474226804,0.09601449275362318
type,66,0.9041095890410958,16,0.2191780821917808,0.021262886597938145,0.028985507246376812
none,124,1.6986301369863013,11,0.1506849315068493,0.03994845360824742,0.019927536231884056
other,40,0.547945205479452,9,0.1232876712328767,0.01288659793814433,0.016304347826086956
