Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abstract,0.07237778951611722,0.07237778951611716,0.003909478922759793,0.0036603991958101337,0.0007774488964508511,0.05338745580214585,0.0007774488964508511,0.053387455802146114,0.02784587535290503,0.0022541435130529197,0.026473720052533366,0.006382005970446664,0.07237778951611722,0.03305156721448864,0.0009789066013148884,0.02113578212839993,0.016029392358754335,0.07237778951611698,0.0533874558021461,0.0179900516131384,0.053387455802146114,0.07237778951611722,0.0018157405797826556
category,0.07237778951611716,2.091880385729296,0.3106434566105254,0.4269014057356573,0.09178769495935543,0.7160582016096576,0.12294406888467743,0.10687070800038774,0.9942407933118215,0.12293065487369331,0.5687607003016265,0.4701648838472396,0.2205562875730644,0.6385437162296125,0.0846684111956457,0.5723710253333751,0.7399265737907847,0.5869852765240264,0.38622396271073356,1.0250536779484687,0.5070057325765552,0.3648887703570377,0.1953271688237364
collective,0.003909478922759793,0.3106434566105254,0.845577719505968,0.14098719952316374,0.06413723315885486,0.20311985910578773,0.07286979130811991,0.045602827029630234,0.4011485173432541,0.028467383158743004,0.17895228196834478,0.2752839532480716,0.062167480691091744,0.12784624255976357,0.04449243403810194,0.24654935022913785,0.2739183515191125,0.08942164723881095,0.06139670630802465,0.47631828985455615,0.13922790012866734,0.06487020932004253,0.06557480613858305
datatype,0.0036603991958101337,0.4269014057356573,0.14098719952316374,0.9368990209906689,0.1853672435006612,0.2866057667526353,0.04868431515102482,0.03422574284487065,0.42305973070734065,0.06855966573034802,0.1923912248642494,0.24793973708314884,0.14936100904307278,0.22357464599469956,0.021515633435027368,0.2729227116670068,0.30188371417133236,0.2381112654371668,0.1786862774336121,0.4448083539488032,0.1835397450516926,0.1389310009937443,0.11032287863439688
enumeration,0.0007774488964508511,0.09178769495935543,0.06413723315885486,0.1853672435006612,0.2883587724194743,0.10016070779577368,0.0031782755154396436,0.0023662522864455818,0.17536500943759273,0.009226755144085663,0.06751544374671442,0.13828563192467966,0.07667602350960159,0.1109091463932314,0.043965731498459025,0.12696988948758198,0.1504460329729021,0.10024563777447035,0.04648169533783014,0.19140443356647394,0.1316890266673737,0.00922675514408558,0.007429408012721503
event,0.05338745580214585,0.7160582016096576,0.20311985910578773,0.2866057667526353,0.10016070779577368,1.8027585847865397,0.21239743756359028,0.15242111004456443,0.8713772276634248,0.08607378494667427,0.49955892253744805,0.466530621673857,0.12762858527257215,0.5742159270810988,0.13681011306345714,0.6235660108304394,0.6172020913307091,0.6053356132300668,0.5512152962904959,0.782180607231059,0.5117285564029639,0.24611829246654948,0.21119735103822662
historicalRole,0.0007774488964508511,0.12294406888467743,0.07286979130811991,0.04868431515102482,0.0031782755154396436,0.21239743756359028,0.2883587724194743,0.07356067044330368,0.21239743756359034,0.009226755144085663,0.035732443009519235,0.05701752061993883,0.006552377506537338,0.07108811623309677,0.15998888836275865,0.1443954478435833,0.1451686608569708,0.13514224179600434,0.14971785565415788,0.12192551083655823,0.0822110497879874,0.05967497730333576,0.07732847624896769
historicalRoleMixin,0.053387455802146114,0.10687070800038774,0.045602827029630234,0.03422574284487065,0.0023662522864455818,0.15242111004456443,0.07356067044330368,0.1975695602638013,0.0982083984301429,0.006866432575605055,0.02461149859172592,0.019492780776743164,0.09598057688472394,0.030477528442244814,0.04315370826946494,0.09599946517855668,0.0674535511370005,0.10635006010207317,0.03993830978451388,0.08951539822340648,0.14430508795132432,0.05754684602449095,0.005529597807265814
kind,0.02784587535290503,0.9942407933118215,0.4011485173432541,0.42305973070734065,0.17536500943759273,0.8713772276634248,0.21239743756359034,0.0982083984301429,2.7500679046878074,0.15459600776039265,0.6700089980656244,0.755041420315288,0.19649088457157823,0.7663474460706183,0.1425521045204774,1.0534259973767952,1.2175202918723456,0.6562271754818557,0.38676711122168367,1.524150744403915,0.4124142650051179,0.3841312160643577,0.30052727028474785
mixin,0.0022541435130529197,0.12293065487369331,0.028467383158743004,0.06855966573034802,0.009226755144085663,0.08607378494667427,0.009226755144085663,0.006866432575605055,0.15459600776039265,0.5121895634464909,0.11409059052733653,0.1806711034846753,0.027245264718287546,0.17611703727820355,0.011624734871656911,0.17947700802006408,0.22409859218787428,0.13074211058684804,0.02643177178462553,0.2243377991269264,0.05073337069437369,0.09780758143661314,0.021618649510689564
mode,0.026473720052533366,0.5687607003016265,0.17895228196834478,0.1923912248642494,0.06751544374671442,0.49955892253744805,0.035732443009519235,0.02461149859172592,0.6700089980656244,0.11409059052733653,1.589567804266064,0.31267988689422344,0.1492973761060052,0.466922678701301,0.045707014355891404,0.48716261578475456,0.5774763407950237,0.3571997236842799,0.16233496244674753,0.7688192361690803,0.3219535887172793,0.23017434628262948,0.1342346162140071
phase,0.006382005970446664,0.4701648838472396,0.2752839532480716,0.24793973708314884,0.13828563192467966,0.466530621673857,0.05701752061993883,0.019492780776743164,0.755041420315288,0.1806711034846753,0.31267988689422344,1.513613295408774,0.1819140508513865,0.47290377332166933,0.07540107599673071,0.6088562049719675,0.7625536407144908,0.3426257092327073,0.16241669977567993,0.8903071084312447,0.19619586150937146,0.16407201661338533,0.2457932812487907
phaseMixin,0.07237778951611722,0.2205562875730644,0.062167480691091744,0.14936100904307278,0.07667602350960159,0.12762858527257215,0.006552377506537338,0.09598057688472394,0.19649088457157823,0.027245264718287546,0.1492973761060052,0.1819140508513865,0.4785876007536533,0.1407580832223564,0.00825364988995752,0.13834778739023842,0.16170400891057574,0.24475496714291758,0.0735895407574387,0.23559843243231496,0.1930172893044231,0.08752547911789559,0.06530790727461161
quality,0.03305156721448864,0.6385437162296125,0.12784624255976357,0.22357464599469956,0.1109091463932314,0.5742159270810988,0.07108811623309677,0.030477528442244814,0.7663474460706183,0.17611703727820355,0.466922678701301,0.47290377332166933,0.1407580832223564,1.639412247178134,0.07270553544440667,0.595364194065858,0.6925614151007087,0.42785942696411894,0.2717164556923801,0.984264798966051,0.2541495005160871,0.27262092774274477,0.16290928157677342
quantity,0.0009789066013148884,0.0846684111956457,0.04449243403810194,0.021515633435027368,0.043965731498459025,0.13681011306345714,0.15998888836275865,0.04315370826946494,0.1425521045204774,0.011624734871656911,0.045707014355891404,0.07540107599673071,0.00825364988995752,0.07270553544440667,0.28399777818325617,0.10778277993361929,0.15918146427869845,0.10402672001478533,0.12154328991935553,0.10515203004832452,0.09684038926574047,0.07430431678108881,0.06579969922145443
relator,0.02113578212839993,0.5723710253333751,0.24654935022913785,0.2729227116670068,0.12696988948758198,0.6235660108304394,0.1443954478435833,0.09599946517855668,1.0534259973767952,0.17947700802006408,0.48716261578475456,0.6088562049719675,0.13834778739023842,0.595364194065858,0.10778277993361929,2.0940945886523568,0.8572091133870742,0.5953683862034915,0.22017882751058665,1.1712265691942223,0.34220797828672317,0.22217962335950658,0.21055433530673556
role,0.016029392358754335,0.7399265737907847,0.2739183515191125,0.30188371417133236,0.1504460329729021,0.6172020913307091,0.1451686608569708,0.0674535511370005,1.2175202918723456,0.22409859218787428,0.5774763407950237,0.7625536407144908,0.16170400891057574,0.6925614151007087,0.15918146427869845,0.8572091133870742,2.278127456163823,0.5623750177208622,0.29212032231720725,1.1852946725818934,0.310573638926053,0.4328265794265496,0.28402156019585384
roleMixin,0.07237778951611698,0.5869852765240264,0.08942164723881095,0.2381112654371668,0.10024563777447035,0.6053356132300668,0.13514224179600434,0.10635006010207317,0.6562271754818557,0.13074211058684804,0.3571997236842799,0.3426257092327073,0.24475496714291758,0.42785942696411894,0.10402672001478533,0.5953683862034915,0.5623750177208622,1.5343440602924938,0.30444047250262046,0.6500076319925052,0.4717566652588723,0.27549699750732165,0.13054441021242488
situation,0.0533874558021461,0.38622396271073356,0.06139670630802465,0.1786862774336121,0.04648169533783014,0.5512152962904959,0.14971785565415788,0.03993830978451388,0.38676711122168367,0.02643177178462553,0.16233496244674753,0.16241669977567993,0.0735895407574387,0.2717164556923801,0.12154328991935553,0.22017882751058665,0.29212032231720725,0.30444047250262046,0.82054122224795,0.37932799917951776,0.2256294496732582,0.16431513109053814,0.14472173930381846
subkind,0.0179900516131384,1.0250536779484687,0.47631828985455615,0.4448083539488032,0.19140443356647394,0.782180607231059,0.12192551083655823,0.08951539822340648,1.524150744403915,0.2243377991269264,0.7688192361690803,0.8903071084312447,0.23559843243231496,0.984264798966051,0.10515203004832452,1.1712265691942223,1.1852946725818934,0.6500076319925052,0.37932799917951776,2.6467549391571352,0.4323122586675997,0.3300965995373938,0.31806263516229794
type,0.053387455802146114,0.5070057325765552,0.13922790012866734,0.1835397450516926,0.1316890266673737,0.5117285564029639,0.0822110497879874,0.14430508795132432,0.4124142650051179,0.05073337069437369,0.3219535887172793,0.19619586150937146,0.1930172893044231,0.2541495005160871,0.09684038926574047,0.34220797828672317,0.310573638926053,0.4717566652588723,0.2256294496732582,0.4323122586675997,0.9401918052992954,0.1565593508849606,0.03285956336743798
none,0.07237778951611722,0.3648887703570377,0.06487020932004253,0.1389310009937443,0.00922675514408558,0.24611829246654948,0.05967497730333576,0.05754684602449095,0.3841312160643577,0.09780758143661314,0.23017434628262948,0.16407201661338533,0.08752547911789559,0.27262092774274477,0.07430431678108881,0.22217962335950658,0.4328265794265496,0.27549699750732165,0.16431513109053814,0.3300965995373938,0.1565593508849606,0.7210832343001731,0.08699501113582225
other,0.0018157405797826556,0.1953271688237364,0.06557480613858305,0.11032287863439688,0.007429408012721503,0.21119735103822662,0.07732847624896769,0.005529597807265814,0.30052727028474785,0.021618649510689564,0.1342346162140071,0.2457932812487907,0.06530790727461161,0.16290928157677342,0.06579969922145443,0.21055433530673556,0.28402156019585384,0.13054441021242488,0.14472173930381846,0.31806263516229794,0.03285956336743798,0.08699501113582225,0.5991669178467018
