Stereotype,Stereotype2,Absolute Value,Sign,Classification
category,abstract,0.1723370006905391,positive,very_weak
collective,abstract,0.06776394638850643,negative,very_weak
datatype,abstract,0.06523638281838896,negative,very_weak
enumeration,abstract,0.028768996822298106,negative,very_weak
event,abstract,0.18066831247149368,positive,very_weak
historicalRole,abstract,0.028768996822298106,negative,very_weak
historicalRoleMixin,abstract,0.5772930008991324,positive,moderate
kind,abstract,0.1775746145354521,negative,very_weak
mixin,abstract,0.05025958336013739,negative,very_weak
mode,abstract,0.04649380604280389,positive,very_weak
phase,abstract,0.08638300166129438,negative,very_weak
phaseMixin,abstract,0.3716514914899744,positive,weak
quality,abstract,0.07794590311441509,positive,very_weak
quantity,abstract,0.032406971359748044,negative,very_weak
relator,abstract,0.1624072716100271,negative,very_weak
role,abstract,0.1425670771566306,negative,very_weak
roleMixin,abstract,0.1693314980877951,positive,very_weak
situation,abstract,0.2646073081458454,positive,weak
subkind,abstract,0.15045650649303058,negative,very_weak
type,abstract,0.25121068564386984,positive,weak
none,abstract,0.2782372268900765,positive,weak
other,abstract,0.0418683062513051,negative,very_weak
abstract,category,0.1723370006905391,positive,very_weak
collective,category,0.036532514643181226,positive,very_weak
datatype,category,0.15468036625940784,positive,very_weak
enumeration,category,0.04338042227774955,negative,very_weak
event,category,0.12202400465948475,positive,very_weak
historicalRole,category,0.01984643960940022,positive,very_weak
historicalRoleMixin,category,0.12314466906391783,positive,very_weak
kind,category,0.02011292635329883,positive,very_weak
mixin,category,0.040784969899910116,positive,very_weak
mode,category,0.21490689245858463,positive,weak
phase,category,0.21396378197382682,negative,weak
phaseMixin,category,0.16669705691816722,positive,very_weak
quality,category,0.2618834590013985,positive,weak
quantity,category,0.005992745636419119,positive,very_weak
relator,category,0.16505731479888064,negative,very_weak
role,category,0.19595538066677198,negative,very_weak
roleMixin,category,0.20323195292593058,positive,weak
situation,category,0.26616549818355745,positive,weak
subkind,category,0.07560718041885489,positive,very_weak
type,category,0.3604252393801203,positive,weak
none,category,0.14269461559149677,positive,very_weak
other,category,0.054494927335240056,negative,very_weak
abstract,collective,0.06776394638850643,negative,very_weak
category,collective,0.036532514643181226,positive,very_weak
datatype,collective,0.06917858373624426,positive,very_weak
enumeration,collective,0.10082047748878094,positive,very_weak
event,collective,0.030910426013043734,positive,very_weak
historicalRole,collective,0.13347499125169912,positive,very_weak
historicalRoleMixin,collective,0.05027168502199947,positive,very_weak
kind,collective,0.23842638453258116,positive,weak
mixin,collective,0.032753710798784544,positive,very_weak
mode,collective,0.025338050215309056,positive,very_weak
phase,collective,0.2836839833099101,positive,weak
phaseMixin,collective,0.0851533899572166,positive,very_weak
quality,collective,0.09720334098104719,negative,very_weak
quantity,collective,0.19771233506051109,positive,very_weak
relator,collective,0.19880110442718196,positive,very_weak
role,collective,0.08935898511196491,positive,very_weak
roleMixin,collective,0.07995364094866335,negative,very_weak
situation,collective,0.27848828797723213,negative,weak
subkind,collective,0.1329674163618262,positive,very_weak
type,collective,0.0211435343038412,positive,very_weak
none,collective,0.10268254665640306,negative,very_weak
other,collective,0.006081234912656709,negative,very_weak
abstract,datatype,0.06523638281838896,negative,very_weak
category,datatype,0.15468036625940784,positive,very_weak
collective,datatype,0.06917858373624426,positive,very_weak
enumeration,datatype,0.3315508346809177,positive,weak
event,datatype,0.08189937881365177,positive,very_weak
historicalRole,datatype,0.009471325764977785,positive,very_weak
historicalRoleMixin,datatype,0.04032065414253067,positive,very_weak
kind,datatype,0.03075872899773944,positive,very_weak
mixin,datatype,0.1325791122361655,negative,very_weak
mode,datatype,0.07295600235221705,negative,very_weak
phase,datatype,0.055319013016088575,negative,very_weak
phaseMixin,datatype,0.13422015379649557,positive,very_weak
quality,datatype,0.10155991915078562,positive,very_weak
quantity,datatype,0.045619255007153026,negative,very_weak
relator,datatype,0.0899688482583076,negative,very_weak
role,datatype,0.23960108226986182,negative,weak
roleMixin,datatype,0.05128606148599065,negative,very_weak
situation,datatype,0.17169340757216578,positive,very_weak
subkind,datatype,0.010511039458700912,negative,very_weak
type,datatype,0.1104496437626528,positive,very_weak
none,datatype,0.12116838427183887,positive,very_weak
other,datatype,0.08119813708789357,positive,very_weak
