Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,1063,1,1063,18.26774359855645
subkind,535,2,1598,27.46176318955147
kind,510,3,2108,36.22615569685513
mediation,395,4,2503,43.01426361917856
role,313,5,2816,48.39319470699433
characterization,279,6,3095,53.18783296098986
relator,227,7,3322,57.088846880907376
material,225,8,3547,60.955490634129575
category,214,9,3761,64.63309847052759
event,208,10,3969,68.20759580683966
roleMixin,177,11,4146,71.24935555937446
phase,153,12,4299,73.87867331156556
quality,149,13,4448,76.43925073036604
participation,131,14,4579,78.69049664890875
none_c,124,15,4703,80.82144698401788
mode,124,16,4827,82.952397319127
other_r,123,17,4950,85.06616257088847
componentOf,117,18,5067,87.07681732256401
type,66,19,5133,88.2110328235092
datatype,64,20,5197,89.31087815775906
externalDependence,63,21,5260,90.39353840866127
instantiation,61,22,5321,91.4418284928682
derivation,57,23,5378,92.42137824368449
situation,56,24,5434,93.38374291115312
creation,43,25,5477,94.12270149510226
other_c,40,26,5517,94.81010482900842
enumeration,38,27,5555,95.46313799621929
memberOf,36,28,5591,96.08180099673483
collective,33,29,5624,96.64890874720743
manifestation,31,30,5655,97.1816463309847
historicalDependence,30,31,5685,97.69719883141434
historicalRole,23,32,5708,98.09245574841037
bringsAbout,23,33,5731,98.48771266540642
phaseMixin,20,34,5751,98.83141433235951
mixin,14,35,5765,99.07200549922666
comparative,13,36,5778,99.29541158274617
triggers,13,37,5791,99.51881766626568
historicalRoleMixin,9,38,5800,99.67348341639457
participational,9,39,5809,99.82814916652346
quantity,6,40,5815,99.93125966660938
termination,3,41,5818,99.98281491665234
abstract,1,42,5819,100.0
subQuantityOf,0,43,5819,100.0
subCollectionOf,0,44,5819,100.0
