Stereotype,Stereotype2,Absolute Value,Sign,Classification
datatype,category,0.16198710742207031,positive,very_weak
event,category,0.13399140248020486,positive,very_weak
kind,category,0.037980626868866794,positive,very_weak
mode,category,0.22753540125716037,positive,weak
phase,category,0.23820272217849106,negative,weak
quality,category,0.27244345893871974,positive,weak
relator,category,0.15242812694918745,negative,very_weak
role,category,0.2071728250913787,negative,weak
roleMixin,category,0.21349657980983702,positive,weak
subkind,category,0.08159511460455032,positive,very_weak
type,category,0.3637713400039956,positive,weak
none_c,category,0.1471220330481153,positive,very_weak
characterization,category,0.38938659477276844,positive,weak
componentOf,category,0.25797796121245914,positive,weak
externalDependence,category,0.15152292244082713,positive,very_weak
instantiation,category,0.29132607963578216,positive,weak
material,category,0.06701008082725914,positive,very_weak
mediation,category,0.13233632940850895,negative,very_weak
participation,category,0.18272491584153677,positive,very_weak
none_r,category,0.16020405905121596,positive,very_weak
other_r,category,0.13651924139255622,negative,very_weak
category,datatype,0.16198710742207031,positive,very_weak
event,datatype,0.08781185633600828,positive,very_weak
kind,datatype,0.039561756591948126,positive,very_weak
mode,datatype,0.0657453868644784,negative,very_weak
phase,datatype,0.06898264864458371,negative,very_weak
quality,datatype,0.10786742893878934,positive,very_weak
relator,datatype,0.08546219875072317,negative,very_weak
role,datatype,0.2472939923385908,negative,weak
roleMixin,datatype,0.04521656152332192,negative,very_weak
subkind,datatype,0.007148438403026952,negative,very_weak
type,datatype,0.11378940763196137,positive,very_weak
none_c,datatype,0.12403048429458634,positive,very_weak
characterization,datatype,0.10445603273467656,negative,very_weak
componentOf,datatype,0.16358307238433045,positive,very_weak
externalDependence,datatype,0.045539456056783625,negative,very_weak
instantiation,datatype,0.08998612447162012,positive,very_weak
material,datatype,0.058898545473653904,positive,very_weak
mediation,datatype,0.026805484285735197,negative,very_weak
participation,datatype,0.07831963161640042,positive,very_weak
none_r,datatype,0.025118687409336687,negative,very_weak
other_r,datatype,0.06110696709974678,negative,very_weak
category,event,0.13399140248020486,positive,very_weak
datatype,event,0.08781185633600828,positive,very_weak
kind,event,0.20833708397319356,negative,weak
mode,event,0.1383985841908456,positive,very_weak
phase,event,0.040452099814539545,positive,very_weak
quality,event,0.21048550550737183,positive,weak
relator,event,0.054845999513627154,positive,very_weak
role,event,0.17750015475551678,negative,very_weak
roleMixin,event,0.24645555641059974,positive,weak
subkind,event,0.023613120534687674,negative,very_weak
type,event,0.36474510229148477,positive,weak
none_c,event,0.021393456110571814,negative,very_weak
characterization,event,0.27702459910862265,positive,weak
componentOf,event,0.02626745632650415,negative,very_weak
externalDependence,event,0.29669582807782635,positive,weak
instantiation,event,0.37453741268707264,positive,weak
material,event,0.048783993911879465,negative,very_weak
mediation,event,0.032540122051895416,negative,very_weak
participation,event,0.7550889517784977,positive,strong
none_r,event,0.053613646259333216,positive,very_weak
other_r,event,0.21890339678966272,positive,weak
category,kind,0.037980626868866794,positive,very_weak
datatype,kind,0.039561756591948126,positive,very_weak
event,kind,0.20833708397319356,negative,weak
mode,kind,0.018317195033651056,negative,very_weak
phase,kind,0.2710807562344187,positive,weak
quality,kind,0.18644932902853764,positive,very_weak
relator,kind,0.4018013441540947,positive,moderate
role,kind,0.2813041316191212,positive,weak
roleMixin,kind,0.264130201046061,negative,weak
subkind,kind,0.5427478484698994,positive,moderate
type,kind,0.29065301467862137,negative,weak
none_c,kind,0.07210545054850992,negative,very_weak
characterization,kind,0.044890205887869156,negative,very_weak
componentOf,kind,0.37520573450041567,positive,weak
externalDependence,kind,0.26794639987956864,negative,weak
instantiation,kind,0.2245859311705355,negative,weak
material,kind,0.23535827566102951,positive,weak
mediation,kind,0.25176467215636217,positive,weak
participation,kind,0.2492563563386348,negative,weak
none_r,kind,0.09462095335844564,positive,very_weak
other_r,kind,0.04894913757180253,negative,very_weak
category,mode,0.22753540125716037,positive,weak
datatype,mode,0.0657453868644784,negative,very_weak
event,mode,0.1383985841908456,positive,very_weak
kind,mode,0.018317195033651056,negative,very_weak
phase,mode,0.05305472459800826,negative,very_weak
quality,mode,0.22910852256613215,positive,weak
relator,mode,0.04163867002353209,positive,very_weak
role,mode,0.07839805905126551,positive,very_weak
roleMixin,mode,0.08375567034333632,positive,very_weak
subkind,mode,0.11088088174551904,positive,very_weak
type,mode,0.2483051036268581,positive,weak
none_c,mode,0.056131433473725616,positive,very_weak
characterization,mode,0.5752778487856707,positive,moderate
componentOf,mode,0.21959833211762883,positive,weak
externalDependence,mode,0.3998606088959188,positive,weak
instantiation,mode,0.2134447297569504,positive,weak
material,mode,0.13376072006430711,positive,very_weak
mediation,mode,0.10106580880954959,positive,very_weak
participation,mode,0.024692469363899915,positive,very_weak
none_r,mode,0.007060785631394209,negative,very_weak
other_r,mode,0.006537523004852015,positive,very_weak
category,phase,0.23820272217849106,negative,weak
datatype,phase,0.06898264864458371,negative,very_weak
event,phase,0.040452099814539545,positive,very_weak
kind,phase,0.2710807562344187,positive,weak
mode,phase,0.05305472459800826,negative,very_weak
quality,phase,0.086336074726295,positive,very_weak
relator,phase,0.2542187561033871,positive,weak
role,phase,0.3437260643021576,positive,weak
roleMixin,phase,0.07864310218019699,negative,very_weak
subkind,phase,0.29103422347377633,positive,weak
type,phase,0.1234754756278502,negative,very_weak
none_c,phase,0.0942769413678023,negative,very_weak
characterization,phase,0.031400113086874785,negative,very_weak
componentOf,phase,0.11916063980320808,positive,very_weak
externalDependence,phase,0.16407310405249548,negative,very_weak
instantiation,phase,0.07197872023238433,negative,very_weak
material,phase,0.09626458969533042,positive,very_weak
mediation,phase,0.3269220361593688,positive,weak
participation,phase,0.11582819369342472,negative,very_weak
none_r,phase,0.14843114746023642,negative,very_weak
other_r,phase,0.01803852444019437,negative,very_weak
category,quality,0.27244345893871974,positive,weak
datatype,quality,0.10786742893878934,positive,very_weak
event,quality,0.21048550550737183,positive,weak
kind,quality,0.18644932902853764,positive,very_weak
mode,quality,0.22910852256613215,positive,weak
phase,quality,0.086336074726295,positive,very_weak
relator,quality,0.20170439242468827,positive,weak
role,quality,0.03954358512868097,positive,very_weak
roleMixin,quality,0.011995405142600436,positive,very_weak
subkind,quality,0.36731326606594883,positive,weak
type,quality,0.12513085661869283,positive,very_weak
none_c,quality,0.19124573038116946,positive,very_weak
characterization,quality,0.6239698453871515,positive,strong
componentOf,quality,0.12296801816993366,positive,very_weak
externalDependence,quality,0.0470106567215789,positive,very_weak
instantiation,quality,0.149286309728383,positive,very_weak
material,quality,0.09398041403689651,positive,very_weak
mediation,quality,0.12430426619843611,positive,very_weak
participation,quality,0.2355400241251168,positive,weak
none_r,quality,0.09524918577838838,negative,very_weak
other_r,quality,0.11250631843299533,negative,very_weak
category,relator,0.15242812694918745,negative,very_weak
datatype,relator,0.08546219875072317,negative,very_weak
event,relator,0.054845999513627154,positive,very_weak
kind,relator,0.4018013441540947,positive,moderate
mode,relator,0.04163867002353209,positive,very_weak
phase,relator,0.2542187561033871,positive,weak
quality,relator,0.20170439242468827,positive,weak
role,relator,0.3609971042419954,positive,weak
roleMixin,relator,0.0888664820979932,positive,very_weak
subkind,relator,0.3831431379153233,positive,weak
type,relator,0.011614938000824462,negative,very_weak
none_c,relator,0.1558690103850064,negative,very_weak
characterization,relator,0.16628933123770007,positive,very_weak
componentOf,relator,0.3427776331134576,positive,weak
externalDependence,relator,0.04057836046643945,positive,very_weak
instantiation,relator,0.0155430271846793,positive,very_weak
material,relator,0.18691430414134605,positive,very_weak
mediation,relator,0.7700029797169305,positive,strong
participation,relator,0.03265362541369229,negative,very_weak
none_r,relator,0.12130823646469321,negative,very_weak
other_r,relator,0.0763082886246698,positive,very_weak
category,role,0.2071728250913787,negative,weak
datatype,role,0.2472939923385908,negative,weak
event,role,0.17750015475551678,negative,very_weak
kind,role,0.2813041316191212,positive,weak
mode,role,0.07839805905126551,positive,very_weak
phase,role,0.3437260643021576,positive,weak
quality,role,0.03954358512868097,positive,very_weak
relator,role,0.3609971042419954,positive,weak
roleMixin,role,0.0062456798749614606,positive,very_weak
subkind,role,0.10260333447539254,positive,very_weak
type,role,0.23809424431610557,negative,weak
none_c,role,0.026947060177442923,negative,very_weak
characterization,role,0.021184257617548857,positive,very_weak
componentOf,role,0.07257153817904052,positive,very_weak
externalDependence,role,0.06921053962960443,positive,very_weak
instantiation,role,0.220704941722592,negative,weak
material,role,0.007880427213651764,negative,very_weak
mediation,role,0.44940732482300016,positive,moderate
participation,role,0.31970110012424785,negative,weak
none_r,role,0.06212758718487909,negative,very_weak
other_r,role,0.12073646383305311,negative,very_weak
category,roleMixin,0.21349657980983702,positive,weak
datatype,roleMixin,0.04521656152332192,negative,very_weak
event,roleMixin,0.24645555641059974,positive,weak
kind,roleMixin,0.264130201046061,negative,weak
mode,roleMixin,0.08375567034333632,positive,very_weak
phase,roleMixin,0.07864310218019699,negative,very_weak
quality,roleMixin,0.011995405142600436,positive,very_weak
relator,roleMixin,0.0888664820979932,positive,very_weak
role,roleMixin,0.0062456798749614606,positive,very_weak
subkind,roleMixin,0.1784439774706017,negative,very_weak
type,roleMixin,0.3953641677270425,positive,weak
none_c,roleMixin,0.10415175192049562,positive,very_weak
characterization,roleMixin,0.1731631814080602,positive,very_weak
componentOf,roleMixin,0.0626308518670433,positive,very_weak
externalDependence,roleMixin,0.40423266235527816,positive,moderate
instantiation,roleMixin,0.41981372321679006,positive,moderate
material,roleMixin,0.035113683342299855,negative,very_weak
mediation,roleMixin,0.1285270627591153,positive,very_weak
participation,roleMixin,0.20385414061490273,positive,weak
none_r,roleMixin,0.1237177202177039,positive,very_weak
other_r,roleMixin,0.11846438194066423,positive,very_weak
category,subkind,0.08159511460455032,positive,very_weak
datatype,subkind,0.007148438403026952,negative,very_weak
event,subkind,0.023613120534687674,negative,very_weak
kind,subkind,0.5427478484698994,positive,moderate
mode,subkind,0.11088088174551904,positive,very_weak
phase,subkind,0.29103422347377633,positive,weak
quality,subkind,0.36731326606594883,positive,weak
relator,subkind,0.3831431379153233,positive,weak
role,subkind,0.10260333447539254,positive,very_weak
roleMixin,subkind,0.1784439774706017,negative,very_weak
type,subkind,0.09978568259227953,negative,very_weak
none_c,subkind,0.17478274526017096,negative,very_weak
characterization,subkind,0.17971504611767886,positive,very_weak
componentOf,subkind,0.2855614991336252,positive,weak
externalDependence,subkind,0.06274831547088379,negative,very_weak
instantiation,subkind,0.06332422232938277,negative,very_weak
material,subkind,0.18814742913088467,positive,very_weak
mediation,subkind,0.277707664215016,positive,weak
participation,subkind,0.07742641506579041,negative,very_weak
none_r,subkind,0.1654883339532169,negative,very_weak
other_r,subkind,0.07068825940543629,negative,very_weak
category,type,0.3637713400039956,positive,weak
datatype,type,0.11378940763196137,positive,very_weak
event,type,0.36474510229148477,positive,weak
kind,type,0.29065301467862137,negative,weak
mode,type,0.2483051036268581,positive,weak
phase,type,0.1234754756278502,negative,very_weak
quality,type,0.12513085661869283,positive,very_weak
relator,type,0.011614938000824462,negative,very_weak
role,type,0.23809424431610557,negative,weak
roleMixin,type,0.3953641677270425,positive,weak
subkind,type,0.09978568259227953,negative,very_weak
none_c,type,0.049001918944084566,positive,very_weak
characterization,type,0.2615410818571946,positive,weak
componentOf,type,0.2083735954560213,positive,weak
externalDependence,type,0.5086826828800716,positive,moderate
instantiation,type,0.9420615288087456,positive,very_strong
material,type,0.20418371742897384,negative,weak
mediation,type,0.012268378618545262,negative,very_weak
participation,type,0.41943027658230314,positive,moderate
none_r,type,0.039611922043070506,negative,very_weak
other_r,type,0.16113222408152772,positive,very_weak
category,none_c,0.1471220330481153,positive,very_weak
