Stereotype,average_quantity,rank,proportion
bringsAbout,0,6,0.0
characterization,3,2,0.14285714285714285
comparative,0,6,0.0
componentOf,1,4,0.047619047619047616
creation,0,6,0.0
derivation,0,6,0.0
externalDependence,0,6,0.0
historicalDependence,0,6,0.0
instantiation,0,6,0.0
manifestation,0,6,0.0
material,3,2,0.14285714285714285
mediation,13,1,0.6190476190476191
memberOf,0,6,0.0
participation,1,4,0.047619047619047616
participational,0,6,0.0
subCollectionOf,0,6,0.0
subQuantityOf,0,6,0.0
termination,0,6,0.0
triggers,0,6,0.0
