Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,23,0.3194444444444444,10,0.1388888888888889,0.015062213490504257,0.03278688524590164
characterization,279,3.875,46,0.6388888888888888,0.18271119842829076,0.15081967213114755
comparative,13,0.18055555555555555,4,0.05555555555555555,0.008513425016371971,0.013114754098360656
componentOf,117,1.625,22,0.3055555555555556,0.07662082514734773,0.07213114754098361
creation,43,0.5972222222222222,15,0.20833333333333334,0.028159790438768827,0.04918032786885246
derivation,57,0.7916666666666666,24,0.3333333333333333,0.03732809430255403,0.07868852459016394
externalDependence,63,0.875,18,0.25,0.0412573673870334,0.05901639344262295
historicalDependence,30,0.4166666666666667,13,0.18055555555555555,0.019646365422396856,0.04262295081967213
instantiation,61,0.8472222222222222,14,0.19444444444444445,0.03994760969220694,0.04590163934426229
manifestation,31,0.4305555555555556,11,0.1527777777777778,0.020301244269810084,0.036065573770491806
material,225,3.125,29,0.4027777777777778,0.14734774066797643,0.09508196721311475
mediation,393,5.458333333333333,49,0.6805555555555556,0.25736738703339884,0.16065573770491803
memberOf,36,0.5,14,0.19444444444444445,0.023575638506876228,0.04590163934426229
participation,131,1.8194444444444444,23,0.3194444444444444,0.08578912901113293,0.07540983606557378
participational,9,0.125,3,0.041666666666666664,0.005893909626719057,0.009836065573770493
subCollectionOf,0,0.0,0,0.0,0.0,0.0
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,3,0.041666666666666664,2,0.027777777777777776,0.0019646365422396855,0.006557377049180328
triggers,13,0.18055555555555555,8,0.1111111111111111,0.008513425016371971,0.02622950819672131
