Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.015042511445389144,0.136986301369863,0.137809738094155,13,Q3
characterization,0.18247220405493786,0.6301369863013698,0.6560249437008013,2,Q1
comparative,0.008502289077828646,0.0547945205479452,0.05545023355804873,15,Q3
componentOf,0.07652060170045781,0.3013698630136986,0.310932785047662,6,Q1
creation,0.028122956180510136,0.2054794520547945,0.20739504787016852,8,Q1
derivation,0.03727926749509483,0.3287671232876712,0.3308739414638476,4,Q1
externalDependence,0.041203400915631135,0.2465753424657534,0.2499942394518678,7,Q1
historicalDependence,0.01962066710268149,0.1780821917808219,0.17915981024497565,11,Q3
instantiation,0.03989535644211903,0.1917808219178082,0.19588650571469643,9,Q1
manifestation,0.020274689339437543,0.1506849315068493,0.1520427953276135,12,Q3
material,0.1471550032701112,0.3972602739726027,0.4236393752523646,3,Q1
mediation,0.25833878351863965,0.684931506849315,0.7320314857605265,1,Q1
memberOf,0.02354480052321779,0.1917808219178082,0.19322070615528808,10,Q1
participation,0.08567691301504252,0.3150684931506849,0.32650986018806594,5,Q1
participational,0.005886200130804447,0.0410958904109589,0.041515293093623055,16,Q3
subCollectionOf,0.0,0.0,0.0,18,Q3
subQuantityOf,0.0,0.0,0.0,18,Q3
termination,0.001962066710268149,0.0273972602739726,0.027467427551471576,17,Q3
triggers,0.008502289077828646,0.1095890410958904,0.10991836447054569,14,Q3
