Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.00847145488029466,0.136986301369863,0.13724799565306517,15,Q3
characterization,0.10276243093922652,0.6301369863013698,0.6384612272624799,3,Q1
comparative,0.004788213627992633,0.0547945205479452,0.05500333146116227,17,Q3
componentOf,0.0430939226519337,0.3013698630136986,0.3044353469990407,7,Q1
creation,0.01583793738489871,0.2054794520547945,0.20608892613953464,10,Q1
derivation,0.020994475138121547,0.3287671232876712,0.32943677593914134,5,Q1
externalDependence,0.023204419889502764,0.2465753424657534,0.2476647827498127,8,Q1
historicalDependence,0.011049723756906077,0.1780821917808219,0.17842467156916775,13,Q3
instantiation,0.022467771639042358,0.1917808219178082,0.19309242454817907,11,Q1
manifestation,0.01141804788213628,0.1506849315068493,0.15111690971119884,14,Q3
material,0.08287292817679558,0.3972602739726027,0.4058123303959401,4,Q1
mediation,0.14548802946593,0.684931506849315,0.700212778941339,2,Q1
memberOf,0.013259668508287293,0.1917808219178082,0.1922386601712042,12,Q2
participation,0.048250460405156535,0.3150684931506849,0.31874168586106333,6,Q1
participational,0.0033149171270718232,0.0410958904109589,0.04122936919513683,18,Q3
subCollectionOf,0.0,0.0,0.0,20,Q3
subQuantityOf,0.0,0.0,0.0,20,Q3
termination,0.0011049723756906078,0.0273972602739726,0.027419533812062462,19,Q3
triggers,0.004788213627992633,0.1095890410958904,0.1096935956109747,16,Q3
none,0.39152854511970536,0.863013698630137,0.9476746518013563,1,Q1
other,0.045303867403314914,0.2328767123287671,0.2372424994530965,9,Q1
