Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,62,1,62,11.83206106870229
relator,56,2,118,22.519083969465647
subkind,52,3,170,32.44274809160305
category,50,4,220,41.98473282442748
role,49,5,269,51.335877862595424
mode,34,6,303,57.82442748091603
quality,32,7,335,63.93129770992366
event,32,8,367,70.0381679389313
roleMixin,30,9,397,75.76335877862596
phase,26,10,423,80.72519083969466
collective,18,11,441,84.16030534351145
datatype,17,12,458,87.40458015267176
type,16,13,474,90.45801526717557
situation,14,14,488,93.12977099236642
mixin,11,15,499,95.22900763358778
phaseMixin,8,16,507,96.7557251908397
quantity,5,17,512,97.70992366412213
historicalRole,4,18,516,98.47328244274809
enumeration,4,19,520,99.23664122137404
historicalRoleMixin,3,20,523,99.80916030534351
abstract,1,21,524,100.0
