Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,2,5,0.046511627906976744
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,2,5,0.046511627906976744
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,17,1,0.3953488372093023
mixin,0,12,0.0
mode,1,10,0.023255813953488372
phase,2,5,0.046511627906976744
phaseMixin,0,12,0.0
quality,2,5,0.046511627906976744
quantity,0,12,0.0
relator,3,4,0.06976744186046512
role,4,3,0.09302325581395349
roleMixin,2,5,0.046511627906976744
situation,0,12,0.0
subkind,7,2,0.16279069767441862
type,0,12,0.0
none,1,10,0.023255813953488372
other,0,12,0.0
