Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.03658054257362973,positive,very_weak
datatype,category,0.15586500684013443,positive,very_weak
event,category,0.08716082148216785,positive,very_weak
kind,category,0.05781806759421862,positive,very_weak
mode,category,0.24047572337109388,positive,weak
phase,category,0.1127496030810811,positive,very_weak
quality,category,0.2539175620205927,positive,weak
relator,category,0.0950848351500779,positive,very_weak
role,category,0.11136486019143717,positive,very_weak
roleMixin,category,0.19848436693379035,positive,very_weak
situation,category,0.25736414943522323,positive,weak
subkind,category,0.1037979183448657,positive,very_weak
type,category,0.27217668879685286,positive,weak
none,category,0.06219542917196609,positive,very_weak
other,category,0.07629673708515233,positive,very_weak
category,collective,0.03658054257362973,positive,very_weak
datatype,collective,0.06661914187337861,positive,very_weak
event,collective,0.045535132351879615,positive,very_weak
kind,collective,0.18206273889306523,positive,very_weak
mode,collective,0.03546958655389083,positive,very_weak
phase,collective,0.30348210735935227,positive,weak
quality,collective,0.08068256102782205,positive,very_weak
relator,collective,0.21464046893112668,positive,weak
role,collective,0.06040316795957806,positive,very_weak
roleMixin,collective,0.04316273963653837,positive,very_weak
situation,collective,0.2762007544485619,positive,weak
subkind,collective,0.19497319973949584,positive,very_weak
type,collective,0.01023270203265222,positive,very_weak
none,collective,0.07899263684284802,positive,very_weak
other,collective,0.0225505030743991,positive,very_weak
category,datatype,0.15586500684013443,positive,very_weak
collective,datatype,0.06661914187337861,positive,very_weak
event,datatype,0.08671804446008556,positive,very_weak
kind,datatype,0.03501458873425179,positive,very_weak
mode,datatype,0.06261450128640868,positive,very_weak
phase,datatype,0.03649975455549569,positive,very_weak
quality,datatype,0.1275221998618034,positive,very_weak
relator,datatype,0.09235715762014102,positive,very_weak
role,datatype,0.10539548695428624,positive,very_weak
roleMixin,datatype,0.05420113116972793,positive,very_weak
situation,datatype,0.19890155324077338,positive,very_weak
subkind,datatype,0.018481639934323994,positive,very_weak
type,datatype,0.10656987242468625,positive,very_weak
none,datatype,0.12713160752926153,positive,very_weak
other,datatype,0.07361225524500259,positive,very_weak
category,event,0.08716082148216785,positive,very_weak
collective,event,0.045535132351879615,positive,very_weak
datatype,event,0.08671804446008556,positive,very_weak
kind,event,0.20334989751529284,positive,weak
mode,event,0.14172193528120186,positive,very_weak
phase,event,0.042806591682591516,positive,very_weak
quality,event,0.15568469698915963,positive,very_weak
relator,event,0.05290835987070153,positive,very_weak
role,event,0.12982979041195647,positive,very_weak
roleMixin,event,0.21772848832842406,positive,weak
situation,event,0.5280398976167476,positive,moderate
subkind,event,0.037381417252914904,positive,very_weak
type,event,0.3401278266985656,positive,weak
none,event,0.040011061471625455,positive,very_weak
other,event,0.02379290724743775,positive,very_weak
category,kind,0.05781806759421862,positive,very_weak
collective,kind,0.18206273889306523,positive,very_weak
datatype,kind,0.03501458873425179,positive,very_weak
event,kind,0.20334989751529284,positive,weak
mode,kind,0.031015521304203823,positive,very_weak
phase,kind,0.2876508687612388,positive,weak
quality,kind,0.15064796922232648,positive,very_weak
relator,kind,0.3296467331811364,positive,weak
role,kind,0.37565778677687645,positive,weak
roleMixin,kind,0.2010786724210026,positive,weak
situation,kind,0.21864454110969314,positive,weak
subkind,kind,0.5050135883179341,positive,moderate
type,kind,0.3264945730925248,positive,weak
none,kind,0.06379750262373957,positive,very_weak
other,kind,0.11395297338801312,positive,very_weak
category,mode,0.24047572337109388,positive,weak
collective,mode,0.03546958655389083,positive,very_weak
datatype,mode,0.06261450128640868,positive,very_weak
event,mode,0.14172193528120186,positive,very_weak
kind,mode,0.031015521304203823,positive,very_weak
phase,mode,0.03579947017231941,positive,very_weak
quality,mode,0.24193550566844063,positive,weak
relator,mode,0.08232663216067072,positive,very_weak
role,mode,0.08908351006635833,positive,very_weak
roleMixin,mode,0.1189651996262732,positive,very_weak
situation,mode,0.05295456436519124,positive,very_weak
subkind,mode,0.09475488407428306,positive,very_weak
type,mode,0.2418288521474111,positive,weak
none,mode,0.06146262137806129,positive,very_weak
other,mode,0.17363422184476132,positive,very_weak
category,phase,0.1127496030810811,positive,very_weak
collective,phase,0.30348210735935227,positive,weak
datatype,phase,0.03649975455549569,positive,very_weak
event,phase,0.042806591682591516,positive,very_weak
kind,phase,0.2876508687612388,positive,weak
mode,phase,0.03579947017231941,positive,very_weak
quality,phase,0.06253688785394905,positive,very_weak
relator,phase,0.1265062806668662,positive,very_weak
role,phase,0.27134470817751566,positive,weak
roleMixin,phase,0.07050135844311493,positive,very_weak
situation,phase,0.10338546638674537,positive,very_weak
subkind,phase,0.31612822768363424,positive,weak
type,phase,0.12744572234636029,positive,very_weak
none,phase,0.08938683309536927,positive,very_weak
other,phase,0.13172782879682476,positive,very_weak
category,quality,0.2539175620205927,positive,weak
collective,quality,0.08068256102782205,positive,very_weak
datatype,quality,0.1275221998618034,positive,very_weak
event,quality,0.15568469698915963,positive,very_weak
kind,quality,0.15064796922232648,positive,very_weak
mode,quality,0.24193550566844063,positive,weak
phase,quality,0.06253688785394905,positive,very_weak
relator,quality,0.20829147095496667,positive,weak
role,quality,0.07494438532748335,positive,very_weak
roleMixin,quality,0.017151082625929244,positive,very_weak
situation,quality,0.17593141180300415,positive,very_weak
subkind,quality,0.2625577518127862,positive,weak
type,quality,0.15178040284649916,positive,very_weak
none,quality,0.21105829938616968,positive,weak
other,quality,0.11021553071324146,positive,very_weak
category,relator,0.0950848351500779,positive,very_weak
collective,relator,0.21464046893112668,positive,weak
datatype,relator,0.09235715762014102,positive,very_weak
event,relator,0.05290835987070153,positive,very_weak
kind,relator,0.3296467331811364,positive,weak
mode,relator,0.08232663216067072,positive,very_weak
phase,relator,0.1265062806668662,positive,very_weak
quality,relator,0.20829147095496667,positive,weak
role,relator,0.22451569601402865,positive,weak
roleMixin,relator,0.09706703797062702,positive,very_weak
situation,relator,0.19097896156253505,positive,very_weak
subkind,relator,0.32074309338815704,positive,weak
type,relator,0.048144504661611166,positive,very_weak
none,relator,0.1514133193670163,positive,very_weak
other,relator,0.08868363968950896,positive,very_weak
category,role,0.11136486019143717,positive,very_weak
collective,role,0.06040316795957806,positive,very_weak
datatype,role,0.10539548695428624,positive,very_weak
event,role,0.12982979041195647,positive,very_weak
kind,role,0.37565778677687645,positive,weak
mode,role,0.08908351006635833,positive,very_weak
phase,role,0.27134470817751566,positive,weak
quality,role,0.07494438532748335,positive,very_weak
relator,role,0.22451569601402865,positive,weak
roleMixin,role,0.013008431744119914,positive,very_weak
situation,role,0.22373358231087392,positive,weak
subkind,role,0.0688438102878149,positive,very_weak
type,role,0.2240929296611231,positive,weak
none,role,0.03216433678627999,positive,very_weak
other,role,0.05540905252586138,positive,very_weak
category,roleMixin,0.19848436693379035,positive,very_weak
collective,roleMixin,0.04316273963653837,positive,very_weak
datatype,roleMixin,0.05420113116972793,positive,very_weak
event,roleMixin,0.21772848832842406,positive,weak
kind,roleMixin,0.2010786724210026,positive,weak
mode,roleMixin,0.1189651996262732,positive,very_weak
phase,roleMixin,0.07050135844311493,positive,very_weak
quality,roleMixin,0.017151082625929244,positive,very_weak
relator,roleMixin,0.09706703797062702,positive,very_weak
role,roleMixin,0.013008431744119914,positive,very_weak
situation,roleMixin,0.1846289496742996,positive,very_weak
subkind,roleMixin,0.14084736604615133,positive,very_weak
type,roleMixin,0.34312611820280625,positive,weak
none,roleMixin,0.1095094622319365,positive,very_weak
other,roleMixin,0.1331911192200666,positive,very_weak
category,situation,0.25736414943522323,positive,weak
collective,situation,0.2762007544485619,positive,weak
