Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
abstract,0.07237778951611722,0.07237778951611716,0.003909478922759793,0.0036603991958101337,0.0007774488964508511,0.05338745580214585,0.0007774488964508511,0.053387455802146114,0.02784587535290503,0.0022541435130529197,0.026473720052533366,0.006382005970446664,0.07237778951611722,0.03305156721448864,0.0009789066013148884,0.02113578212839993,0.016029392358754335,0.07237778951611698,0.0533874558021461,0.0179900516131384,0.053387455802146114,0.041564904879470205,0.029371092768346152,0.0007774488964508511,0.046219673010851205,0.0381036509176112,0.005507295216913011,0.003909478922759807,0.07237778951611716,0.05338745580214611,0.04621967301085091,0.053387455802146384,0.016029392358754224,0.002939233642895868,0.0533874558021464,0.0005789110744153433,0.0,0.0,0.00038320970134677473,0.0016016907736868674
category,0.07237778951611716,2.091880385729296,0.3106434566105254,0.4269014057356573,0.09178769495935543,0.7160582016096576,0.12294406888467743,0.10687070800038774,0.9942407933118215,0.12293065487369331,0.5687607003016265,0.4701648838472396,0.2205562875730644,0.6385437162296125,0.0846684111956457,0.5723710253333751,0.7399265737907847,0.5869852765240264,0.38622396271073356,1.0250536779484687,0.5070057325765552,0.3167459850325921,0.8808917661452729,0.08808116612991923,0.5218970784096068,0.2995133031209141,0.2712967602331424,0.39782259237581624,0.3099982979361299,0.4406196218376872,0.31034874925326295,0.5902646784413261,0.7496594800085811,0.32110238402030844,0.5607432498671993,0.07917558803692464,0.0,0.0,0.03799389285880063,0.20759375935014357
collective,0.003909478922759793,0.3106434566105254,0.845577719505968,0.14098719952316374,0.06413723315885486,0.20311985910578773,0.07286979130811991,0.045602827029630234,0.4011485173432541,0.028467383158743004,0.17895228196834478,0.2752839532480716,0.062167480691091744,0.12784624255976357,0.04449243403810194,0.24654935022913785,0.2739183515191125,0.08942164723881095,0.06139670630802465,0.47631828985455615,0.13922790012866734,0.04222655195951313,0.2821738193061347,0.020197458493637965,0.22391601626101457,0.07537058487687437,0.11457397479102843,0.13182692865285714,0.055522388799464736,0.13165831301870995,0.05928026779539001,0.2328715881729999,0.41801075793799625,0.40987759980947863,0.22008391589909312,0.011920827929119394,0.0,0.0,0.00788238581336561,0.03317779113976693
datatype,0.0036603991958101337,0.4269014057356573,0.14098719952316374,0.9368990209906689,0.1853672435006612,0.2866057667526353,0.04868431515102482,0.03422574284487065,0.42305973070734065,0.06855966573034802,0.1923912248642494,0.24793973708314884,0.14936100904307278,0.22357464599469956,0.021515633435027368,0.2729227116670068,0.30188371417133236,0.2381112654371668,0.1786862774336121,0.4448083539488032,0.1835397450516926,0.14290426014278934,0.26174840884775263,0.15455435886401417,0.27319898531617975,0.09750101872524508,0.06950168631607256,0.13942200936059176,0.17683426387190404,0.22924610737967754,0.07903666177933788,0.28621222222975873,0.36555475115823854,0.13800096763925826,0.23012531534587635,0.06841991483972205,0.0,0.0,0.1184071976577363,0.07615796371468009
enumeration,0.0007774488964508511,0.09178769495935543,0.06413723315885486,0.1853672435006612,0.2883587724194743,0.10016070779577368,0.0031782755154396436,0.0023662522864455818,0.17536500943759273,0.009226755144085663,0.06751544374671442,0.13828563192467966,0.07667602350960159,0.1109091463932314,0.043965731498459025,0.12696988948758198,0.1504460329729021,0.10024563777447035,0.04648169533783014,0.19140443356647394,0.1316890266673737,0.05183334044378986,0.09442451569769233,0.07416513072814745,0.14962813723561058,0.047202860890743645,0.05333309751165504,0.06472937265685003,0.04301468036530324,0.13072752194018675,0.04785242638065989,0.18365256494551344,0.14542000365307292,0.0784112889296543,0.06159499850277612,0.0023662522864455818,0.0,0.0,0.07296497354333556,0.0065523775065373865
event,0.05338745580214585,0.7160582016096576,0.20311985910578773,0.2866057667526353,0.10016070779577368,1.8027585847865397,0.21239743756359028,0.15242111004456443,0.8713772276634248,0.08607378494667427,0.49955892253744805,0.466530621673857,0.12762858527257215,0.5742159270810988,0.13681011306345714,0.6235660108304394,0.6172020913307091,0.6053356132300668,0.5512152962904959,0.782180607231059,0.5117285564029639,0.3839257217715251,0.8128018932210126,0.14487763612911156,0.3816490798020348,0.619705612861772,0.27398858468647624,0.44205719614677746,0.4388043358587783,0.49649634656904096,0.4210246601666605,0.5109132357041051,0.7392861700910689,0.24923555089205143,0.9251521121765964,0.15242111004456443,0.0,0.0,0.08413305905922938,0.28868426361394184
historicalRole,0.0007774488964508511,0.12294406888467743,0.07286979130811991,0.04868431515102482,0.0031782755154396436,0.21239743756359028,0.2883587724194743,0.07356067044330368,0.21239743756359034,0.009226755144085663,0.035732443009519235,0.05701752061993883,0.006552377506537338,0.07108811623309677,0.15998888836275865,0.1443954478435833,0.1451686608569708,0.13514224179600434,0.14971785565415788,0.12192551083655823,0.0822110497879874,0.00832070978619915,0.09519989824295289,0.055174797014176345,0.06075601556678603,0.15406938829222608,0.14408815422728688,0.06472937265685003,0.08605892475213205,0.08075583393633615,0.05967497730333585,0.09960084757508053,0.17484014009068252,0.08187254289151324,0.1688924618200845,0.0023662522864455818,0.0,0.0,0.0015660906285332316,0.0065523775065373865
historicalRoleMixin,0.053387455802146114,0.10687070800038774,0.045602827029630234,0.03422574284487065,0.0023662522864455818,0.15242111004456443,0.07356067044330368,0.1975695602638013,0.0982083984301429,0.006866432575605055,0.02461149859172592,0.019492780776743164,0.09598057688472394,0.030477528442244814,0.04315370826946494,0.09599946517855668,0.0674535511370005,0.10635006010207317,0.03993830978451388,0.08951539822340648,0.14430508795132432,0.02628842839298231,0.037909442140525544,0.0023662522864456095,0.07782925879390873,0.1290212830667894,0.016810710841850575,0.07583677735796694,0.1262629935392977,0.152421110044564,0.08229746404149973,0.04813785772103598,0.10448597926299795,0.04710609257580902,0.14430508795132463,0.03518000748846197,0.0,0.0,0.053776102007328956,0.004877145067899762
kind,0.02784587535290503,0.9942407933118215,0.4011485173432541,0.42305973070734065,0.17536500943759273,0.8713772276634248,0.21239743756359034,0.0982083984301429,2.7500679046878074,0.15459600776039265,0.6700089980656244,0.755041420315288,0.19649088457157823,0.7663474460706183,0.1425521045204774,1.0534259973767952,1.2175202918723456,0.6562271754818557,0.38676711122168367,1.524150744403915,0.4124142650051179,0.2322483269273336,1.0844492351916883,0.17692978479556254,0.7127408796320095,0.39206688316169624,0.48995993907663543,0.4681320191822963,0.30772121547024245,0.39212484378743173,0.2729735576913162,0.8489671014003267,1.131353290218342,0.36091464357904335,0.6381683506983878,0.12902128306678995,0.0,0.0,0.06922051536314269,0.1753848517694343
mixin,0.0022541435130529197,0.12293065487369331,0.028467383158743004,0.06855966573034802,0.009226755144085663,0.08607378494667427,0.009226755144085663,0.006866432575605055,0.15459600776039265,0.5121895634464909,0.11409059052733653,0.1806711034846753,0.027245264718287546,0.17611703727820355,0.011624734871656911,0.17947700802006408,0.22409859218787428,0.13074211058684804,0.02643177178462553,0.2243377991269264,0.05073337069437369,0.020077933124740245,0.20857599533129503,0.05250719451204063,0.14459202876536842,0.02899983335864232,0.07443479988151,0.07896050003505578,0.06462711209463015,0.05478262207051506,0.07227246276205956,0.149227180962023,0.2392548432972411,0.038726547319742656,0.10056506210990522,0.006866432575605055,0.0,0.0,0.004542599923691493,0.020077481926992373
