Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,3,3,0.08108108108108109
comparative,0,8,0.0
componentOf,1,5,0.02702702702702703
creation,0,8,0.0
derivation,0,8,0.0
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,3,3,0.08108108108108109
mediation,5,2,0.13513513513513514
memberOf,0,8,0.0
participation,1,5,0.02702702702702703
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
none,23,1,0.6216216216216216
other,1,5,0.02702702702702703
