Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.009615384615384616,1,0.009615384615384616,0.0002508780732563974,0.0013550135501355014
category,282,2.7115384615384617,70,0.6730769230769231,0.07074761665830406,0.0948509485094851
collective,49,0.47115384615384615,25,0.2403846153846154,0.012293025589563472,0.03387533875338753
datatype,71,0.6826923076923077,21,0.20192307692307693,0.017812343201204214,0.028455284552845527
enumeration,48,0.46153846153846156,7,0.0673076923076923,0.012042147516307075,0.009485094850948509
event,308,2.9615384615384617,45,0.4326923076923077,0.0772704465629704,0.06097560975609756
historicalRole,23,0.22115384615384615,4,0.038461538461538464,0.00577019568489714,0.005420054200542005
historicalRoleMixin,9,0.08653846153846154,3,0.028846153846153848,0.0022579026593075764,0.0040650406504065045
kind,643,6.1826923076923075,84,0.8076923076923077,0.16131460110386353,0.11382113821138211
mixin,20,0.19230769230769232,16,0.15384615384615385,0.005017561465127948,0.02168021680216802
mode,179,1.7211538461538463,45,0.4326923076923077,0.04490717511289513,0.06097560975609756
phase,174,1.6730769230769231,32,0.3076923076923077,0.043652784746613146,0.04336043360433604
phaseMixin,20,0.19230769230769232,8,0.07692307692307693,0.005017561465127948,0.01084010840108401
quality,144,1.3846153846153846,36,0.34615384615384615,0.03612644254892122,0.04878048780487805
quantity,16,0.15384615384615385,8,0.07692307692307693,0.004014049172102358,0.01084010840108401
relator,303,2.9134615384615383,77,0.7403846153846154,0.07601605619668841,0.1043360433604336
role,400,3.8461538461538463,69,0.6634615384615384,0.10035122930255895,0.09349593495934959
roleMixin,231,2.2211538461538463,43,0.41346153846153844,0.057952834922227796,0.058265582655826556
situation,71,0.6826923076923077,19,0.18269230769230768,0.017812343201204214,0.025745257452574527
subkind,651,6.259615384615385,73,0.7019230769230769,0.1633216256899147,0.0989159891598916
type,71,0.6826923076923077,19,0.18269230769230768,0.017812343201204214,0.025745257452574527
none,177,1.7019230769230769,16,0.15384615384615385,0.04440541896638234,0.02168021680216802
other,95,0.9134615384615384,17,0.16346153846153846,0.023833416959357753,0.023035230352303523
