Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.009615384615384616,1,0.009615384615384616,0.00018321729571271528,0.0009293680297397769
category,282,2.7115384615384617,70,0.6730769230769231,0.05166727739098571,0.06505576208178439
collective,49,0.47115384615384615,25,0.2403846153846154,0.008977647489923048,0.023234200743494422
datatype,71,0.6826923076923077,21,0.20192307692307693,0.013008427995602785,0.019516728624535316
enumeration,48,0.46153846153846156,7,0.0673076923076923,0.008794430194210334,0.006505576208178439
event,308,2.9615384615384617,45,0.4326923076923077,0.05643092707951631,0.041821561338289966
historicalRole,23,0.22115384615384615,4,0.038461538461538464,0.004213997801392451,0.0037174721189591076
historicalRoleMixin,9,0.08653846153846154,3,0.028846153846153848,0.0016489556614144375,0.0027881040892193307
kind,643,6.1826923076923075,84,0.8076923076923077,0.11780872114327592,0.07806691449814127
mixin,20,0.19230769230769232,16,0.15384615384615385,0.003664345914254306,0.01486988847583643
mode,179,1.7211538461538463,45,0.4326923076923077,0.032795895932576036,0.041821561338289966
phase,174,1.6730769230769231,32,0.3076923076923077,0.03187980945401246,0.02973977695167286
phaseMixin,20,0.19230769230769232,8,0.07692307692307693,0.003664345914254306,0.007434944237918215
quality,144,1.3846153846153846,36,0.34615384615384615,0.026383290582631,0.03345724907063197
quantity,16,0.15384615384615385,8,0.07692307692307693,0.0029314767314034445,0.007434944237918215
relator,303,2.9134615384615383,77,0.7403846153846154,0.05551484060095273,0.07156133828996282
role,400,3.8461538461538463,69,0.6634615384615384,0.07328691828508611,0.06412639405204461
roleMixin,231,2.2211538461538463,43,0.41346153846153844,0.04232319530963723,0.039962825278810406
situation,71,0.6826923076923077,19,0.18269230769230768,0.013008427995602785,0.017657992565055763
subkind,651,6.259615384615385,73,0.7019230769230769,0.11927445950897765,0.06784386617100371
type,71,0.6826923076923077,19,0.18269230769230768,0.013008427995602785,0.017657992565055763
bringsAbout,26,0.25,11,0.10576923076923077,0.004763649688530597,0.010223048327137546
characterization,306,2.9423076923076925,55,0.5288461538461539,0.056064492488090874,0.05111524163568773
comparative,13,0.125,4,0.038461538461538464,0.0023818248442652986,0.0037174721189591076
componentOf,158,1.5192307692307692,32,0.3076923076923077,0.028948332722609015,0.02973977695167286
creation,34,0.3269230769230769,14,0.1346153846153846,0.00622938805423232,0.013011152416356878
derivation,78,0.75,30,0.28846153846153844,0.014290949065591791,0.027881040892193308
externalDependence,71,0.6826923076923077,20,0.19230769230769232,0.013008427995602785,0.01858736059479554
historicalDependence,35,0.33653846153846156,14,0.1346153846153846,0.006412605349945035,0.013011152416356878
instantiation,63,0.6057692307692307,15,0.14423076923076922,0.011542689629901062,0.013940520446096654
manifestation,34,0.3269230769230769,12,0.11538461538461539,0.00622938805423232,0.011152416356877323
material,274,2.6346153846153846,41,0.3942307692307692,0.05020153902528399,0.03810408921933085
mediation,463,4.451923076923077,64,0.6153846153846154,0.08482960791498717,0.05947955390334572
memberOf,46,0.4423076923076923,20,0.19230769230769232,0.008427995602784902,0.01858736059479554
participation,116,1.1153846153846154,24,0.23076923076923078,0.021253206302674972,0.022304832713754646
participational,2,0.019230769230769232,2,0.019230769230769232,0.00036643459142543056,0.0018587360594795538
subCollectionOf,7,0.0673076923076923,2,0.019230769230769232,0.001282521069989007,0.0018587360594795538
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,3,0.028846153846153848,2,0.019230769230769232,0.0005496518871381459,0.0018587360594795538
triggers,15,0.14423076923076922,9,0.08653846153846154,0.002748259435690729,0.008364312267657992
