Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,participation
category,1.0,0.1108672199777667,0.08643295284087217,0.04988196601760009,0.2860714218851302,0.06994356657324603,0.2186690484379583,0.06673902401554165,0.05454249953534229,0.25009642949147154,0.18328314687117214,0.23009371914537696,0.2732941599675136,0.3519336422422211,0.21481665057685553,0.06774642343643328,0.15686863719530672,0.22002819960322545,0.08806556704511048,0.01892010210094462,0.130772660121829
datatype,0.1108672199777667,1.0,0.07645537727795078,0.11962153239941,0.009680930919964552,0.008106644895664648,0.17462518307981614,0.1319077071397325,0.09317214111877581,0.08037669799848468,0.17857689588114534,0.07035887114054175,0.08113102515839489,0.027071501298955174,0.1519168327451964,0.005750425276629366,0.007169878686197199,0.0774538985748551,0.01494091437643022,0.020767459394744812,0.1152282892476938
event,0.08643295284087217,0.07645537727795078,1.0,0.2818783038259592,0.16774981536146175,0.009395315519720974,0.11369217105830116,0.1429691596985464,0.15401336260797396,0.27705101966210915,0.5265475381331455,0.026543698787746716,0.31635249792371933,0.18174188691085227,0.10728268373743592,0.006715106369277314,0.31206929487387,0.3226417993717039,0.011117409313445582,0.09459079729998164,0.597520085330198
kind,0.04988196601760009,0.11962153239941,0.2818783038259592,1.0,0.016996945489707087,0.24936830792997547,0.06684850424290506,0.2173051377671553,0.3960485341501409,0.23668872187159268,0.22785227260386098,0.44672217243744516,0.2464179679792305,0.03378773872778436,0.25557688196934963,0.21428749035868344,0.2357977692028488,0.18740330450693518,0.333706258228214,0.2118778845557215,0.24995215896107667
mode,0.2860714218851302,0.009680930919964552,0.16774981536146175,0.016996945489707087,1.0,0.0775904051491087,0.20547051006397707,0.08541732151616048,0.08604573488412812,0.21601100848115387,0.07272957958748295,0.15624808174843507,0.1912892031358633,0.532669487278672,0.15075588381639587,0.022788802830752734,0.33096114129730453,0.1545994615235649,0.08062021412918959,0.22410946333253276,0.07937247024673186
phase,0.06994356657324603,0.008106644895664648,0.009395315519720974,0.24936830792997547,0.0775904051491087,1.0,0.08852058306780994,0.10185798029412103,0.2640875455922479,0.024305578119208405,0.06132679395672217,0.3035051606873295,0.048138231718447215,0.006821366556286851,0.12281862212344935,0.08061335443617507,0.1099650031899108,0.0315293248996187,0.11210003505987047,0.20005265164166688,0.07823175267793789
quality,0.2186690484379583,0.17462518307981614,0.11369217105830116,0.06684850424290506,0.20547051006397707,0.08852058306780994,1.0,0.16787559899918217,0.05027637592726932,0.08858150318000325,0.2287968983373927,0.18430480692335505,0.25825205486098324,0.569808667311924,0.012668518345430809,0.08709021832983511,0.1836248298035153,0.2660434366429766,0.016980292661604637,0.13655914617999199,0.24356068623317065
relator,0.06673902401554165,0.1319077071397325,0.1429691596985464,0.2173051377671553,0.08541732151616048,0.10185798029412103,0.16787559899918217,1.0,0.21516517520583023,0.13770640833893677,0.1398654767740788,0.16654458730461888,0.02430056739432851,0.20789123857504838,0.12206722298416377,0.2830445511387835,0.064806658194788,0.04402670588311613,0.20791771577900905,0.6943508158740004,0.021520878538321186
role,0.05454249953534229,0.09317214111877581,0.15401336260797396,0.3960485341501409,0.08604573488412812,0.2640875455922479,0.05027637592726932,0.21516517520583023,1.0,0.007956717619931808,0.1958528898358061,0.03876308615504376,0.14732279796322492,0.002265071776395008,0.021397940971342518,0.2066461734602387,0.03894732299365033,0.20351528418011447,0.11139874456090454,0.19388766102721042,0.3022492435693879
roleMixin,0.25009642949147154,0.08037669799848468,0.27705101966210915,0.23668872187159268,0.21601100848115387,0.024305578119208405,0.08858150318000325,0.13770640833893677,0.007956717619931808,1.0,0.14160630305187016,0.027155770134871988,0.3059548858790849,0.20202998357461263,0.021704997998589968,0.017931255605516193,0.362679043052468,0.3168998067151057,0.08289654981062032,0.187967594789956,0.22180123778332508
