Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3511450381679389,2,0.22889842632331903
20.0,4,0.5384405670665212,4,0.43204577968526464
30.0,6,0.6968375136314068,6,0.5937052932761088
40.0,8,0.806979280261723,8,0.7181688125894135
50.0,10,0.8917666303162486,10,0.8140200286123033
60.0,12,0.9304798255179935,12,0.8798283261802575
70.0,14,0.9631952017448201,14,0.9341917024320457
80.0,16,0.9825517993456925,16,0.9670958512160229
90.0,18,0.9929116684841875,18,0.9885550786838341
100.0,21,1.0,21,1.0
