Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0002726281352235551,0.009708737864077669,0.009712564903952555,21,Q3
category,0.0757906215921483,0.6699029126213593,0.6741766316477491,4,Q1
collective,0.013358778625954198,0.24271844660194175,0.24308578997390384,11,Q2
datatype,0.01935659760087241,0.20388349514563106,0.20480028677587506,12,Q4
enumeration,0.013086150490730643,0.06796116504854369,0.06920958957703366,18,Q3
event,0.08396946564885496,0.4368932038834951,0.4448893601345614,6,Q1
historicalRole,0.0062704471101417665,0.038834951456310676,0.03933792014805933,19,Q3
historicalRoleMixin,0.0024536532170119957,0.02912621359223301,0.0292293813196539,20,Q3
kind,0.1736641221374046,0.8058252427184466,0.8243261181838161,1,Q1
mixin,0.004907306434023991,0.14563106796116504,0.145713724857842,15,Q3
mode,0.04880043620501636,0.4368932038834951,0.43961022983250186,7,Q1
phase,0.0455288985823337,0.30097087378640774,0.3043950516579963,10,Q1
phaseMixin,0.0054525627044711015,0.07766990291262135,0.0778610573939387,16,Q3
quality,0.03925845147219193,0.34951456310679613,0.35171246187152516,9,Q1
quantity,0.004362050163576881,0.07766990291262135,0.07779229589159577,17,Q3
relator,0.08260632497273719,0.7475728155339806,0.7521229417129254,2,Q1
role,0.10332606324972737,0.6601941747572816,0.6682309658569667,5,Q1
roleMixin,0.06134133042529989,0.4077669902912621,0.4123550377884816,8,Q1
situation,0.01935659760087241,0.18446601941747573,0.1854788133195019,13,Q4
subkind,0.17748091603053434,0.7087378640776699,0.7306222249099841,3,Q1
type,0.01935659760087241,0.18446601941747573,0.1854788133195019,13,Q4
