Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.06713296431234968,0.11473126986886036,0.09415997881490265,0.05267689695486466,0.29557177817363967,0.07134848916925603,0.22544757873522137,0.05348771203483487,0.06463917075754586,0.24203240158063383,0.18734694639031352,0.24467583522776076,0.27770912495222577
collective,0.06713296431234968,1.0,0.11297686465123565,0.05146224903636806,0.1526743683653045,0.13344958737195564,0.28278300987778254,0.046112382582734486,0.14139176675779358,0.06047621619573316,0.06099972939842175,0.26693172089396455,0.1777672179180415,0.02700592812902156
datatype,0.11473126986886036,0.11297686465123565,1.0,0.07244448593895803,0.12224818107984896,0.015053055396494576,0.017093850373496266,0.1716358590983587,0.14063101815465015,0.08846052552472343,0.07515518927681028,0.17649550593016905,0.06421953040704553,0.07908361101693301
event,0.09415997881490265,0.05146224903636806,0.07244448593895803,1.0,0.27978035217337777,0.16166393483403715,0.02391065306727138,0.1084072904391543,0.15728795670624324,0.14542833699336682,0.29180996791998215,0.5248346223556764,0.03851727026945074,0.3140447952537892
kind,0.05267689695486466,0.1526743683653045,0.12224818107984896,0.27978035217337777,1.0,0.019296580186428658,0.24863348206115998,0.07040759257055962,0.22632550802891233,0.39607716848512553,0.2440042485699762,0.22652385639370665,0.45716271912288103,0.245771275052928
mode,0.29557177817363967,0.13344958737195564,0.015053055396494576,0.16166393483403715,0.019296580186428658,1.0,0.095074794623809,0.20057122170716152,0.07170679892312427,0.09719276697062655,0.23066811973397353,0.07712495119243426,0.146356355283676,0.18821912162260676
phase,0.07134848916925603,0.28278300987778254,0.017093850373496266,0.02391065306727138,0.24863348206115998,0.095074794623809,1.0,0.1014143727253569,0.13118982370228885,0.2509996177939081,0.010366467949729497,0.05405534951389717,0.33283771374155463,0.041158958776336796
quality,0.22544757873522137,0.046112382582734486,0.1716358590983587,0.1084072904391543,0.07040759257055962,0.20057122170716152,0.1014143727253569,1.0,0.1593079642844804,0.06618962717246127,0.09845762248866585,0.2262609281745772,0.17552992475231075,0.2555993468791359
relator,0.05348771203483487,0.14139176675779358,0.14063101815465015,0.15728795670624324,0.22632550802891233,0.07170679892312427,0.13118982370228885,0.1593079642844804,1.0,0.23602102163330743,0.1604720119800752,0.14876322660934624,0.14803090966250132,0.035984421653869385
role,0.06463917075754586,0.06047621619573316,0.08846052552472343,0.14542833699336682,0.39607716848512553,0.09719276697062655,0.2509996177939081,0.06618962717246127,0.23602102163330743,1.0,0.014936340493314706,0.19213269607594052,0.054555603373036506,0.14326766276639594
roleMixin,0.24203240158063383,0.06099972939842175,0.07515518927681028,0.29180996791998215,0.2440042485699762,0.23066811973397353,0.010366467949729497,0.09845762248866585,0.1604720119800752,0.014936340493314706,1.0,0.14900705696440322,0.028318813369921578,0.3145961764519109
situation,0.18734694639031352,0.26693172089396455,0.17649550593016905,0.5248346223556764,0.22652385639370665,0.07712495119243426,0.05405534951389717,0.2262609281745772,0.14876322660934624,0.19213269607594052,0.14900705696440322,1.0,0.11259592764675329,0.1196504780391472
subkind,0.24467583522776076,0.1777672179180415,0.06421953040704553,0.03851727026945074,0.45716271912288103,0.146356355283676,0.33283771374155463,0.17552992475231075,0.14803090966250132,0.054555603373036506,0.028318813369921578,0.11259592764675329,1.0,0.02258815055945983
type,0.27770912495222577,0.02700592812902156,0.07908361101693301,0.3140447952537892,0.245771275052928,0.18821912162260676,0.041158958776336796,0.2555993468791359,0.035984421653869385,0.14326766276639594,0.3145961764519109,0.1196504780391472,0.02258815055945983,1.0
