Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.06713296431234968,positive,very_weak
datatype,category,0.11473126986886036,positive,very_weak
event,category,0.09415997881490265,positive,very_weak
kind,category,0.05267689695486466,positive,very_weak
mode,category,0.29557177817363967,positive,weak
phase,category,0.07134848916925603,positive,very_weak
quality,category,0.22544757873522137,positive,weak
relator,category,0.05348771203483487,positive,very_weak
role,category,0.06463917075754586,positive,very_weak
roleMixin,category,0.24203240158063383,positive,weak
situation,category,0.18734694639031352,positive,very_weak
subkind,category,0.24467583522776076,positive,weak
type,category,0.27770912495222577,positive,weak
category,collective,0.06713296431234968,positive,very_weak
datatype,collective,0.11297686465123565,positive,very_weak
event,collective,0.05146224903636806,positive,very_weak
kind,collective,0.1526743683653045,positive,very_weak
mode,collective,0.13344958737195564,positive,very_weak
phase,collective,0.28278300987778254,positive,weak
quality,collective,0.046112382582734486,positive,very_weak
relator,collective,0.14139176675779358,positive,very_weak
role,collective,0.06047621619573316,positive,very_weak
roleMixin,collective,0.06099972939842175,positive,very_weak
situation,collective,0.26693172089396455,positive,weak
subkind,collective,0.1777672179180415,positive,very_weak
type,collective,0.02700592812902156,positive,very_weak
category,datatype,0.11473126986886036,positive,very_weak
collective,datatype,0.11297686465123565,positive,very_weak
event,datatype,0.07244448593895803,positive,very_weak
kind,datatype,0.12224818107984896,positive,very_weak
mode,datatype,0.015053055396494576,positive,very_weak
phase,datatype,0.017093850373496266,positive,very_weak
quality,datatype,0.1716358590983587,positive,very_weak
relator,datatype,0.14063101815465015,positive,very_weak
role,datatype,0.08846052552472343,positive,very_weak
roleMixin,datatype,0.07515518927681028,positive,very_weak
situation,datatype,0.17649550593016905,positive,very_weak
subkind,datatype,0.06421953040704553,positive,very_weak
type,datatype,0.07908361101693301,positive,very_weak
category,event,0.09415997881490265,positive,very_weak
collective,event,0.05146224903636806,positive,very_weak
datatype,event,0.07244448593895803,positive,very_weak
kind,event,0.27978035217337777,positive,weak
mode,event,0.16166393483403715,positive,very_weak
phase,event,0.02391065306727138,positive,very_weak
quality,event,0.1084072904391543,positive,very_weak
relator,event,0.15728795670624324,positive,very_weak
role,event,0.14542833699336682,positive,very_weak
roleMixin,event,0.29180996791998215,positive,weak
situation,event,0.5248346223556764,positive,moderate
