Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.06031264860167887,positive,very_weak
datatype,category,0.09900850411590917,positive,very_weak
event,category,0.07718787941156484,positive,very_weak
kind,category,0.0314176459735234,negative,very_weak
mixin,category,0.11422077114837663,positive,very_weak
mode,category,0.32693714368563326,positive,weak
phase,category,0.05549995384239127,positive,very_weak
quality,category,0.21145371978354383,positive,weak
relator,category,0.027685680959293645,negative,very_weak
role,category,0.02412250323156646,negative,very_weak
roleMixin,category,0.24636747474059953,positive,weak
situation,category,0.1741604160333161,positive,very_weak
subkind,category,0.277059842133645,positive,weak
type,category,0.22739045416812786,positive,weak
category,collective,0.06031264860167887,positive,very_weak
datatype,collective,0.1069601965013415,positive,very_weak
event,collective,0.042110078007650306,negative,very_weak
kind,collective,0.10616027076679957,positive,very_weak
mixin,collective,0.08726171906745601,positive,very_weak
mode,collective,0.14051468135184364,positive,very_weak
phase,collective,0.3197138373318457,positive,weak
quality,collective,0.035043512883442124,negative,very_weak
relator,collective,0.1725857907548317,positive,very_weak
role,collective,0.07148500248789123,positive,very_weak
roleMixin,collective,0.05502983910768428,negative,very_weak
situation,collective,0.26925257194119334,negative,weak
subkind,collective,0.21340236413878144,positive,weak
type,collective,0.022673900795047858,positive,very_weak
category,datatype,0.09900850411590917,positive,very_weak
collective,datatype,0.1069601965013415,positive,very_weak
event,datatype,0.08867904797314587,positive,very_weak
kind,datatype,0.12657360679396967,positive,very_weak
mixin,datatype,0.003979675956138828,negative,very_weak
mode,datatype,0.00849054714636503,negative,very_weak
phase,datatype,0.03570543852386148,positive,very_weak
quality,datatype,0.1849848343095233,positive,very_weak
relator,datatype,0.1497256426346782,negative,very_weak
role,datatype,0.04396276048243433,negative,very_weak
roleMixin,datatype,0.07665133793180054,negative,very_weak
situation,datatype,0.1942329269096203,positive,very_weak
subkind,datatype,0.059218746371636245,positive,very_weak
type,datatype,0.06997211031526694,positive,very_weak
category,event,0.07718787941156484,positive,very_weak
collective,event,0.042110078007650306,negative,very_weak
datatype,event,0.08867904797314587,positive,very_weak
kind,event,0.26039041205418356,negative,weak
mixin,event,0.08620109117803146,negative,very_weak
mode,event,0.17126436781609194,positive,very_weak
phase,event,0.019472894418922294,positive,very_weak
quality,event,0.09326247831276857,positive,very_weak
relator,event,0.16405103605275953,negative,very_weak
role,event,0.1532691082910326,negative,very_weak
roleMixin,event,0.26489926611666026,positive,weak
situation,event,0.5399392480033207,positive,moderate
subkind,event,0.03848092617356855,negative,very_weak
type,event,0.2876082927204621,positive,weak
category,kind,0.0314176459735234,negative,very_weak
collective,kind,0.10616027076679957,positive,very_weak
datatype,kind,0.12657360679396967,positive,very_weak
event,kind,0.26039041205418356,negative,weak
mixin,kind,0.0060799708882683465,negative,very_weak
mode,kind,0.03651230870132463,positive,very_weak
phase,kind,0.2685897308059408,positive,weak
quality,kind,0.050975028352662606,positive,very_weak
relator,kind,0.1667583168602729,positive,very_weak
role,kind,0.4769422704382245,positive,moderate
roleMixin,kind,0.1920222610610064,negative,very_weak
situation,kind,0.2094999344732895,negative,weak
subkind,kind,0.38758622797680914,positive,weak
type,kind,0.27277997333179044,negative,weak
category,mixin,0.11422077114837663,positive,very_weak
collective,mixin,0.08726171906745601,positive,very_weak
datatype,mixin,0.003979675956138828,negative,very_weak
event,mixin,0.08620109117803146,negative,very_weak
kind,mixin,0.0060799708882683465,negative,very_weak
mode,mixin,0.13576671860539954,positive,very_weak
phase,mixin,0.20915121308217663,positive,weak
quality,mixin,0.21688791195008505,positive,weak
relator,mixin,0.04982714649866149,positive,very_weak
role,mixin,0.23808772588098065,positive,weak
roleMixin,mixin,0.10549337861748301,positive,very_weak
situation,mixin,0.05442816368295633,negative,very_weak
subkind,mixin,0.03823000313386505,negative,very_weak
type,mixin,0.08749844035108169,positive,very_weak
category,mode,0.32693714368563326,positive,weak
collective,mode,0.14051468135184364,positive,very_weak
datatype,mode,0.00849054714636503,negative,very_weak
event,mode,0.17126436781609194,positive,very_weak
kind,mode,0.03651230870132463,positive,very_weak
mixin,mode,0.13576671860539954,positive,very_weak
phase,mode,0.14749681730077313,positive,very_weak
quality,mode,0.21641677659757835,positive,weak
relator,mode,0.1513644225980128,positive,very_weak
role,mode,0.0946898155934128,positive,very_weak
roleMixin,mode,0.26489926611666026,positive,weak
situation,mode,0.06565504467553991,negative,very_weak
subkind,mode,0.17692860621108147,positive,very_weak
type,mode,0.1866759106073187,positive,very_weak
category,phase,0.05549995384239127,positive,very_weak
collective,phase,0.3197138373318457,positive,weak
datatype,phase,0.03570543852386148,positive,very_weak
event,phase,0.019472894418922294,positive,very_weak
