Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abstract,0.054658823618028,0.041199655063465894,0.002714444986431107,0.0022258454898609614,0.0006867684834554119,0.036119575997790615,0.0003864716412483593,0.041199655063466824,0.016112174424654346,0.0015361697235279567,0.020431038670998963,0.0034967915867407384,0.054658823618028,0.025395121772867763,0.0007889676115133276,0.013507227823333377,0.010572179781328822,0.05465882361802793,0.030367443834620103,0.012092392741747351,0.0411996550634652,0.054658823618027236,0.0017606617139038216
category,0.041199655063465894,2.046097475938355,0.21695223535233607,0.32677422692013214,0.10731331355192938,0.5823299332205395,0.0874461472377781,0.06341760851885611,0.7589279746962626,0.10232156885696536,0.46585834229129613,0.40947595698989786,0.15390588143524117,0.4820455583731045,0.10846360398333922,0.5166409892621456,0.5119054924399692,0.48169687529445365,0.2993792627117292,0.8621031756212876,0.3869727588231824,0.25562703344694243,0.23518545023160947
collective,0.002714444986431107,0.21695223535233607,0.8660367985859927,0.1457592028741001,0.0410303118587063,0.1605079553655845,0.0521979604537696,0.032055323697063515,0.29315809369182544,0.03376304109046107,0.13314773870965413,0.2137784646958873,0.0452921261535302,0.08777504896797828,0.05335584329783503,0.2156806864948783,0.22177452755916105,0.0938351417410395,0.057668887315178885,0.3964309391075763,0.0883933768213335,0.058313534212585054,0.09028605100821085
datatype,0.0022258454898609614,0.32677422692013214,0.1457592028741001,0.8622560141936548,0.16952310674514107,0.20789602637017507,0.03683117063944743,0.02364645385912617,0.33535993048331897,0.05429522915012303,0.16543493071253926,0.18367010376220258,0.10630435424336473,0.18066995382459172,0.051514034337941064,0.22836583081822306,0.2307915400218315,0.16553673407278552,0.12459695220340025,0.3827571951722642,0.1380156753597769,0.09644320687258981,0.08720588048849329
enumeration,0.0006867684834554119,0.10731331355192938,0.0410303118587063,0.16952310674514107,0.3671200489866052,0.09931150448832687,0.002789741086674534,0.0020814919532416085,0.18705192598203044,0.03012588555002786,0.09575075363273375,0.09930344365466906,0.058931957386885454,0.10493514448696593,0.07452348112234752,0.13468453740468048,0.1638924535908404,0.09952055129864602,0.06983887780014293,0.18429787440852963,0.0729640526375959,0.0111106918555883,0.012739536639158146
event,0.036119575997790615,0.5823299332205395,0.1605079553655845,0.20789602637017507,0.09931150448832687,1.8062292972758547,0.1642237201927042,0.11315230891218081,0.670672787418872,0.09202834117982855,0.4309448589002153,0.36485592422603885,0.09080605548338258,0.36788560321418134,0.1666320741056229,0.45372940097715725,0.511613748367979,0.5879459341965805,0.48691772695709107,0.6951464547665669,0.40805561189171735,0.3139290978522571,0.2905512020158115
historicalRole,0.0003864716412483593,0.0874461472377781,0.0521979604537696,0.03683117063944743,0.002789741086674534,0.1642237201927042,0.21806039441095246,0.055244339226671296,0.13730538308358,0.006244583039653334,0.022909364340840892,0.03874020989500203,0.003205155488447159,0.04859019374046534,0.11806090057758174,0.11882143388347796,0.10908342458766414,0.1022940769663478,0.11284065822483963,0.0887933014614442,0.0604076800966726,0.040489274243091775,0.059709937802369425
historicalRoleMixin,0.041199655063466824,0.06341760851885611,0.032055323697063515,0.02364645385912617,0.0020814919532416085,0.11315230891218081,0.055244339226671296,0.15023080415265458,0.06526963865455607,0.004658100159592608,0.018080689783064083,0.010616072202896454,0.07452269010269189,0.020197850307705774,0.03176216730440701,0.08177523425859747,0.04793029453484346,0.0821514402096417,0.020719688183135403,0.06543279284237434,0.11052535158646329,0.044097093509154,0.00533951609863445
kind,0.016112174424654346,0.7589279746962626,0.29315809369182544,0.33535993048331897,0.18705192598203044,0.670672787418872,0.13730538308358,0.06526963865455607,2.6625520754817043,0.12842403415962828,0.5560804516522846,0.5420969626000472,0.1430314260293129,0.5314315675443276,0.14852961481286966,0.8809531001959192,0.9917994729974575,0.5086516378326095,0.2933024756458436,1.2287989142708735,0.30480468453575443,0.3225420537534437,0.35614568996962603
mixin,0.0015361697235279567,0.10232156885696536,0.03376304109046107,0.05429522915012303,0.03012588555002786,0.09202834117982855,0.006244583039653334,0.004658100159592608,0.12842403415962828,0.4879294121369898,0.09619724717472258,0.15748410333914226,0.018205794001871285,0.13509609955771246,0.0412673132809559,0.16973256194874184,0.1479160065998959,0.07842003431515106,0.01976750658027137,0.17736605957205537,0.04477041765571397,0.04503491932087726,0.02861990199710738
