Stereotype,Stereotype2,Absolute Value,Sign,Classification
datatype,category,0.13295084501338433,positive,very_weak
event,category,0.11486390969687052,positive,very_weak
kind,category,0.08832155900960513,positive,very_weak
mode,category,0.2672155114217641,positive,weak
phase,category,0.09172272325111741,negative,very_weak
quality,category,0.24036754146298714,positive,weak
relator,category,0.10333628213544258,negative,very_weak
role,category,0.17320849151159376,negative,very_weak
roleMixin,category,0.23777360821093688,positive,weak
situation,category,0.20153189295930915,positive,weak
subkind,category,0.21607701745359664,positive,weak
type,category,0.3391626898493648,positive,weak
characterization,category,0.38998484153616103,positive,weak
componentOf,category,0.19786834141589213,positive,very_weak
derivation,category,0.10459852018180871,negative,very_weak
externalDependence,category,0.19188391752335648,positive,very_weak
instantiation,category,0.28971806220101537,positive,weak
material,category,0.14078551289891864,positive,very_weak
mediation,category,0.0006443637704266516,negative,very_weak
participation,category,0.19584529857059005,positive,very_weak
category,datatype,0.13295084501338433,positive,very_weak
event,datatype,0.05918200141874738,positive,very_weak
kind,datatype,0.11807056902200518,positive,very_weak
mode,datatype,0.026687853310719087,negative,very_weak
phase,datatype,0.008183619433667091,positive,very_weak
quality,datatype,0.15925017982360654,positive,very_weak
relator,datatype,0.13208881871670086,negative,very_weak
role,datatype,0.17799757090405852,negative,very_weak
roleMixin,datatype,0.07368824377545344,negative,very_weak
situation,datatype,0.16037787263557657,positive,very_weak
subkind,datatype,0.06964261046358068,positive,very_weak
type,datatype,0.08938157650667547,positive,very_weak
characterization,datatype,0.02244915636056726,negative,very_weak
componentOf,datatype,0.17296979873814353,positive,very_weak
derivation,datatype,0.000908043863874832,negative,very_weak
externalDependence,datatype,0.02458177172037974,negative,very_weak
instantiation,datatype,0.08905273180289332,positive,very_weak
material,datatype,0.012981861481231292,positive,very_weak
mediation,datatype,0.0024687495557820524,negative,very_weak
participation,datatype,0.10594349453403694,positive,very_weak
category,event,0.11486390969687052,positive,very_weak
datatype,event,0.05918200141874738,positive,very_weak
kind,event,0.30061416180704437,negative,weak
mode,event,0.15260166582980347,positive,very_weak
phase,event,0.029359750933988554,positive,very_weak
quality,event,0.12601145533519634,positive,very_weak
relator,event,0.1508036884135783,negative,very_weak
role,event,0.13798867519015678,negative,very_weak
roleMixin,event,0.3214544857967257,positive,weak
situation,event,0.5101525437201249,positive,moderate
subkind,event,0.03855364869125584,negative,very_weak
type,event,0.34291129957734245,positive,weak
characterization,event,0.1961310995362662,positive,very_weak
componentOf,event,0.10173755343249173,negative,very_weak
derivation,event,0.03915336746993165,negative,very_weak
externalDependence,event,0.3089350792677584,positive,weak
instantiation,event,0.3403437348144167,positive,weak
material,event,0.010040592427752027,negative,very_weak
mediation,event,0.07349207166191442,negative,very_weak
participation,event,0.6129765477444601,positive,strong
category,kind,0.08832155900960513,positive,very_weak
datatype,kind,0.11807056902200518,positive,very_weak
event,kind,0.30061416180704437,negative,weak
mode,kind,0.010198150161831928,positive,very_weak
phase,kind,0.2301599849568405,positive,weak
quality,kind,0.09724818703946808,positive,very_weak
relator,kind,0.30717050009244995,positive,weak
role,kind,0.3289226665756687,positive,weak
roleMixin,kind,0.3100581827920629,negative,weak
situation,kind,0.2449311387351239,negative,weak
subkind,kind,0.5392290454869604,positive,moderate
type,kind,0.22143678255907512,negative,weak
characterization,kind,0.054611618088874964,negative,very_weak
componentOf,kind,0.39322881370082674,positive,weak
derivation,kind,0.1459656291556631,positive,very_weak
externalDependence,kind,0.21675659042407774,negative,weak
instantiation,kind,0.1621402311778049,negative,very_weak
material,kind,0.32624843180201346,positive,weak
mediation,kind,0.20484738335796956,positive,weak
participation,kind,0.24532394019871118,negative,weak
category,mode,0.2672155114217641,positive,weak
datatype,mode,0.026687853310719087,negative,very_weak
event,mode,0.15260166582980347,positive,very_weak
kind,mode,0.010198150161831928,positive,very_weak
phase,mode,0.061284146588240176,positive,very_weak
quality,mode,0.18588584309204378,positive,very_weak
relator,mode,0.033970102904940375,positive,very_weak
role,mode,0.09976187927082275,positive,very_weak
roleMixin,mode,0.20086043363432465,positive,weak
situation,mode,0.09059864517389352,negative,very_weak
subkind,mode,0.12106681440968699,positive,very_weak
type,mode,0.18977509004312165,positive,very_weak
characterization,mode,0.5493805690491936,positive,moderate
componentOf,mode,0.16733470807444836,positive,very_weak
derivation,mode,0.0049811580104576775,positive,very_weak
externalDependence,mode,0.34834319360045174,positive,weak
instantiation,mode,0.16998125583548865,positive,very_weak
material,mode,0.06643972674045331,positive,very_weak
mediation,mode,0.21474442710279115,positive,weak
participation,mode,0.08073243208436721,positive,very_weak
category,phase,0.09172272325111741,negative,very_weak
datatype,phase,0.008183619433667091,positive,very_weak
event,phase,0.029359750933988554,positive,very_weak
kind,phase,0.2301599849568405,positive,weak
mode,phase,0.061284146588240176,positive,very_weak
quality,phase,0.10701136439959975,positive,very_weak
relator,phase,0.1935180946285741,positive,very_weak
role,phase,0.3109315654642673,positive,weak
roleMixin,phase,0.006945388640157479,negative,very_weak
situation,phase,0.07452623446025364,negative,very_weak
subkind,phase,0.29616156978821484,positive,weak
type,phase,0.04320764321625076,negative,very_weak
characterization,phase,0.0018230015261118113,positive,very_weak
componentOf,phase,0.12087521222702835,positive,very_weak
derivation,phase,0.048879788205299854,positive,very_weak
externalDependence,phase,0.10048059534673924,negative,very_weak
instantiation,phase,0.020409849167040146,negative,very_weak
material,phase,0.14190771879013217,positive,very_weak
mediation,phase,0.26531589993971993,positive,weak
participation,phase,0.08212463772802267,negative,very_weak
category,quality,0.24036754146298714,positive,weak
datatype,quality,0.15925017982360654,positive,very_weak
event,quality,0.12601145533519634,positive,very_weak
kind,quality,0.09724818703946808,positive,very_weak
mode,quality,0.18588584309204378,positive,very_weak
phase,quality,0.10701136439959975,positive,very_weak
relator,quality,0.13246878973969484,positive,very_weak
role,quality,0.03152192754351071,positive,very_weak
roleMixin,quality,0.10082750075338467,positive,very_weak
situation,quality,0.22370612905755838,positive,weak
subkind,quality,0.2766133123027017,positive,weak
type,quality,0.2322124480912226,positive,weak
characterization,quality,0.6168202551046285,positive,strong
componentOf,quality,0.04386706096725392,positive,very_weak
derivation,quality,0.11086236507018281,negative,very_weak
externalDependence,quality,0.15804244345206903,positive,very_weak
instantiation,quality,0.25363356963108674,positive,weak
material,quality,0.03152692182789669,positive,very_weak
mediation,quality,0.16950507591694075,positive,very_weak
participation,quality,0.26110216081193227,positive,weak
category,relator,0.10333628213544258,negative,very_weak
datatype,relator,0.13208881871670086,negative,very_weak
event,relator,0.1508036884135783,negative,very_weak
kind,relator,0.30717050009244995,positive,weak
mode,relator,0.033970102904940375,positive,very_weak
phase,relator,0.1935180946285741,positive,very_weak
quality,relator,0.13246878973969484,positive,very_weak
role,relator,0.3729960965119697,positive,weak
roleMixin,relator,0.1571977353831309,positive,very_weak
situation,relator,0.17426645704259583,negative,very_weak
subkind,relator,0.18353500212075474,positive,very_weak
type,relator,0.010196512992960306,negative,very_weak
characterization,relator,0.14518405618092875,positive,very_weak
componentOf,relator,0.2349998940264697,positive,weak
derivation,relator,0.27391985589118456,positive,weak
externalDependence,relator,0.057586974535863866,positive,very_weak
instantiation,relator,0.023818558490993756,positive,very_weak
material,relator,0.19991203630253573,positive,very_weak
mediation,relator,0.7120249677433866,positive,strong
participation,relator,0.046057294407488104,negative,very_weak
category,role,0.17320849151159376,negative,very_weak
datatype,role,0.17799757090405852,negative,very_weak
event,role,0.13798867519015678,negative,very_weak
kind,role,0.3289226665756687,positive,weak
mode,role,0.09976187927082275,positive,very_weak
phase,role,0.3109315654642673,positive,weak
quality,role,0.03152192754351071,positive,very_weak
relator,role,0.3729960965119697,positive,weak
roleMixin,role,0.019674713665924666,negative,very_weak
situation,role,0.19711270212981985,negative,very_weak
subkind,role,0.08186743247178226,positive,very_weak
type,role,0.15268626890739084,negative,very_weak
characterization,role,0.016627014733391676,positive,very_weak
componentOf,role,0.05726046881169211,positive,very_weak
derivation,role,0.20618487634468985,positive,weak
externalDependence,role,0.031878107590606296,positive,very_weak
instantiation,role,0.1768039961666149,negative,very_weak
material,role,0.121168741219016,positive,very_weak
mediation,role,0.3385369439776577,positive,weak
participation,role,0.3151720333803358,negative,weak
category,roleMixin,0.23777360821093688,positive,weak
datatype,roleMixin,0.07368824377545344,negative,very_weak
event,roleMixin,0.3214544857967257,positive,weak
kind,roleMixin,0.3100581827920629,negative,weak
mode,roleMixin,0.20086043363432465,positive,weak
phase,roleMixin,0.006945388640157479,negative,very_weak
quality,roleMixin,0.10082750075338467,positive,very_weak
relator,roleMixin,0.1571977353831309,positive,very_weak
role,roleMixin,0.019674713665924666,negative,very_weak
situation,roleMixin,0.1935226023361323,positive,very_weak
subkind,roleMixin,0.07914992016243352,negative,very_weak
type,roleMixin,0.369926651258012,positive,weak
characterization,roleMixin,0.2628264814410713,positive,weak
componentOf,roleMixin,0.03841327268073299,negative,very_weak
derivation,roleMixin,0.047279334794122226,negative,very_weak
externalDependence,roleMixin,0.40517794385786177,positive,moderate
instantiation,roleMixin,0.38586830739287536,positive,weak
material,roleMixin,0.07674370823086865,negative,very_weak
mediation,roleMixin,0.1808163047023428,positive,very_weak
participation,roleMixin,0.27109114985430816,positive,weak
category,situation,0.20153189295930915,positive,weak
datatype,situation,0.16037787263557657,positive,very_weak
event,situation,0.5101525437201249,positive,moderate
kind,situation,0.2449311387351239,negative,weak
mode,situation,0.09059864517389352,negative,very_weak
phase,situation,0.07452623446025364,negative,very_weak
quality,situation,0.22370612905755838,positive,weak
relator,situation,0.17426645704259583,negative,very_weak
role,situation,0.19711270212981985,negative,very_weak
roleMixin,situation,0.1935226023361323,positive,very_weak
subkind,situation,0.09331471863540738,negative,very_weak
type,situation,0.14836827327541774,positive,very_weak
characterization,situation,0.22477833919698822,positive,weak
componentOf,situation,0.08934924294924526,negative,very_weak
derivation,situation,0.0803996451676382,positive,very_weak
externalDependence,situation,0.08495412965160089,positive,very_weak
instantiation,situation,0.19484642073012992,positive,very_weak
material,situation,0.05829096239126338,positive,very_weak
mediation,situation,0.12779846379811705,negative,very_weak
participation,situation,0.459295907615194,positive,moderate
category,subkind,0.21607701745359664,positive,weak
datatype,subkind,0.06964261046358068,positive,very_weak
event,subkind,0.03855364869125584,negative,very_weak
kind,subkind,0.5392290454869604,positive,moderate
mode,subkind,0.12106681440968699,positive,very_weak
phase,subkind,0.29616156978821484,positive,weak
quality,subkind,0.2766133123027017,positive,weak
relator,subkind,0.18353500212075474,positive,very_weak
role,subkind,0.08186743247178226,positive,very_weak
roleMixin,subkind,0.07914992016243352,negative,very_weak
situation,subkind,0.09331471863540738,negative,very_weak
type,subkind,0.019872779380620206,negative,very_weak
characterization,subkind,0.10987563527239151,positive,very_weak
componentOf,subkind,0.2834283178111898,positive,weak
derivation,subkind,0.04858404243328497,negative,very_weak
externalDependence,subkind,0.012328070730458407,negative,very_weak
instantiation,subkind,0.02098592295828803,positive,very_weak
material,subkind,0.2281563650371621,positive,weak
mediation,subkind,0.2491776247939363,positive,weak
participation,subkind,0.06154675388265513,negative,very_weak
category,type,0.3391626898493648,positive,weak
datatype,type,0.08938157650667547,positive,very_weak
event,type,0.34291129957734245,positive,weak
kind,type,0.22143678255907512,negative,weak
mode,type,0.18977509004312165,positive,very_weak
phase,type,0.04320764321625076,negative,very_weak
quality,type,0.2322124480912226,positive,weak
relator,type,0.010196512992960306,negative,very_weak
role,type,0.15268626890739084,negative,very_weak
roleMixin,type,0.369926651258012,positive,weak
situation,type,0.14836827327541774,positive,very_weak
subkind,type,0.019872779380620206,negative,very_weak
characterization,type,0.28263812953424294,positive,weak
componentOf,type,0.11071676164502683,positive,very_weak
derivation,type,0.19710551670245083,negative,very_weak
externalDependence,type,0.504036739575375,positive,moderate
instantiation,type,0.8960627054482525,positive,very_strong
material,type,0.16875969836741164,negative,very_weak
mediation,type,0.026048039787272933,positive,very_weak
participation,type,0.4489580481676057,positive,moderate
category,characterization,0.38998484153616103,positive,weak
datatype,characterization,0.02244915636056726,negative,very_weak
event,characterization,0.1961310995362662,positive,very_weak
kind,characterization,0.054611618088874964,negative,very_weak
mode,characterization,0.5493805690491936,positive,moderate
phase,characterization,0.0018230015261118113,positive,very_weak
quality,characterization,0.6168202551046285,positive,strong
relator,characterization,0.14518405618092875,positive,very_weak
role,characterization,0.016627014733391676,positive,very_weak
roleMixin,characterization,0.2628264814410713,positive,weak
situation,characterization,0.22477833919698822,positive,weak
subkind,characterization,0.10987563527239151,positive,very_weak
type,characterization,0.28263812953424294,positive,weak
componentOf,characterization,0.19444212413873138,positive,very_weak
derivation,characterization,0.02438662486104525,negative,very_weak
externalDependence,characterization,0.4311965399457944,positive,moderate
instantiation,characterization,0.33357660278230306,positive,weak
material,characterization,0.09042036571743166,positive,very_weak
mediation,characterization,0.2988226884723919,positive,weak
participation,characterization,0.31786893951460465,positive,weak
category,componentOf,0.19786834141589213,positive,very_weak
datatype,componentOf,0.17296979873814353,positive,very_weak
event,componentOf,0.10173755343249173,negative,very_weak
kind,componentOf,0.39322881370082674,positive,weak
mode,componentOf,0.16733470807444836,positive,very_weak
phase,componentOf,0.12087521222702835,positive,very_weak
quality,componentOf,0.04386706096725392,positive,very_weak
relator,componentOf,0.2349998940264697,positive,weak
role,componentOf,0.05726046881169211,positive,very_weak
roleMixin,componentOf,0.03841327268073299,negative,very_weak
situation,componentOf,0.08934924294924526,negative,very_weak
subkind,componentOf,0.2834283178111898,positive,weak
type,componentOf,0.11071676164502683,positive,very_weak
characterization,componentOf,0.19444212413873138,positive,very_weak
derivation,componentOf,0.026310828379877454,negative,very_weak
