stereotype,total_correlation,rank
category,3.6753650754877594,20
collective,3.4828682399801814,22
datatype,2.262660457485812,28
event,5.5050927621790935,8
kind,5.2457369912935485,10
mixin,2.4833185172479255,27
mode,4.240859086403697,15
phase,2.9006154551547314,26
quality,4.436201255683315,13
relator,3.9891483970703163,16
role,3.728603119511538,18
roleMixin,3.9574034577047854,17
situation,5.127167947516975,11
subkind,3.319016957915566,24
type,6.47967252280817,4
bringsAbout,5.745717420748924,6
characterization,5.491144212429592,9
componentOf,3.176397732832335,25
creation,4.335382143617323,14
derivation,3.390946515058385,23
externalDependence,5.726846319913187,7
historicalDependence,6.109363635991714,5
instantiation,6.822644400529847,1
manifestation,6.648658202111705,3
material,3.6727363706301297,21
mediation,4.604327157319701,12
memberOf,3.682469105572446,19
participation,6.680587341266993,2
