Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.09415997881490265,positive,very_weak
kind,category,0.05267689695486466,positive,very_weak
mode,category,0.29557177817363967,positive,weak
phase,category,0.07134848916925603,positive,very_weak
quality,category,0.22544757873522137,positive,weak
relator,category,0.05348771203483487,positive,very_weak
role,category,0.06463917075754586,positive,very_weak
roleMixin,category,0.24203240158063383,positive,weak
subkind,category,0.24467583522776076,positive,weak
none_c,category,0.009700599940253284,positive,very_weak
other_c,category,0.07278055717367772,positive,very_weak
characterization,category,0.3628110641488811,positive,weak
componentOf,category,0.22160593326450123,positive,weak
material,category,0.09544026546843423,positive,very_weak
mediation,category,0.004661657329298508,positive,very_weak
participation,category,0.1355962206920129,positive,very_weak
none_r,category,0.12563616324541052,positive,very_weak
other_r,category,0.05362044293845167,positive,very_weak
category,event,0.09415997881490265,positive,very_weak
kind,event,0.27978035217337777,positive,weak
mode,event,0.16166393483403715,positive,very_weak
phase,event,0.02391065306727138,positive,very_weak
quality,event,0.1084072904391543,positive,very_weak
relator,event,0.15728795670624324,positive,very_weak
role,event,0.14542833699336682,positive,very_weak
roleMixin,event,0.29180996791998215,positive,weak
subkind,event,0.03851727026945074,positive,very_weak
none_c,event,0.11704940185156136,positive,very_weak
other_c,event,0.11113391173539011,positive,very_weak
characterization,event,0.17481302056532808,positive,very_weak
componentOf,event,0.11325245469865114,positive,very_weak
material,event,0.019142100083659318,positive,very_weak
mediation,event,0.08631706342378369,positive,very_weak
participation,event,0.5959758724009027,positive,moderate
none_r,event,0.22250978833206583,positive,weak
other_r,event,0.1385071546029322,positive,very_weak
category,kind,0.05267689695486466,positive,very_weak
event,kind,0.27978035217337777,positive,weak
mode,kind,0.019296580186428658,positive,very_weak
phase,kind,0.24863348206115998,positive,weak
quality,kind,0.07040759257055962,positive,very_weak
relator,kind,0.22632550802891233,positive,weak
role,kind,0.39607716848512553,positive,weak
roleMixin,kind,0.2440042485699762,positive,weak
subkind,kind,0.45716271912288103,positive,moderate
none_c,kind,0.10064747127475726,positive,very_weak
other_c,kind,0.023460101536763398,positive,very_weak
characterization,kind,0.029340768745932666,positive,very_weak
componentOf,kind,0.258885400503284,positive,weak
material,kind,0.33745268316692445,positive,weak
mediation,kind,0.20896872736367472,positive,weak
participation,kind,0.24862060674294145,positive,weak
none_r,kind,0.06486405192577287,positive,very_weak
other_r,kind,0.07764171963101657,positive,very_weak
category,mode,0.29557177817363967,positive,weak
event,mode,0.16166393483403715,positive,very_weak
kind,mode,0.019296580186428658,positive,very_weak
phase,mode,0.095074794623809,positive,very_weak
quality,mode,0.20057122170716152,positive,weak
relator,mode,0.07170679892312427,positive,very_weak
role,mode,0.09719276697062655,positive,very_weak
roleMixin,mode,0.23066811973397353,positive,weak
subkind,mode,0.146356355283676,positive,very_weak
none_c,mode,0.0769095993353538,positive,very_weak
other_c,mode,0.12802104783574886,positive,very_weak
characterization,mode,0.5287845627624639,positive,moderate
componentOf,mode,0.14618775648384813,positive,very_weak
material,mode,0.0744696195892693,positive,very_weak
mediation,mode,0.2363271436859254,positive,weak
participation,mode,0.07524308734513188,positive,very_weak
none_r,mode,0.025415710895901892,positive,very_weak
other_r,mode,0.047658714977914386,positive,very_weak
category,phase,0.07134848916925603,positive,very_weak
event,phase,0.02391065306727138,positive,very_weak
kind,phase,0.24863348206115998,positive,weak
mode,phase,0.095074794623809,positive,very_weak
quality,phase,0.1014143727253569,positive,very_weak
relator,phase,0.13118982370228885,positive,very_weak
role,phase,0.2509996177939081,positive,weak
roleMixin,phase,0.010366467949729497,positive,very_weak
subkind,phase,0.33283771374155463,positive,weak
none_c,phase,0.10001600698314804,positive,very_weak
other_c,phase,0.0368927500638761,positive,very_weak
characterization,phase,0.005877571252263879,positive,very_weak
componentOf,phase,0.13647645493022217,positive,very_weak
material,phase,0.12776469326049705,positive,very_weak
