stereotype,total_correlation,rank
category,4.027820760041887,20
collective,3.856344672894922,22
datatype,2.5406653725839377,31
event,6.09543937425809,6
kind,5.539234175051622,10
mixin,2.913075614925667,28
mode,4.578066326440102,15
phase,3.098257249007607,27
quality,4.882188505649234,13
relator,4.459317031615019,16
role,3.8311413205027085,23
roleMixin,4.251332341351428,17
situation,5.47150248686555,11
subkind,3.535513464254069,25
type,6.939822740564961,4
none_c,2.3304214526266303,32
other_c,3.740304990168961,24
bringsAbout,6.044514743442616,7
characterization,5.74486058065572,9
componentOf,3.3819693258680283,26
creation,4.765025525302463,14
derivation,3.911058429503461,21
externalDependence,6.0347909775174085,8
historicalDependence,6.503877810402844,5
instantiation,7.231946952753043,1
manifestation,7.082122075239523,2
material,4.110935598263827,19
mediation,5.1832018480204525,12
memberOf,4.24337550310168,18
participation,7.070169972033595,3
none_r,2.581387009761351,30
other_r,2.837538600659379,29
