Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.3090829259399593,0.04046857836742419,0.1376460480017525,-0.02861188941401981,0.23323738330386634,0.4423786900315733,0.32180241122997,0.388552606735289,0.1311765202762367,-0.12043812020594341,-0.09448337304460283,0.5530061167988236
characterization,0.3090829259399593,1.0,0.19444212413873138,0.10931760930151899,-0.02438662486104525,0.4311965399457944,0.2705409734020398,0.33357660278230306,0.38603631998885346,0.09042036571743166,0.2988226884723919,0.05463285199232176,0.31786893951460465
componentOf,0.04046857836742419,0.19444212413873138,1.0,0.03835816222151398,-0.026310828379877454,0.011722888803110385,0.06786867449506921,0.18007737305402297,0.1681436743059483,0.22636697755920246,0.19490236967614805,0.26370566332189244,-0.031908005476451146
creation,0.1376460480017525,0.10931760930151899,0.03835816222151398,1.0,0.061018591379423365,0.21827205434937308,0.33277849606546694,0.3854539740729056,0.39766219155391874,-0.018191026637354668,0.1376411278435733,0.15844211722230356,0.6300220595593661
derivation,-0.02861188941401981,-0.02438662486104525,-0.026310828379877454,0.061018591379423365,1.0,-0.09135521182711275,-0.11937769962203053,-0.15120234824864404,-0.17012650823819458,0.43223172033337687,0.31309136755359007,0.15066676567256426,-0.06909030900837271
externalDependence,0.23323738330386634,0.4311965399457944,0.011722888803110385,0.21827205434937308,-0.09135521182711275,1.0,0.36876871590597515,0.5287316831943635,0.4437145825831679,-0.2546174529127238,0.13204144410028537,0.13853448180468692,0.3678906131073533
historicalDependence,0.4423786900315733,0.2705409734020398,0.06786867449506921,0.33277849606546694,-0.11937769962203053,0.36876871590597515,1.0,0.5803334952738958,0.5712769955097764,-0.011167095703284141,0.10244602101029021,0.08175675599967604,0.578588986435998
instantiation,0.32180241122997,0.33357660278230306,0.18007737305402297,0.3854539740729056,-0.15120234824864404,0.5287316831943635,0.5803334952738958,1.0,0.7939185987043664,-0.14128636491190177,0.09304946609729757,0.01223002380048502,0.5259449531598978
manifestation,0.388552606735289,0.38603631998885346,0.1681436743059483,0.39766219155391874,-0.17012650823819458,0.4437145825831679,0.5712769955097764,0.7939185987043664,1.0,-0.1021061102455973,0.06347492161869094,0.03566908494049538,0.5848676080515218
material,0.1311765202762367,0.09042036571743166,0.22636697755920246,-0.018191026637354668,0.43223172033337687,-0.2546174529127238,-0.011167095703284141,-0.14128636491190177,-0.1021061102455973,1.0,0.2870572522393817,0.1255117436420494,-0.06594276437030316
mediation,-0.12043812020594341,0.2988226884723919,0.19490236967614805,0.1376411278435733,0.31309136755359007,0.13204144410028537,0.10244602101029021,0.09304946609729757,0.06347492161869094,0.2870572522393817,1.0,0.29488932629863407,0.027506373781230966
memberOf,-0.09448337304460283,0.05463285199232176,0.26370566332189244,0.15844211722230356,0.15066676567256426,0.13853448180468692,0.08175675599967604,0.01223002380048502,0.03566908494049538,0.1255117436420494,0.29488932629863407,1.0,0.13527924961879545
participation,0.5530061167988236,0.31786893951460465,-0.031908005476451146,0.6300220595593661,-0.06909030900837271,0.3678906131073533,0.578588986435998,0.5259449531598978,0.5848676080515218,-0.06594276437030316,0.027506373781230966,0.13527924961879545,1.0
