Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.47471735387438596,0.25793692875513863,0.06229720936723589,0.0962341883151112,0.04051158102675626,0.03252354918664831,0.1362514650285912,0.17834219659007064,0.14422263776241206,0.13382221921582632,0.15987169483683586,0.1724544498208176,0.023528893347506262,0.3125220306580626,0.028747484164729803,0.002215872115509457,0.0,0.03382756323040503,0.21152542664747873,0.2682051746657196,0.051072483374162855
characterization,0.25793692875513863,1.9885832057304529,0.07994459335476214,0.44333085240290393,0.1921478748887876,0.24398368098238843,0.4549164954921195,0.3173843529392889,0.36616286382279484,0.3023162041696694,0.5607018896308162,0.6510860838224298,0.20258783326545726,0.4707262850914884,0.017010468431504354,0.01504630389907713,0.0,0.01504630389907713,0.2496289407091069,1.1233098990275778,0.2994459925597639
comparative,0.06229720936723589,0.07994459335476214,0.2046012258563904,0.11649744589282605,0.04966282955936515,0.04701806690357095,0.008571170117526387,0.05346005749431283,0.006244583039653383,0.0361971323000162,0.1860619782361532,0.1212690450311502,0.03987269118368367,0.08786348736942767,0.0007768285261068875,0.0007768285261068875,0.0,0.05495011002987341,0.0036250623366174337,0.09493018385537498,0.012610518243089064
componentOf,0.0962341883151112,0.44333085240290393,0.11649744589282605,1.304453718838851,0.11829437057020925,0.1768571373936859,0.19377687410895955,0.12403677446176806,0.22727975314556204,0.17526072307521334,0.4450579751585305,0.42101204838137585,0.20057959817233126,0.18656654858404792,0.007310593533619347,0.0396579296633261,0.0,0.0396579296633261,0.038089709231447735,0.7076732644017565,0.1541102422653269
creation,0.04051158102675626,0.1921478748887876,0.04966282955936515,0.11829437057020925,0.5864832562721471,0.07543913182312686,0.12334233755311272,0.1317833315760581,0.1933954039006559,0.15867507452936608,0.13705701709591925,0.23091489269559096,0.0898835390548595,0.3788303483264612,0.01823893083297369,0.002866825276443677,0.0,0.06063970243983946,0.01958998233410713,0.3946481290811447,0.10928330414335687
derivation,0.03252354918664831,0.24398368098238843,0.04701806690357095,0.1768571373936859,0.07543913182312686,0.9990412262328516,0.09142691069385384,0.04861014616416654,0.04780078760977239,0.03316052856697667,0.5417959101640599,0.46798287858572474,0.11460174742193499,0.10334982000916193,0.006495701541093801,0.035954323445961014,0.0,0.021475430622387104,0.04775424523343195,0.5710408683944199,0.3261293769958295
externalDependence,0.1362514650285912,0.4549164954921195,0.008571170117526387,0.19377687410895955,0.12334233755311272,0.09142691069385384,0.8587428216305797,0.19552479940309367,0.3527710139102708,0.2298245050832587,0.1443807684408012,0.3703936366609902,0.12338221501086637,0.3216976292048961,0.06309282417979775,0.004238103573157848,0.0,0.03237970191791767,0.12775587545119219,0.5165775541851958,0.1614847330748673
historicalDependence,0.17834219659007064,0.3173843529392889,0.05346005749431283,0.12403677446176806,0.1317833315760581,0.04861014616416654,0.19552479940309367,0.6063666100873739,0.2778856104856924,0.2250939697651282,0.15186029184547073,0.26763614628081833,0.05421057897434323,0.3825671949633448,0.05097776182022516,0.0028668252764437047,0.0,0.02974319515931357,0.13715656178511695,0.35261577750688244,0.1067507169725353
instantiation,0.14422263776241206,0.36616286382279484,0.006244583039653383,0.22727975314556204,0.1933954039006559,0.04780078760977239,0.3527710139102708,0.2778856104856924,0.7050571776524461,0.39769533980852606,0.13862382755762342,0.2747508210718316,0.07395380424180253,0.38410964045402884,0.02410139193735531,0.003088751363153147,0.0,0.037560560491917326,0.1111835339279999,0.4596854345608421,0.15525471203117927
manifestation,0.13382221921582632,0.3023162041696694,0.0361971323000162,0.17526072307521334,0.15867507452936608,0.03316052856697667,0.2298245050832587,0.2250939697651282,0.39769533980852606,0.5282739946071859,0.09230692398551996,0.2083964789489044,0.04597933462771349,0.34613270893406367,0.0024304407748765716,0.0024304407748765716,0.0,0.0024304407748765716,0.11458906553476923,0.3411469517020098,0.1353587521629228
