Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('abstract', 'category')",0.013888888888888888,0.0273972602739726
"('abstract', 'collective')",0.0,0.0
"('abstract', 'datatype')",0.0,0.0
"('abstract', 'enumeration')",0.0,0.0
"('abstract', 'event')",0.02127659574468085,0.041666666666666664
"('abstract', 'historicalRole')",0.0,0.0
"('abstract', 'historicalRoleMixin')",0.3333333333333333,0.5
"('abstract', 'kind')",0.0,0.0
"('abstract', 'mixin')",0.0,0.0
"('abstract', 'mode')",0.021739130434782608,0.0425531914893617
"('abstract', 'phase')",0.0,0.0
"('abstract', 'phaseMixin')",0.125,0.2222222222222222
"('abstract', 'quality')",0.02702702702702703,0.05263157894736842
"('abstract', 'quantity')",0.0,0.0
"('abstract', 'relator')",0.0,0.0
"('abstract', 'role')",0.0,0.0
"('abstract', 'roleMixin')",0.022727272727272728,0.044444444444444446
"('abstract', 'situation')",0.05263157894736842,0.1
"('abstract', 'subkind')",0.0,0.0
"('abstract', 'type')",0.05,0.09523809523809523
"('category', 'collective')",0.22784810126582278,0.3711340206185567
"('category', 'datatype')",0.2077922077922078,0.34408602150537637
"('category', 'enumeration')",0.05333333333333334,0.10126582278481013
"('category', 'event')",0.4,0.5714285714285714
"('category', 'historicalRole')",0.0410958904109589,0.07894736842105263
"('category', 'historicalRoleMixin')",0.041666666666666664,0.08
"('category', 'kind')",0.58,0.7341772151898734
"('category', 'mixin')",0.17333333333333334,0.29545454545454547
"('category', 'mode')",0.4936708860759494,0.6610169491525424
"('category', 'phase')",0.2962962962962963,0.45714285714285713
"('category', 'phaseMixin')",0.1111111111111111,0.2
"('category', 'quality')",0.379746835443038,0.5504587155963303
"('category', 'quantity')",0.08108108108108109,0.15
"('category', 'relator')",0.5408163265306123,0.7019867549668874
"('category', 'role')",0.5052631578947369,0.6713286713286714
"('category', 'roleMixin')",0.45,0.6206896551724138
"('category', 'situation')",0.21333333333333335,0.3516483516483517
"('category', 'subkind')",0.6333333333333333,0.7755102040816326
"('category', 'type')",0.24324324324324326,0.391304347826087
"('collective', 'datatype')",0.1794871794871795,0.30434782608695654
"('collective', 'enumeration')",0.06666666666666667,0.125
"('collective', 'event')",0.16129032258064516,0.2777777777777778
"('collective', 'historicalRole')",0.07407407407407407,0.13793103448275862
"('collective', 'historicalRoleMixin')",0.037037037037037035,0.07142857142857142
"('collective', 'kind')",0.24719101123595505,0.3963963963963964
"('collective', 'mixin')",0.1388888888888889,0.24390243902439024
"('collective', 'mode')",0.24561403508771928,0.39436619718309857
"('collective', 'phase')",0.3181818181818182,0.4827586206896552
"('collective', 'phaseMixin')",0.1,0.18181818181818182
"('collective', 'quality')",0.14814814814814814,0.25806451612903225
"('collective', 'quantity')",0.13793103448275862,0.24242424242424243
"('collective', 'relator')",0.2682926829268293,0.4230769230769231
"('collective', 'role')",0.23076923076923078,0.375
"('collective', 'roleMixin')",0.15,0.2608695652173913
"('collective', 'situation')",0.0,0.0
"('collective', 'subkind')",0.28205128205128205,0.44
"('collective', 'type')",0.125,0.2222222222222222
"('datatype', 'enumeration')",0.16666666666666666,0.2857142857142857
"('datatype', 'event')",0.19298245614035087,0.3235294117647059
"('datatype', 'historicalRole')",0.041666666666666664,0.08
"('datatype', 'historicalRoleMixin')",0.043478260869565216,0.08333333333333333
"('datatype', 'kind')",0.2159090909090909,0.35514018691588783
"('datatype', 'mixin')",0.08823529411764706,0.16216216216216217
"('datatype', 'mode')",0.15517241379310345,0.26865671641791045
"('datatype', 'phase')",0.14893617021276595,0.25925925925925924
"('datatype', 'phaseMixin')",0.11538461538461539,0.20689655172413793
"('datatype', 'quality')",0.23404255319148937,0.3793103448275862
"('datatype', 'quantity')",0.11538461538461539,0.20689655172413793
"('datatype', 'relator')",0.14942528735632185,0.26
"('datatype', 'role')",0.16455696202531644,0.2826086956521739
"('datatype', 'roleMixin')",0.1206896551724138,0.2153846153846154
"('datatype', 'situation')",0.21212121212121213,0.35
"('datatype', 'subkind')",0.2,0.3333333333333333
"('datatype', 'type')",0.1388888888888889,0.24390243902439024
"('enumeration', 'event')",0.058823529411764705,0.1111111111111111
"('enumeration', 'historicalRole')",0.0,0.0
"('enumeration', 'historicalRoleMixin')",0.0,0.0
"('enumeration', 'kind')",0.08139534883720931,0.15053763440860216
"('enumeration', 'mixin')",0.045454545454545456,0.08695652173913043
"('enumeration', 'mode')",0.0392156862745098,0.07547169811320754
"('enumeration', 'phase')",0.08108108108108109,0.15
"('enumeration', 'phaseMixin')",0.07142857142857142,0.13333333333333333
"('enumeration', 'quality')",0.1,0.18181818181818182
"('enumeration', 'quantity')",0.15384615384615385,0.26666666666666666
"('enumeration', 'relator')",0.075,0.13953488372093023
"('enumeration', 'role')",0.0684931506849315,0.1282051282051282
"('enumeration', 'roleMixin')",0.0625,0.11764705882352941
"('enumeration', 'situation')",0.08333333333333333,0.15384615384615385
"('enumeration', 'subkind')",0.07894736842105263,0.14634146341463414
"('enumeration', 'type')",0.08,0.14814814814814814
"('event', 'historicalRole')",0.0851063829787234,0.1568627450980392
"('event', 'historicalRoleMixin')",0.06382978723404255,0.12
"('event', 'kind')",0.33,0.49624060150375937
"('event', 'mixin')",0.08620689655172414,0.15873015873015872
"('event', 'mode')",0.36764705882352944,0.5376344086021505
"('event', 'phase')",0.23076923076923078,0.375
"('event', 'phaseMixin')",0.057692307692307696,0.10909090909090909
"('event', 'quality')",0.2923076923076923,0.4523809523809524
"('event', 'quantity')",0.12244897959183673,0.21818181818181817
"('event', 'relator')",0.3404255319148936,0.5079365079365079
"('event', 'role')",0.3111111111111111,0.4745762711864407
"('event', 'roleMixin')",0.4,0.5714285714285714
"('event', 'situation')",0.40425531914893614,0.5757575757575758
"('event', 'subkind')",0.3707865168539326,0.5409836065573771
"('event', 'type')",0.28846153846153844,0.44776119402985076
"('historicalRole', 'historicalRoleMixin')",0.16666666666666666,0.2857142857142857
"('historicalRole', 'kind')",0.046511627906976744,0.08888888888888889
