Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.05249820470693736,positive,very_weak
datatype,category,0.11818642630580857,positive,very_weak
event,category,0.14123416092546398,positive,very_weak
kind,category,0.11460002956368016,positive,very_weak
mixin,category,0.09601844702695682,positive,very_weak
mode,category,0.2640601200645892,positive,weak
phase,category,0.07217729178324363,negative,very_weak
quality,category,0.23432518185778609,positive,weak
relator,category,0.10564949382505191,negative,very_weak
role,category,0.13353461812435893,negative,very_weak
roleMixin,category,0.24886833954230372,positive,weak
situation,category,0.18615753257402295,positive,very_weak
subkind,category,0.2086800346006988,positive,weak
type,category,0.3501107771279238,positive,weak
none,category,0.06128404337228863,positive,very_weak
other,category,0.07719025260264005,negative,very_weak
category,collective,0.05249820470693736,positive,very_weak
datatype,collective,0.1260074215411692,positive,very_weak
event,collective,0.07520527453996799,negative,very_weak
kind,collective,0.19875973257700671,positive,very_weak
mixin,collective,0.08176918908429906,positive,very_weak
mode,collective,0.1222038129101584,positive,very_weak
phase,collective,0.22864000258676623,positive,weak
quality,collective,0.0614983558595,negative,very_weak
relator,collective,0.11587110777861212,positive,very_weak
role,collective,0.030330927816382098,positive,very_weak
roleMixin,collective,0.07506117872624954,negative,very_weak
situation,collective,0.2554450984983756,negative,weak
subkind,collective,0.14304771948036213,positive,very_weak
type,collective,0.022501927307365263,positive,very_weak
none,collective,0.1473495489157677,negative,very_weak
other,collective,0.06708780273590233,negative,very_weak
category,datatype,0.11818642630580857,positive,very_weak
collective,datatype,0.1260074215411692,positive,very_weak
event,datatype,0.045038112181443615,positive,very_weak
kind,datatype,0.09927566925718974,positive,very_weak
mixin,datatype,0.009517963165639796,negative,very_weak
mode,datatype,0.026745400467706352,negative,very_weak
phase,datatype,0.0064489921690898165,negative,very_weak
quality,datatype,0.15249432027015344,positive,very_weak
relator,datatype,0.12904844330240092,negative,very_weak
role,datatype,0.19224586644193956,negative,very_weak
roleMixin,datatype,0.0799272586170727,negative,very_weak
situation,datatype,0.166967927347565,positive,very_weak
subkind,datatype,0.06683815946566028,positive,very_weak
type,datatype,0.07815063704309247,positive,very_weak
none,datatype,0.03314946714648187,positive,very_weak
other,datatype,0.011314632404630508,positive,very_weak
category,event,0.14123416092546398,positive,very_weak
collective,event,0.07520527453996799,negative,very_weak
datatype,event,0.045038112181443615,positive,very_weak
kind,event,0.2370416635957669,negative,weak
mixin,event,0.09704109885972367,negative,very_weak
mode,event,0.16551568765790894,positive,very_weak
phase,event,0.025198953703011815,positive,very_weak
quality,event,0.146332503336983,positive,very_weak
relator,event,0.11659769207582679,negative,very_weak
role,event,0.11071084730242513,negative,very_weak
roleMixin,event,0.29769312068809095,positive,weak
situation,event,0.47860566204847027,positive,moderate
subkind,event,0.0006022391139508847,positive,very_weak
type,event,0.3555895559435339,positive,weak
none,event,0.17075576886845936,positive,very_weak
other,event,0.07716399798504862,positive,very_weak
category,kind,0.11460002956368016,positive,very_weak
collective,kind,0.19875973257700671,positive,very_weak
datatype,kind,0.09927566925718974,positive,very_weak
event,kind,0.2370416635957669,negative,weak
mixin,kind,0.023647393363512875,positive,very_weak
mode,kind,0.016635201563331436,positive,very_weak
phase,kind,0.2329233332040491,positive,weak
quality,kind,0.11489844414217275,positive,very_weak
relator,kind,0.3107188581000649,positive,weak
role,kind,0.3420293292371845,positive,weak
roleMixin,kind,0.2943875922321251,negative,weak
situation,kind,0.25108424264457196,negative,weak
subkind,kind,0.5392717852714264,positive,moderate
type,kind,0.18985166711460627,negative,very_weak
none,kind,0.09341672138839986,negative,very_weak
other,kind,0.038451270410742366,negative,very_weak
category,mixin,0.09601844702695682,positive,very_weak
collective,mixin,0.08176918908429906,positive,very_weak
datatype,mixin,0.009517963165639796,negative,very_weak
event,mixin,0.09704109885972367,negative,very_weak
kind,mixin,0.023647393363512875,positive,very_weak
mode,mixin,0.11421193545568467,positive,very_weak
phase,mixin,0.2426781873847545,positive,weak
quality,mixin,0.2237949057493997,positive,weak
relator,mixin,0.06867973826878222,positive,very_weak
role,mixin,0.2809718643372948,positive,weak
roleMixin,mixin,0.10608829388489228,positive,very_weak
situation,mixin,0.06054560429865858,negative,very_weak
subkind,mixin,0.0335495877481767,negative,very_weak
type,mixin,0.04811923531166504,positive,very_weak
none,mixin,0.10771269649416981,positive,very_weak
other,mixin,0.18290042124551456,negative,very_weak
category,mode,0.2640601200645892,positive,weak
collective,mode,0.1222038129101584,positive,very_weak
datatype,mode,0.026745400467706352,negative,very_weak
event,mode,0.16551568765790894,positive,very_weak
kind,mode,0.016635201563331436,positive,very_weak
mixin,mode,0.11421193545568467,positive,very_weak
phase,mode,0.0224632604370947,positive,very_weak
quality,mode,0.15549638264432633,positive,very_weak
relator,mode,0.0218302422386692,positive,very_weak
role,mode,0.08284040508003726,positive,very_weak
roleMixin,mode,0.20720701100027414,positive,weak
situation,mode,0.08888896973598938,negative,very_weak
subkind,mode,0.11052261675841239,positive,very_weak
type,mode,0.2306623102301371,positive,weak
none,mode,0.09455156324232893,positive,very_weak
other,mode,0.1258637718591313,negative,very_weak
category,phase,0.07217729178324363,negative,very_weak
collective,phase,0.22864000258676623,positive,weak
datatype,phase,0.0064489921690898165,negative,very_weak
event,phase,0.025198953703011815,positive,very_weak
kind,phase,0.2329233332040491,positive,weak
mixin,phase,0.2426781873847545,positive,weak
mode,phase,0.0224632604370947,positive,very_weak
quality,phase,0.11882195080377034,positive,very_weak
relator,phase,0.1852579338864852,positive,very_weak
role,phase,0.3376374173011174,positive,weak
roleMixin,phase,0.0005021540240552261,positive,very_weak
situation,phase,0.08490821490577248,negative,very_weak
subkind,phase,0.28461005680324064,positive,weak
type,phase,0.06992298586018515,negative,very_weak
none,phase,0.07631676779429043,negative,very_weak
other,phase,0.015205082973911281,positive,very_weak
category,quality,0.23432518185778609,positive,weak
collective,quality,0.0614983558595,negative,very_weak
datatype,quality,0.15249432027015344,positive,very_weak
event,quality,0.146332503336983,positive,very_weak
kind,quality,0.11489844414217275,positive,very_weak
mixin,quality,0.2237949057493997,positive,weak
mode,quality,0.15549638264432633,positive,very_weak
phase,quality,0.11882195080377034,positive,very_weak
relator,quality,0.1684350232398525,positive,very_weak
role,quality,0.03634948657328214,positive,very_weak
roleMixin,quality,0.06488548856990274,positive,very_weak
situation,quality,0.2151248899445464,positive,weak
subkind,quality,0.30574894088203597,positive,weak
type,quality,0.1974420741283277,positive,very_weak
none,quality,0.0821538667002595,positive,very_weak
other,quality,0.18244396226538692,negative,very_weak
category,relator,0.10564949382505191,negative,very_weak
collective,relator,0.11587110777861212,positive,very_weak
datatype,relator,0.12904844330240092,negative,very_weak
event,relator,0.11659769207582679,negative,very_weak
kind,relator,0.3107188581000649,positive,weak
mixin,relator,0.06867973826878222,positive,very_weak
mode,relator,0.0218302422386692,positive,very_weak
phase,relator,0.1852579338864852,positive,very_weak
quality,relator,0.1684350232398525,positive,very_weak
role,relator,0.35137782308647847,positive,weak
roleMixin,relator,0.11479820335470321,positive,very_weak
situation,relator,0.16948040540194212,negative,very_weak
subkind,relator,0.21626827841757615,positive,weak
type,relator,0.02335308967206558,negative,very_weak
none,relator,0.2594774867102009,negative,weak
other,relator,0.11666018990221351,negative,very_weak
category,role,0.13353461812435893,negative,very_weak
collective,role,0.030330927816382098,positive,very_weak
datatype,role,0.19224586644193956,negative,very_weak
event,role,0.11071084730242513,negative,very_weak
kind,role,0.3420293292371845,positive,weak
mixin,role,0.2809718643372948,positive,weak
mode,role,0.08284040508003726,positive,very_weak
phase,role,0.3376374173011174,positive,weak
quality,role,0.03634948657328214,positive,very_weak
relator,role,0.35137782308647847,positive,weak
roleMixin,role,0.0009532325405220322,positive,very_weak
situation,role,0.20728739053733294,negative,weak
subkind,role,0.07715720916284166,positive,very_weak
type,role,0.142348260129205,negative,very_weak
none,role,0.02048321405072769,positive,very_weak
other,role,0.04525416826589712,negative,very_weak
category,roleMixin,0.24886833954230372,positive,weak
collective,roleMixin,0.07506117872624954,negative,very_weak
datatype,roleMixin,0.0799272586170727,negative,very_weak
event,roleMixin,0.29769312068809095,positive,weak
kind,roleMixin,0.2943875922321251,negative,weak
mixin,roleMixin,0.10608829388489228,positive,very_weak
mode,roleMixin,0.20720701100027414,positive,weak
phase,roleMixin,0.0005021540240552261,positive,very_weak
quality,roleMixin,0.06488548856990274,positive,very_weak
relator,roleMixin,0.11479820335470321,positive,very_weak
role,roleMixin,0.0009532325405220322,positive,very_weak
situation,roleMixin,0.18164289574868486,positive,very_weak
subkind,roleMixin,0.10623705354614035,negative,very_weak
type,roleMixin,0.3798840543012348,positive,weak
none,roleMixin,0.07614190099402929,positive,very_weak
other,roleMixin,0.14029554628257665,negative,very_weak
category,situation,0.18615753257402295,positive,very_weak
collective,situation,0.2554450984983756,negative,weak
datatype,situation,0.166967927347565,positive,very_weak
event,situation,0.47860566204847027,positive,moderate
kind,situation,0.25108424264457196,negative,weak
mixin,situation,0.06054560429865858,negative,very_weak
mode,situation,0.08888896973598938,negative,very_weak
phase,situation,0.08490821490577248,negative,very_weak
quality,situation,0.2151248899445464,positive,weak
relator,situation,0.16948040540194212,negative,very_weak
role,situation,0.20728739053733294,negative,weak
roleMixin,situation,0.18164289574868486,positive,very_weak
subkind,situation,0.09307990807226581,negative,very_weak
type,situation,0.13490573021100496,positive,very_weak
none,situation,0.002111856144023077,positive,very_weak
other,situation,0.20709679480022197,positive,weak
category,subkind,0.2086800346006988,positive,weak
collective,subkind,0.14304771948036213,positive,very_weak
datatype,subkind,0.06683815946566028,positive,very_weak
event,subkind,0.0006022391139508847,positive,very_weak
kind,subkind,0.5392717852714264,positive,moderate
mixin,subkind,0.0335495877481767,negative,very_weak
mode,subkind,0.11052261675841239,positive,very_weak
phase,subkind,0.28461005680324064,positive,weak
quality,subkind,0.30574894088203597,positive,weak
relator,subkind,0.21626827841757615,positive,weak
role,subkind,0.07715720916284166,positive,very_weak
roleMixin,subkind,0.10623705354614035,negative,very_weak
situation,subkind,0.09307990807226581,negative,very_weak
type,subkind,0.0242718276195745,negative,very_weak
none,subkind,0.14231579757763402,negative,very_weak
other,subkind,0.09087748661134465,negative,very_weak
category,type,0.3501107771279238,positive,weak
collective,type,0.022501927307365263,positive,very_weak
datatype,type,0.07815063704309247,positive,very_weak
event,type,0.3555895559435339,positive,weak
kind,type,0.18985166711460627,negative,very_weak
mixin,type,0.04811923531166504,positive,very_weak
mode,type,0.2306623102301371,positive,weak
phase,type,0.06992298586018515,negative,very_weak
quality,type,0.1974420741283277,positive,very_weak
relator,type,0.02335308967206558,negative,very_weak
role,type,0.142348260129205,negative,very_weak
roleMixin,type,0.3798840543012348,positive,weak
situation,type,0.13490573021100496,positive,very_weak
subkind,type,0.0242718276195745,negative,very_weak
none,type,0.1288492492995915,positive,very_weak
other,type,0.1393864451987371,negative,very_weak
category,none,0.06128404337228863,positive,very_weak
collective,none,0.1473495489157677,negative,very_weak
datatype,none,0.03314946714648187,positive,very_weak
event,none,0.17075576886845936,positive,very_weak
kind,none,0.09341672138839986,negative,very_weak
mixin,none,0.10771269649416981,positive,very_weak
mode,none,0.09455156324232893,positive,very_weak
phase,none,0.07631676779429043,negative,very_weak
quality,none,0.0821538667002595,positive,very_weak
relator,none,0.2594774867102009,negative,weak
role,none,0.02048321405072769,positive,very_weak
