stereotype,total_correlation,rank
category,2.4877318759852534,4
collective,1.728661497429925,13
datatype,1.5986334915091365,14
enumeration,1.2482452200935965,17
event,2.4664259569102667,6
kind,3.2278340727061474,1
mode,1.783546116901491,12
phase,1.812728316119347,11
quality,2.303239870023518,8
relator,2.486851037899021,5
role,2.1361031903776198,10
roleMixin,2.2863384352059226,9
situation,2.809114908845916,2
subkind,2.415592416502707,7
type,2.52924852298217,3
none,1.5890718246813722,15
other,1.5350088300532114,16
