Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.009433962264150943,1,0.009433962264150943,0.0001743071291615827,0.0009099181073703367
category,293,2.7641509433962264,72,0.6792452830188679,0.05107198884434373,0.06551410373066424
collective,49,0.46226415094339623,25,0.2358490566037736,0.008541049328917553,0.022747952684258416
datatype,71,0.6698113207547169,21,0.19811320754716982,0.012375806170472372,0.01910828025477707
enumeration,48,0.4528301886792453,7,0.0660377358490566,0.00836674219975597,0.006369426751592357
event,346,3.2641509433962264,47,0.44339622641509435,0.06031026668990762,0.042766151046405826
historicalRole,23,0.2169811320754717,4,0.03773584905660377,0.0040090639707164024,0.003639672429481347
historicalRoleMixin,9,0.08490566037735849,3,0.02830188679245283,0.0015687641624542443,0.00272975432211101
kind,678,6.39622641509434,86,0.8113207547169812,0.11818023357155308,0.07825295723384895
mixin,20,0.18867924528301888,16,0.1509433962264151,0.003486142583231654,0.014558689717925387
mode,189,1.7830188679245282,46,0.4339622641509434,0.03294404741153913,0.04185623293903549
phase,177,1.669811320754717,33,0.3113207547169811,0.03085236186160014,0.03002729754322111
phaseMixin,20,0.18867924528301888,8,0.07547169811320754,0.003486142583231654,0.007279344858962694
quality,162,1.528301886792453,37,0.3490566037735849,0.0282377549241764,0.03366696997270246
quantity,16,0.1509433962264151,8,0.07547169811320754,0.002788914066585323,0.007279344858962694
relator,313,2.952830188679245,79,0.7452830188679245,0.05455813142757539,0.0718835304822566
role,413,3.8962264150943398,71,0.6698113207547169,0.07198884434373366,0.0646041856232939
roleMixin,234,2.207547169811321,44,0.41509433962264153,0.04078786822381036,0.040036396724294813
situation,71,0.6698113207547169,19,0.1792452830188679,0.012375806170472372,0.017288444040036398
subkind,685,6.462264150943396,75,0.7075471698113207,0.11940038347568416,0.06824385805277525
type,90,0.8490566037735849,20,0.18867924528301888,0.015687641624542444,0.018198362147406732
bringsAbout,26,0.24528301886792453,11,0.10377358490566038,0.004531985358201151,0.010009099181073703
characterization,325,3.0660377358490565,56,0.5283018867924528,0.05664981697751438,0.050955414012738856
comparative,13,0.12264150943396226,4,0.03773584905660377,0.0022659926791005753,0.003639672429481347
componentOf,158,1.490566037735849,32,0.3018867924528302,0.027540526407530068,0.029117379435850774
creation,43,0.4056603773584906,15,0.14150943396226415,0.007495206553948057,0.01364877161055505
derivation,78,0.7358490566037735,30,0.2830188679245283,0.013595956074603451,0.0272975432211101
externalDependence,71,0.6698113207547169,20,0.18867924528301888,0.012375806170472372,0.018198362147406732
historicalDependence,35,0.330188679245283,14,0.1320754716981132,0.006100749520655395,0.012738853503184714
instantiation,63,0.5943396226415094,15,0.14150943396226415,0.01098134913717971,0.01364877161055505
manifestation,34,0.32075471698113206,12,0.11320754716981132,0.005926442391493812,0.01091901728844404
material,276,2.6037735849056602,42,0.39622641509433965,0.048108767648596826,0.03821656050955414
mediation,481,4.537735849056604,65,0.6132075471698113,0.08384172912672128,0.059144676979071886
memberOf,46,0.4339622641509434,20,0.18867924528301888,0.008018127941432805,0.018198362147406732
participation,146,1.3773584905660377,25,0.2358490566037736,0.025448840857591075,0.022747952684258416
participational,9,0.08490566037735849,3,0.02830188679245283,0.0015687641624542443,0.00272975432211101
subCollectionOf,7,0.0660377358490566,2,0.018867924528301886,0.001220149904131079,0.0018198362147406734
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,3,0.02830188679245283,2,0.018867924528301886,0.0005229213874847481,0.0018198362147406734
triggers,15,0.14150943396226415,9,0.08490566037735849,0.0026146069374237404,0.00818926296633303
