Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
abstract,1,0.009433962264150943,0.0,0,0.09712858623572643,0.009433962264150945,10.295630140986997,105.99999999999997,0.0,0.0,0.0,0,1,1,1.0,0.0
category,293,2.7641509433962264,1.0,0,3.6659355638024356,13.439083557951482,1.9298559758988367,3.6048181060002737,0.0,4.0,4.0,0,17,17,1.0,16.0
collective,49,0.46226415094339623,0.0,0,1.070598660313243,1.1461814914645103,3.066342432864892,10.445575620970995,0.0,0.0,0.0,0,6,6,1.0,5.0
datatype,71,0.6698113207547169,0.0,0,1.8909392884575977,3.5756513926325257,4.11562070784937,20.386337252724136,0.0,0.0,0.0,0,13,13,1.0,12.0
enumeration,48,0.4528301886792453,0.0,0,2.350813741469103,5.526325247079963,6.845621430008198,51.20015906756144,0.0,0.0,0.0,0,20,20,2.0,18.0
event,346,3.2641509433962264,0.0,0,5.6337450739229835,31.73908355795148,2.1139759162877088,3.9026256037885,0.0,4.0,4.0,0,23,23,1.0,22.0
historicalRole,23,0.2169811320754717,0.0,0,1.684691391725766,2.838185085354898,9.651058035424718,96.31900698642892,0.0,0.0,0.0,0,17,17,1.0,16.0
historicalRoleMixin,9,0.08490566037735849,0.0,0,0.5540831041038602,0.30700808625336923,6.888941322139947,47.26027358272579,0.0,0.0,0.0,0,4,4,1.0,3.0
kind,678,6.39622641509434,5.0,0,5.9788185571000705,35.74627133872417,1.3054254602828506,2.1887569052456244,1.0,9.75,8.75,0,27,27,1.0,26.0
mixin,20,0.18867924528301888,0.0,0,0.4803412982486875,0.23072776280323454,2.5903430465978947,6.074716188674765,0.0,0.0,0.0,0,2,2,1.0,1.0
mode,189,1.7830188679245282,0.0,0,3.5023929696603617,12.266756513926326,3.5830331655934073,16.303785120675364,0.0,2.0,2.0,0,22,22,1.0,21.0
phase,177,1.669811320754717,0.0,0,3.4605854118389456,11.975651392632525,2.5653325396081743,6.50706453940195,0.0,2.0,2.0,0,17,17,1.0,16.0
phaseMixin,20,0.18867924528301888,0.0,0,0.8293796597132652,0.6878706199460917,6.16619732602168,45.053666767745746,0.0,0.0,0.0,0,7,7,1.0,6.0
quality,162,1.528301886792453,0.0,0,3.0212187612343637,9.127762803234504,2.9663945235240585,11.059797560070907,0.0,2.0,2.0,0,18,18,1.0,17.0
quantity,16,0.1509433962264151,0.0,0,0.700917124782322,0.4912848158131173,6.54768879458719,49.163892422616335,0.0,0.0,0.0,0,6,6,1.0,5.0
relator,313,2.952830188679245,2.0,0,3.6368015132915854,13.226325247079965,2.1394057298526907,5.497943234922479,0.25,4.0,3.75,0,19,19,1.0,18.0
role,413,3.8962264150943398,2.0,0,4.501701784633428,20.26531895777179,1.620042762958105,3.1057420081933693,0.0,6.0,6.0,0,21,21,1.0,20.0
roleMixin,234,2.207547169811321,0.0,0,5.488892647679842,30.127942497753825,4.629300203449883,24.93987316350543,0.0,2.0,2.0,0,36,36,1.0,35.0
situation,71,0.6698113207547169,0.0,0,1.7979972885895523,3.232794249775382,3.7258621915555112,17.142391413659055,0.0,0.0,0.0,0,12,12,1.0,11.0
subkind,685,6.462264150943396,2.0,0,9.017627740314692,81.31761006289305,1.6257464686092962,1.5947836404735267,0.0,9.5,9.5,0,35,35,1.0,34.0
type,90,0.8490566037735849,0.0,0,2.657576600446672,7.06271338724169,4.559383603667353,24.274062062220377,0.0,0.0,0.0,0,19,19,1.0,18.0
none_c,211,1.990566037735849,0.0,0,7.648834686244844,58.50467205750226,5.479476919905296,34.79339946087363,0.0,0.0,0.0,0,60,60,1.0,59.0
other_c,95,0.8962264150943396,0.0,0,2.540825682381217,6.4557951482479785,3.4028106215276446,12.41909408545978,0.0,0.0,0.0,0,15,15,1.0,14.0
bringsAbout,26,0.24528301886792453,0.0,0,0.7784150044400906,0.6059299191374663,3.2438325204780383,9.766244560646062,0.0,0.0,0.0,0,4,4,1.0,3.0
characterization,325,3.0660377358490565,1.0,0,4.4960699620139755,20.214645103324347,1.8776491522918204,3.5148886273472235,0.0,4.0,4.0,0,21,21,1.0,20.0
comparative,13,0.12264150943396226,0.0,0,0.8361229140523623,0.699101527403414,8.532261982488514,77.79745657594917,0.0,0.0,0.0,0,8,8,1.0,7.0
componentOf,158,1.490566037735849,0.0,0,3.3925556682631095,11.509433962264152,3.7546040101021854,18.947732385470932,0.0,1.0,1.0,0,24,24,1.0,23.0
creation,43,0.4056603773584906,0.0,0,1.2856593778831562,1.652920035938904,4.324360301591105,22.174705659680967,0.0,0.0,0.0,0,9,9,1.0,8.0
derivation,78,0.7358490566037735,0.0,0,1.7143755591910084,2.9390835579514825,3.356912501941934,13.539589143043598,0.0,1.0,1.0,0,11,11,1.0,10.0
externalDependence,71,0.6698113207547169,0.0,0,1.8138183775996537,3.2899371069182397,3.4436798100521617,13.109895864216037,0.0,0.0,0.0,0,11,11,1.0,10.0
historicalDependence,35,0.330188679245283,0.0,0,1.0754551471748628,1.156603773584906,4.127325768852171,18.72579420255129,0.0,0.0,0.0,0,7,7,1.0,6.0
instantiation,63,0.5943396226415094,0.0,0,1.8193578243659936,3.3100628930817613,3.554237929296613,12.802307539590599,0.0,0.0,0.0,0,10,10,1.0,9.0
