Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.048507125007266595,positive,very_weak
datatype,category,0.0880223595208481,positive,very_weak
event,category,0.08443879739131735,positive,very_weak
kind,category,0.021442861787304115,negative,very_weak
mixin,category,0.12037089408299008,positive,very_weak
mode,category,0.3162361905573804,positive,weak
phase,category,0.0691807355085706,positive,very_weak
quality,category,0.20640422720186008,positive,weak
relator,category,0.030633520175369803,negative,very_weak
role,category,0.009730660903997997,negative,very_weak
roleMixin,category,0.25075356498688345,positive,weak
situation,category,0.16305409495504733,positive,very_weak
subkind,category,0.2691025683329034,positive,weak
type,category,0.22807407537405283,positive,weak
none_c,category,0.030137194627631807,negative,very_weak
other_c,category,0.08001944780440169,positive,very_weak
bringsAbout,category,0.2338340492167456,positive,weak
characterization,category,0.3223723047882543,positive,weak
componentOf,category,0.23175955225964906,positive,weak
creation,category,0.010941023812191582,negative,very_weak
derivation,category,0.061798754954916,negative,very_weak
externalDependence,category,0.12475846858067847,positive,very_weak
historicalDependence,category,0.148675801566703,positive,very_weak
instantiation,category,0.16302125480165458,positive,very_weak
manifestation,category,0.11794942139932893,positive,very_weak
material,category,0.06081409657091598,positive,very_weak
mediation,category,0.035236129385024476,positive,very_weak
memberOf,category,0.030214941609383067,negative,very_weak
participation,category,0.09611596992180603,positive,very_weak
none_r,category,0.12691587622142236,positive,very_weak
other_r,category,0.09255113510827545,negative,very_weak
category,collective,0.048507125007266595,positive,very_weak
datatype,collective,0.1141374353642886,positive,very_weak
event,collective,0.0485300112274194,negative,very_weak
kind,collective,0.09752021515001667,positive,very_weak
mixin,collective,0.07612890663368321,positive,very_weak
mode,collective,0.1412795854818768,positive,very_weak
phase,collective,0.2983695510502833,positive,weak
quality,collective,0.03386513443679516,negative,very_weak
relator,collective,0.17177512553985352,positive,very_weak
role,collective,0.059289246455505686,positive,very_weak
roleMixin,collective,0.062118099353251445,negative,very_weak
situation,collective,0.2596238997478432,negative,weak
subkind,collective,0.21061641088524635,positive,weak
type,collective,0.016074760739013736,positive,very_weak
none_c,collective,0.12168796422587773,negative,very_weak
other_c,collective,0.061129634611121676,negative,very_weak
bringsAbout,collective,0.1890436242718668,negative,very_weak
characterization,collective,0.12430831556747918,positive,very_weak
componentOf,collective,0.21554533891146846,positive,weak
creation,collective,0.029472517928975078,positive,very_weak
derivation,collective,0.04560853668065128,positive,very_weak
externalDependence,collective,0.016074760739013736,positive,very_weak
historicalDependence,collective,0.11145564251507056,positive,very_weak
instantiation,collective,0.029472517928975078,positive,very_weak
manifestation,collective,0.011909826683508273,positive,very_weak
material,collective,0.0497199683211185,positive,very_weak
mediation,collective,0.2130806821621664,positive,weak
memberOf,collective,0.6976446160731962,positive,strong
participation,collective,0.057777777777777775,positive,very_weak
none_r,collective,0.09322939344879871,negative,very_weak
other_r,collective,0.12077996121974653,positive,very_weak
category,datatype,0.0880223595208481,positive,very_weak
collective,datatype,0.1141374353642886,positive,very_weak
event,datatype,0.08045610167761785,positive,very_weak
kind,datatype,0.11870800362411062,positive,very_weak
mixin,datatype,0.011227217828476795,negative,very_weak
mode,datatype,0.005406392784243745,negative,very_weak
phase,datatype,0.023629719690306528,positive,very_weak
quality,datatype,0.18222379360245897,positive,very_weak
relator,datatype,0.14400971203271426,negative,very_weak
role,datatype,0.05365326267617732,negative,very_weak
roleMixin,datatype,0.08247647568524145,negative,very_weak
situation,datatype,0.19968184604007583,positive,very_weak
subkind,datatype,0.05939566942817363,positive,very_weak
type,datatype,0.0627782711473662,positive,very_weak
none_c,datatype,0.0407695791555143,positive,very_weak
other_c,datatype,0.0407695791555143,positive,very_weak
bringsAbout,datatype,0.14131232880601693,positive,very_weak
characterization,datatype,0.04294109424583882,positive,very_weak
componentOf,datatype,0.137163686528586,positive,very_weak
creation,datatype,0.0019219222685608929,positive,very_weak
derivation,datatype,0.0029741626587270107,positive,very_weak
externalDependence,datatype,0.002282846223540589,positive,very_weak
historicalDependence,datatype,0.2255532370607385,positive,weak
instantiation,datatype,0.0698298424243791,positive,very_weak
manifestation,datatype,0.10289142824317339,negative,very_weak
material,datatype,0.015521910488577735,negative,very_weak
mediation,datatype,0.04263980713421399,negative,very_weak
memberOf,datatype,0.1232736960711918,positive,very_weak
participation,datatype,0.1141374353642886,positive,very_weak
none_r,datatype,0.13389391804307554,positive,very_weak
other_r,datatype,0.02937531729650951,negative,very_weak
category,event,0.08443879739131735,positive,very_weak
collective,event,0.0485300112274194,negative,very_weak
datatype,event,0.08045610167761785,positive,very_weak
kind,event,0.24909197807747444,negative,weak
mixin,event,0.1110955833201716,negative,very_weak
mode,event,0.17639665532879145,positive,very_weak
phase,event,0.015089375712704049,positive,very_weak
quality,event,0.1033552047432412,positive,very_weak
relator,event,0.1319880674070291,negative,very_weak
role,event,0.1405685726040455,negative,very_weak
roleMixin,event,0.25014470855589505,positive,weak
situation,event,0.5235935054630373,positive,moderate
subkind,event,0.010633527308849448,negative,very_weak
type,event,0.2976282826293353,positive,weak
none_c,event,0.07567236362666105,positive,very_weak
other_c,event,0.12742249617134538,positive,very_weak
bringsAbout,event,0.3812515489293522,positive,weak
characterization,event,0.15862378876565725,positive,very_weak
componentOf,event,0.13190185900273765,negative,very_weak
creation,event,0.45488541286309947,positive,moderate
derivation,event,0.012726460093801758,negative,very_weak
externalDependence,event,0.2976282826293353,positive,weak
historicalDependence,event,0.3248893721471076,positive,weak
instantiation,event,0.2914350611224603,positive,weak
manifestation,event,0.34038232987079337,positive,weak
material,event,0.024174325672916924,negative,very_weak
mediation,event,0.10998859309346419,negative,very_weak
memberOf,event,0.05494675987003112,positive,very_weak
participation,event,0.5777181336551057,positive,moderate
none_r,event,0.2533994446796701,positive,weak
other_r,event,0.11133951137151557,positive,very_weak
category,kind,0.021442861787304115,negative,very_weak
collective,kind,0.09752021515001667,positive,very_weak
datatype,kind,0.11870800362411062,positive,very_weak
event,kind,0.24909197807747444,negative,weak
mixin,kind,0.0012708214194383722,positive,very_weak
mode,kind,0.033045606870931415,positive,very_weak
phase,kind,0.2721617828908051,positive,weak
quality,kind,0.04962993523287584,positive,very_weak
relator,kind,0.16080185903103064,positive,very_weak
role,kind,0.48176130926368294,positive,moderate
roleMixin,kind,0.1809671140428568,negative,very_weak
situation,kind,0.21468807419901287,negative,weak
subkind,kind,0.37904738388466347,positive,weak
type,kind,0.26046511627906976,negative,weak
none_c,kind,0.05207096168204146,negative,very_weak
other_c,kind,0.013637632821487049,positive,very_weak
bringsAbout,kind,0.23122741560118612,negative,weak
characterization,kind,0.020961125226574066,negative,very_weak
componentOf,kind,0.15955146609518767,positive,very_weak
creation,kind,0.011747405388015286,negative,very_weak
derivation,kind,0.3029839362175413,positive,weak
externalDependence,kind,0.26046511627906976,negative,weak
historicalDependence,kind,0.31039864775121623,negative,weak
instantiation,kind,0.21928490057628533,negative,weak
manifestation,kind,0.2081992806388122,negative,weak
material,kind,0.34136359556096174,positive,weak
mediation,kind,0.21111816609626197,positive,weak
memberOf,kind,0.10930232558139535,positive,very_weak
