Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,26,0.2524271844660194,11,0.10679611650485436,0.014277869302580999,0.029333333333333333
characterization,325,3.1553398058252426,56,0.5436893203883495,0.17847336628226249,0.14933333333333335
comparative,13,0.1262135922330097,4,0.038834951456310676,0.007138934651290499,0.010666666666666666
componentOf,158,1.5339805825242718,32,0.3106796116504854,0.08676551345414607,0.08533333333333333
creation,43,0.4174757281553398,15,0.14563106796116504,0.023613399231191653,0.04
derivation,78,0.7572815533980582,30,0.2912621359223301,0.042833607907743,0.08
externalDependence,71,0.6893203883495146,20,0.1941747572815534,0.03898956617243273,0.05333333333333334
historicalDependence,35,0.33980582524271846,14,0.13592233009708737,0.019220208676551345,0.037333333333333336
instantiation,63,0.6116504854368932,15,0.14563106796116504,0.03459637561779242,0.04
manifestation,34,0.3300970873786408,12,0.11650485436893204,0.018671059857221308,0.032
material,276,2.679611650485437,42,0.4077669902912621,0.1515650741350906,0.112
mediation,473,4.592233009708738,63,0.6116504854368932,0.25974739154310816,0.168
memberOf,46,0.44660194174757284,20,0.1941747572815534,0.025260845689181768,0.05333333333333334
participation,146,1.4174757281553398,25,0.24271844660194175,0.08017572762218561,0.06666666666666667
participational,9,0.08737864077669903,3,0.02912621359223301,0.004942339373970346,0.008
subCollectionOf,7,0.06796116504854369,2,0.019417475728155338,0.003844041735310269,0.005333333333333333
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,3,0.02912621359223301,2,0.019417475728155338,0.0016474464579901153,0.005333333333333333
triggers,15,0.14563106796116504,9,0.08737864077669903,0.008237232289950576,0.024
