stereotype1,stereotype2,geometric_mean_correlation
bringsAbout,characterization,0.27989773637663284
bringsAbout,componentOf,0.04614011738796098
bringsAbout,creation,0.1266542279577324
bringsAbout,derivation,0.015402775502104633
bringsAbout,externalDependence,0.23393880250640445
bringsAbout,historicalDependence,0.4293703062349137
bringsAbout,instantiation,0.31467737330441703
bringsAbout,manifestation,0.3781419797489891
bringsAbout,material,0.11651627686219392
bringsAbout,mediation,0.1167812585090214
bringsAbout,memberOf,0.08707229912993363
bringsAbout,participation,0.5360625163346879
characterization,componentOf,0.21841472820194902
characterization,creation,0.13288184472422068
characterization,derivation,0.046722502541230115
characterization,externalDependence,0.38835490407168255
characterization,historicalDependence,0.2303952688378513
characterization,instantiation,0.29935884210187635
characterization,manifestation,0.32329244359793713
characterization,material,0.0891239240514109
characterization,mediation,0.33989708004102265
characterization,memberOf,0.08006547030253008
characterization,participation,0.3255167181075425
componentOf,creation,0.02582646112099337
componentOf,derivation,0.037836096735982296
componentOf,externalDependence,0.006284870668067635
componentOf,historicalDependence,0.09021436309491454
componentOf,instantiation,0.19555161425860204
componentOf,manifestation,0.19571112803807006
componentOf,material,0.2029087008844276
componentOf,mediation,0.13321262599933154
componentOf,memberOf,0.26532945284093695
componentOf,participation,0.031746528333004835
creation,derivation,0.040057642602025434
creation,externalDependence,0.2093508319739721
creation,historicalDependence,0.3161755734150778
creation,instantiation,0.37000033793280246
creation,manifestation,0.370565654976415
creation,material,0.0448036886129779
creation,mediation,0.13148711212076267
creation,memberOf,0.14618297453893983
creation,participation,0.6604467768439402
derivation,externalDependence,0.09068405286093802
derivation,historicalDependence,0.12018993998552191
derivation,instantiation,0.1424076049828328
derivation,manifestation,0.16333555999458926
derivation,material,0.4386373248273355
derivation,mediation,0.362880095504951
derivation,memberOf,0.16001275068666798
derivation,participation,0.06747630972366318
externalDependence,historicalDependence,0.37705925189196193
externalDependence,instantiation,0.5485599015004985
externalDependence,manifestation,0.4413524785926502
externalDependence,material,0.2457814168076709
externalDependence,mediation,0.10087307557595353
externalDependence,memberOf,0.14065637602719408
externalDependence,participation,0.35384984616496884
historicalDependence,instantiation,0.5713421630744911
historicalDependence,manifestation,0.5684423181869104
historicalDependence,material,0.01636423770449776
historicalDependence,mediation,0.08706573262714958
historicalDependence,memberOf,0.09177404634900999
historicalDependence,participation,0.5296447200253678
instantiation,manifestation,0.7947607449036909
instantiation,material,0.1497540423976838
instantiation,mediation,0.03023854989913577
instantiation,memberOf,0.014384432058700374
instantiation,participation,0.4899197642226241
manifestation,material,0.10275712495957202
manifestation,mediation,0.035422057116663505
manifestation,memberOf,0.04785373956581294
manifestation,participation,0.5315010246835089
material,mediation,0.2657570973543238
material,memberOf,0.13909472406023485
material,participation,0.0840716778722815
mediation,memberOf,0.2800475403789899
mediation,participation,0.06847945531568723
memberOf,participation,0.12759159407633827
