Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,26,0.24528301886792453,11,0.10377358490566038,0.0070213340534701595,0.02217741935483871
characterization,325,3.0660377358490565,56,0.5283018867924528,0.087766675668377,0.11290322580645161
comparative,13,0.12264150943396226,4,0.03773584905660377,0.0035106670267350797,0.008064516129032258
componentOf,158,1.490566037735849,32,0.3018867924528302,0.04266810694031866,0.06451612903225806
creation,43,0.4056603773584906,15,0.14150943396226415,0.011612206319200648,0.03024193548387097
derivation,78,0.7358490566037735,30,0.2830188679245283,0.02106400216041048,0.06048387096774194
externalDependence,71,0.6698113207547169,20,0.18867924528301888,0.01917364299216851,0.04032258064516129
historicalDependence,35,0.330188679245283,14,0.1320754716981132,0.00945179584120983,0.028225806451612902
instantiation,63,0.5943396226415094,15,0.14150943396226415,0.017013232514177693,0.03024193548387097
manifestation,34,0.32075471698113206,12,0.11320754716981132,0.009181744531460978,0.024193548387096774
material,276,2.6037735849056602,42,0.39622641509433965,0.07453416149068323,0.0846774193548387
mediation,481,4.537735849056604,65,0.6132075471698113,0.12989467998919796,0.1310483870967742
memberOf,46,0.4339622641509434,20,0.18867924528301888,0.012422360248447204,0.04032258064516129
participation,146,1.3773584905660377,25,0.2358490566037736,0.03942749122333243,0.05040322580645161
participational,9,0.08490566037735849,3,0.02830188679245283,0.0024304617877396704,0.006048387096774193
subCollectionOf,7,0.0660377358490566,2,0.018867924528301886,0.001890359168241966,0.004032258064516129
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,3,0.02830188679245283,2,0.018867924528301886,0.0008101539292465569,0.004032258064516129
triggers,15,0.14150943396226415,9,0.08490566037735849,0.004050769646232784,0.018145161290322582
none,1668,15.735849056603774,91,0.8584905660377359,0.4504455846610856,0.18346774193548387
other,206,1.9433962264150944,28,0.2641509433962264,0.05563056980826357,0.056451612903225805
