year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.0020161290322580645,0.0,0.0020161290322580645,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0020161290322580645,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0020161290322580645
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0
2011,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020161290322580645
2012,0.0,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0020161290322580645
2013,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0020161290322580645,0.004032258064516129,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0020161290322580645
2014,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0
2015,0.0,0.004032258064516129,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006048387096774193,0.0020161290322580645
2016,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.004032258064516129,0.0020161290322580645,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.004032258064516129
2017,0.0,0.0020161290322580645,0.0,0.004032258064516129,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.010080645161290322,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.004032258064516129
2018,0.0020161290322580645,0.008064516129032258,0.0,0.006048387096774193,0.0,0.0020161290322580645,0.0020161290322580645,0.0020161290322580645,0.0020161290322580645,0.0020161290322580645,0.006048387096774193,0.012096774193548387,0.004032258064516129,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0020161290322580645,0.018145161290322582,0.004032258064516129
2019,0.0,0.008064516129032258,0.0,0.004032258064516129,0.0,0.006048387096774193,0.0,0.0020161290322580645,0.0020161290322580645,0.0020161290322580645,0.006048387096774193,0.012096774193548387,0.006048387096774193,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.014112903225806451,0.010080645161290322
2020,0.0,0.012096774193548387,0.0,0.006048387096774193,0.004032258064516129,0.010080645161290322,0.004032258064516129,0.0,0.004032258064516129,0.0020161290322580645,0.008064516129032258,0.014112903225806451,0.0,0.006048387096774193,0.0,0.0,0.0,0.0,0.004032258064516129,0.028225806451612902,0.010080645161290322
2021,0.008064516129032258,0.02620967741935484,0.0020161290322580645,0.014112903225806451,0.006048387096774193,0.008064516129032258,0.012096774193548387,0.006048387096774193,0.008064516129032258,0.008064516129032258,0.016129032258064516,0.02217741935483871,0.006048387096774193,0.012096774193548387,0.0020161290322580645,0.0,0.0,0.0,0.004032258064516129,0.03024193548387097,0.006048387096774193
2022,0.004032258064516129,0.020161290322580645,0.0,0.006048387096774193,0.008064516129032258,0.010080645161290322,0.012096774193548387,0.012096774193548387,0.010080645161290322,0.004032258064516129,0.012096774193548387,0.02217741935483871,0.004032258064516129,0.010080645161290322,0.0020161290322580645,0.0,0.0,0.0020161290322580645,0.004032258064516129,0.02620967741935484,0.004032258064516129
2023,0.004032258064516129,0.016129032258064516,0.0020161290322580645,0.010080645161290322,0.008064516129032258,0.012096774193548387,0.006048387096774193,0.0,0.0020161290322580645,0.0020161290322580645,0.010080645161290322,0.02217741935483871,0.010080645161290322,0.008064516129032258,0.0,0.0,0.0,0.0020161290322580645,0.0020161290322580645,0.020161290322580645,0.0020161290322580645
2024,0.004032258064516129,0.010080645161290322,0.004032258064516129,0.004032258064516129,0.004032258064516129,0.0020161290322580645,0.0020161290322580645,0.006048387096774193,0.0020161290322580645,0.004032258064516129,0.006048387096774193,0.008064516129032258,0.0020161290322580645,0.008064516129032258,0.0020161290322580645,0.0,0.0,0.0,0.0020161290322580645,0.008064516129032258,0.0020161290322580645
