Stereotype,Stereotype2,Absolute Value,Sign,Classification
datatype,category,0.1108672199777667,positive,very_weak
event,category,0.08643295284087217,positive,very_weak
kind,category,0.04988196601760009,positive,very_weak
mode,category,0.2860714218851302,positive,weak
phase,category,0.06994356657324603,positive,very_weak
quality,category,0.2186690484379583,positive,weak
relator,category,0.06673902401554165,positive,very_weak
role,category,0.05454249953534229,positive,very_weak
roleMixin,category,0.25009642949147154,positive,weak
situation,category,0.18328314687117214,positive,very_weak
subkind,category,0.23009371914537696,positive,weak
type,category,0.2732941599675136,positive,weak
characterization,category,0.3519336422422211,positive,weak
componentOf,category,0.21481665057685553,positive,weak
derivation,category,0.06774642343643328,positive,very_weak
externalDependence,category,0.15686863719530672,positive,very_weak
instantiation,category,0.22002819960322545,positive,weak
material,category,0.08806556704511048,positive,very_weak
mediation,category,0.01892010210094462,positive,very_weak
participation,category,0.130772660121829,positive,very_weak
category,datatype,0.1108672199777667,positive,very_weak
event,datatype,0.07645537727795078,positive,very_weak
kind,datatype,0.11962153239941,positive,very_weak
mode,datatype,0.009680930919964552,positive,very_weak
phase,datatype,0.008106644895664648,positive,very_weak
quality,datatype,0.17462518307981614,positive,very_weak
relator,datatype,0.1319077071397325,positive,very_weak
role,datatype,0.09317214111877581,positive,very_weak
roleMixin,datatype,0.08037669799848468,positive,very_weak
situation,datatype,0.17857689588114534,positive,very_weak
subkind,datatype,0.07035887114054175,positive,very_weak
type,datatype,0.08113102515839489,positive,very_weak
characterization,datatype,0.027071501298955174,positive,very_weak
componentOf,datatype,0.1519168327451964,positive,very_weak
derivation,datatype,0.005750425276629366,positive,very_weak
externalDependence,datatype,0.007169878686197199,positive,very_weak
instantiation,datatype,0.0774538985748551,positive,very_weak
material,datatype,0.01494091437643022,positive,very_weak
mediation,datatype,0.020767459394744812,positive,very_weak
participation,datatype,0.1152282892476938,positive,very_weak
category,event,0.08643295284087217,positive,very_weak
datatype,event,0.07645537727795078,positive,very_weak
kind,event,0.2818783038259592,positive,weak
mode,event,0.16774981536146175,positive,very_weak
phase,event,0.009395315519720974,positive,very_weak
quality,event,0.11369217105830116,positive,very_weak
relator,event,0.1429691596985464,positive,very_weak
role,event,0.15401336260797396,positive,very_weak
roleMixin,event,0.27705101966210915,positive,weak
situation,event,0.5265475381331455,positive,moderate
subkind,event,0.026543698787746716,positive,very_weak
type,event,0.31635249792371933,positive,weak
characterization,event,0.18174188691085227,positive,very_weak
componentOf,event,0.10728268373743592,positive,very_weak
derivation,event,0.006715106369277314,positive,very_weak
externalDependence,event,0.31206929487387,positive,weak
instantiation,event,0.3226417993717039,positive,weak
