stereotype,total_correlation,rank
category,2.7424951248481353,10
event,2.968347212321751,7
kind,3.82498392364917,2
mode,2.3973913187363336,15
phase,2.1529107708816952,18
quality,2.95888966213339,8
relator,3.7634158289390385,3
role,2.670270637729726,12
roleMixin,2.6459242755616312,13
subkind,3.237107423395945,5
none_c,1.6619425655711533,20
other_c,2.1644364856137437,17
characterization,3.601866258330918,4
componentOf,2.6983886558231998,11
derivation,2.378096328639333,16
material,2.8568826675795704,9
mediation,4.266360081539085,1
participation,3.0344643697694123,6
none_r,2.406014280324233,14
other_r,1.8134681477403838,19
