Stereotype,Stereotype2,Absolute Value,Sign,Classification
characterization,bringsAbout,0.26198236318918594,positive,weak
componentOf,bringsAbout,0.04168702663204816,positive,very_weak
creation,bringsAbout,0.1391662733039731,positive,very_weak
derivation,bringsAbout,0.01194423119307773,negative,very_weak
externalDependence,bringsAbout,0.22883834436313077,positive,weak
historicalDependence,bringsAbout,0.4139756231194137,positive,moderate
instantiation,bringsAbout,0.30377351280322606,positive,weak
manifestation,bringsAbout,0.3650979311847787,positive,weak
material,bringsAbout,0.10642559409175946,positive,very_weak
mediation,bringsAbout,0.11369988449473177,negative,very_weak
memberOf,bringsAbout,0.08848415982041057,negative,very_weak
participation,bringsAbout,0.5536984274110163,positive,moderate
bringsAbout,characterization,0.26198236318918594,positive,weak
componentOf,characterization,0.2536275673076006,positive,weak
creation,characterization,0.09008312234428524,positive,very_weak
derivation,characterization,0.04824209230699486,positive,very_weak
externalDependence,characterization,0.3628133632206726,positive,weak
historicalDependence,characterization,0.20295835998049805,positive,weak
instantiation,characterization,0.27783733052581444,positive,weak
manifestation,characterization,0.28059597704989786,positive,weak
material,characterization,0.13076078141599007,positive,very_weak
mediation,characterization,0.36244121780453775,positive,weak
memberOf,characterization,0.11843130509275841,positive,very_weak
participation,characterization,0.28838577886586525,positive,weak
bringsAbout,componentOf,0.04168702663204816,positive,very_weak
characterization,componentOf,0.2536275673076006,positive,weak
creation,componentOf,0.042257712736425826,positive,very_weak
derivation,componentOf,0.05659684799706785,negative,very_weak
externalDependence,componentOf,0.008132500607904443,negative,very_weak
historicalDependence,componentOf,0.10329663113348536,positive,very_weak
instantiation,componentOf,0.20070620221812357,positive,weak
manifestation,componentOf,0.21569132011200315,positive,weak
material,componentOf,0.18692242309863583,positive,very_weak
mediation,componentOf,0.09882117688026185,positive,very_weak
memberOf,componentOf,0.25617376914899,positive,weak
participation,componentOf,0.01901814435781827,negative,very_weak
bringsAbout,creation,0.1391662733039731,positive,very_weak
characterization,creation,0.09008312234428524,positive,very_weak
componentOf,creation,0.042257712736425826,positive,very_weak
derivation,creation,0.05979133361118127,positive,very_weak
externalDependence,creation,0.23643868166813245,positive,weak
historicalDependence,creation,0.3396825396825397,positive,weak
instantiation,creation,0.39939613177779754,positive,weak
manifestation,creation,0.38662954058932786,positive,weak
material,creation,0.029932726961553354,negative,very_weak
mediation,creation,0.08017837257372731,positive,very_weak
memberOf,creation,0.1649572197684645,positive,very_weak
participation,creation,0.6532175148395224,positive,strong
bringsAbout,derivation,0.01194423119307773,negative,very_weak
characterization,derivation,0.04824209230699486,positive,very_weak
componentOf,derivation,0.05659684799706785,negative,very_weak
creation,derivation,0.05979133361118127,positive,very_weak
externalDependence,derivation,0.09527669745351734,negative,very_weak
historicalDependence,derivation,0.12675762725570427,negative,very_weak
instantiation,derivation,0.14057181293522278,negative,very_weak
manifestation,derivation,0.1635230358742229,negative,very_weak
material,derivation,0.48525211587114264,positive,moderate
mediation,derivation,0.41611675423269506,positive,moderate
memberOf,derivation,0.17398353448033602,positive,very_weak
participation,derivation,0.04649905549752771,negative,very_weak
bringsAbout,externalDependence,0.22883834436313077,positive,weak
characterization,externalDependence,0.3628133632206726,positive,weak
componentOf,externalDependence,0.008132500607904443,negative,very_weak
creation,externalDependence,0.23643868166813245,positive,weak
derivation,externalDependence,0.09527669745351734,negative,very_weak
historicalDependence,externalDependence,0.3794016054674684,positive,weak
instantiation,externalDependence,0.5635690997512194,positive,moderate
manifestation,externalDependence,0.4346928823909822,positive,moderate
material,externalDependence,0.2438635368935238,negative,weak
mediation,externalDependence,0.08486684247915055,positive,very_weak
memberOf,externalDependence,0.13333333333333333,positive,very_weak
participation,externalDependence,0.3697113846455204,positive,weak
bringsAbout,historicalDependence,0.4139756231194137,positive,moderate
characterization,historicalDependence,0.20295835998049805,positive,weak
componentOf,historicalDependence,0.10329663113348536,positive,very_weak
creation,historicalDependence,0.3396825396825397,positive,weak
derivation,historicalDependence,0.12675762725570427,negative,very_weak
externalDependence,historicalDependence,0.3794016054674684,positive,weak
instantiation,historicalDependence,0.5597714124916622,positive,moderate
manifestation,historicalDependence,0.5629868748932317,positive,moderate
material,historicalDependence,0.029932726961553354,negative,very_weak
mediation,historicalDependence,0.08017837257372731,positive,very_weak
memberOf,historicalDependence,0.09347575786879656,positive,very_weak
participation,historicalDependence,0.5194879448723762,positive,moderate
bringsAbout,instantiation,0.30377351280322606,positive,weak
characterization,instantiation,0.27783733052581444,positive,weak
componentOf,instantiation,0.20070620221812357,positive,weak
creation,instantiation,0.39939613177779754,positive,weak
derivation,instantiation,0.14057181293522278,negative,very_weak
