Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.3104589282518022,0.04253087024758164,0.13878170751586494,-0.035154775958490994,0.23441134026470462,0.4428441913142256,0.3225556597351331,0.389068556003862,0.13311124905804045,-0.12335766898641157,-0.0926699228808513,0.5537470910971715
characterization,0.3104589282518022,1.0,0.199803762637581,0.11231937469739046,-0.04222728719537783,0.4330111013843517,0.27239561463139733,0.33543070484044935,0.38674448179535076,0.09744206495265004,0.2810160585474451,0.05937328133920721,0.32093339522397385
componentOf,0.04253087024758164,0.199803762637581,1.0,0.04073936421941798,-0.03734280348354329,0.014525016425042543,0.07050905663650321,0.1823810344120016,0.1704363229385634,0.22985323648332345,0.18513851277724028,0.26589363416969347,-0.02825790074235291
creation,0.13878170751586494,0.11231937469739046,0.04073936421941798,1.0,0.05193697929023229,0.2198878569263956,0.33384646885367925,0.3865489315969507,0.39838438122322295,-0.015337046311502626,0.13110091355787887,0.16005376165778185,0.6309788126247893
derivation,-0.035154775958490994,-0.04222728719537783,-0.03734280348354329,0.05193697929023229,1.0,-0.09882590492543158,-0.12417411632621135,-0.15617830561671886,-0.17365127845117895,0.40961114254914605,0.32915618727660734,0.13758646434694743,-0.07818954598152604
externalDependence,0.23441134026470462,0.4330111013843517,0.014525016425042543,0.2198878569263956,-0.09882590492543158,1.0,0.3700609814776284,0.5299925151388298,0.4445823942634162,-0.24996768356099108,0.12389103813666848,0.14046408328383944,0.3695351337742693
historicalDependence,0.4428441913142256,0.27239561463139733,0.07050905663650321,0.33384646885367925,-0.12417411632621135,0.3700609814776284,1.0,0.5808201479624782,0.571783834450174,-0.008370238007025159,0.09643051942225048,0.08356343723718564,0.5788707262839685
instantiation,0.3225556597351331,0.33543070484044935,0.1823810344120016,0.3865489315969507,-0.15617830561671886,0.5299925151388298,0.5808201479624782,1.0,0.7942565440725,-0.13801232899834912,0.08735978553730298,0.014065079684431702,0.5266074648503751
manifestation,0.389068556003862,0.38674448179535076,0.1704363229385634,0.39838438122322295,-0.17365127845117895,0.4445823942634162,0.571783834450174,0.7942565440725,1.0,-0.09914545593665658,0.05935714056456597,0.03744960550966067,0.5849601426886754
material,0.13311124905804045,0.09744206495265004,0.22985323648332345,-0.015337046311502626,0.40961114254914605,-0.24996768356099108,-0.008370238007025159,-0.13801232899834912,-0.09914545593665658,1.0,0.27360051390247514,0.12892493876581276,-0.061632726423640455
mediation,-0.12335766898641157,0.2810160585474451,0.18513851277724028,0.13110091355787887,0.32915618727660734,0.12389103813666848,0.09643051942225048,0.08735978553730298,0.05935714056456597,0.27360051390247514,1.0,0.28453262673916213,0.019715167158820105
memberOf,-0.0926699228808513,0.05937328133920721,0.26589363416969347,0.16005376165778185,0.13758646434694743,0.14046408328383944,0.08356343723718564,0.014065079684431702,0.03744960550966067,0.12892493876581276,0.28453262673916213,1.0,0.13750224840965217
participation,0.5537470910971715,0.32093339522397385,-0.02825790074235291,0.6309788126247893,-0.07818954598152604,0.3695351337742693,0.5788707262839685,0.5266074648503751,0.5849601426886754,-0.061632726423640455,0.019715167158820105,0.13750224840965217,1.0
