Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,92,1,92,11.73469387755102
relator,85,2,177,22.5765306122449
subkind,80,3,257,32.78061224489796
category,78,4,335,42.72959183673469
role,76,5,411,52.423469387755105
mode,51,6,462,58.92857142857143
roleMixin,49,7,511,65.17857142857143
event,49,8,560,71.42857142857143
quality,37,9,597,76.14795918367348
phase,36,10,633,80.73979591836735
collective,30,11,663,84.56632653061224
type,24,12,687,87.62755102040816
datatype,23,13,710,90.56122448979592
situation,20,14,730,93.11224489795919
mixin,20,15,750,95.66326530612244
quantity,10,16,760,96.93877551020408
enumeration,8,17,768,97.95918367346938
phaseMixin,8,18,776,98.9795918367347
historicalRole,4,19,780,99.48979591836735
historicalRoleMixin,3,20,783,99.87244897959184
abstract,1,21,784,100.0
