Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1758,1,1758,19.14615552167284
subkind,1594,2,3352,36.506207797865386
kind,1218,3,4570,49.771291657590936
relator,1162,4,5732,62.42648660422566
category,526,5,6258,68.15508603790023
roleMixin,519,6,6777,73.80744935743847
mode,420,7,7197,78.3816162056197
none,369,8,7566,82.40034850795034
event,362,9,7928,86.34284469614462
phase,290,10,8218,89.50119799607928
type,205,11,8423,91.73382705292964
quality,162,12,8585,93.49814855151382
other,110,13,8695,94.6961446307994
collective,103,14,8798,95.8179045959486
mixin,82,15,8880,96.71095621868874
datatype,74,16,8954,97.51688085384448
situation,73,17,9027,98.31191461555217
enumeration,63,18,9090,98.99803964277936
quantity,39,19,9129,99.42278370725333
historicalRole,23,20,9152,99.67327379655848
phaseMixin,20,21,9172,99.89109126551949
historicalRoleMixin,9,22,9181,99.98910912655194
abstract,1,23,9182,100.0
