Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,4,2,0.1111111111111111
comparative,0,8,0.0
componentOf,3,4,0.08333333333333333
creation,0,8,0.0
derivation,1,5,0.027777777777777776
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,4,2,0.1111111111111111
mediation,22,1,0.6111111111111112
memberOf,1,5,0.027777777777777776
participation,1,5,0.027777777777777776
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
