Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.444609425435765,4,0.2582297000731529
20.0,8,0.6668818592640413,8,0.46744696415508413
30.0,13,0.8174306003873467,13,0.6393562545720556
40.0,17,0.8965784377017431,17,0.7417702999268471
50.0,22,0.945900581020013,22,0.8354059985369422
60.0,26,0.9673337637185281,26,0.8939283101682517
70.0,30,0.9829567462879277,30,0.9400146305779078
80.0,35,0.9934151065203357,35,0.9765910753474762
90.0,39,0.9983860555196902,39,0.991953182150695
100.0,44,1.0,44,1.0
