Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,material,mediation,memberOf,none_r,other_r
category,1.0,0.11680027214714464,0.1882033314719852,0.3369449999161563,-0.024111397367365523,0.15389091416465345,0.04023642469939017,0.001941942722139325,0.3239298062477049,0.2677117319788486,0.42582544050212956,0.08744319280739013,0.39346614661059454,0.2940981113698444,-0.0068791817738074,0.23269068243791538,0.13302535289534617,0.15505149726572348,0.13872168260409734,0.08550399419399358
event,0.11680027214714464,1.0,-0.237842783046466,0.15189566179385658,0.019800384406350607,0.14617445851420224,-0.11700408087676978,-0.09461019345365175,0.2698776794239502,-0.016878782158023093,0.3336903066319619,0.1780542719219987,0.1910473658812388,-0.12218491275314512,-0.08468107318812201,-0.007937306372680938,-0.06996314193035194,-0.0011926995168837788,0.22825351673461025,0.12315619826386238
kind,0.1882033314719852,-0.237842783046466,1.0,0.06445054803140719,0.26197941477972186,0.07329171489566318,0.36467063510958403,0.38650836104573205,-0.18950045061688214,0.5646233840215196,-0.08759979175736882,-0.08920998151306544,-0.0025819509978219244,0.41655212148389176,0.1774729342796725,0.3648535278092911,0.2764517509526159,0.23343590369469805,0.05102008154151087,0.02630889928145661
mode,0.3369449999161563,0.15189566179385658,0.06445054803140719,1.0,0.032401139058580095,0.09184269918074485,0.11798902653663736,0.14705406121857528,0.2628073853597932,0.13713958525660278,0.3387024180610599,0.14302922108129637,0.5437709810380853,0.2584170929927164,0.02748708104977545,0.15679661664739172,0.2351012339012345,0.2738911751895656,0.07212080619743812,0.09186546039932632
phase,-0.024111397367365523,0.019800384406350607,0.26197941477972186,0.032401139058580095,1.0,0.09863340622821831,0.21014776091987464,0.3580336631933095,0.052565870833338045,0.3187331237178646,-0.02298164294422678,-0.06627312706238159,0.02777206279518203,0.13426146764317592,0.14379330833339393,0.15461760899352464,0.3201094280861834,0.13084807195817155,-0.14289808389256362,0.0726870968705952
quality,0.15389091416465345,0.14617445851420224,0.07329171489566318,0.09184269918074485,0.09863340622821831,1.0,0.09535269099636633,-0.010668656776688766,0.008103592774633607,0.2552440793481718,0.12361510329570881,0.054825919014278725,0.56531314981253,-0.03634660833828931,-0.15493233778499668,-0.03740462281178221,0.11747283907042776,-0.1809922535250834,-0.087143688737969,-0.12592356941249327
relator,0.04023642469939017,-0.11700408087676978,0.36467063510958403,0.11798902653663736,0.21014776091987464,0.09535269099636633,1.0,0.41845044680921456,0.20625671481662936,0.27252927481953493,0.10278987444507673,-0.18927913537596197,0.22211033035913477,0.34057587590022304,0.28817035095306026,0.2768358799858609,0.7296704939062708,0.26750649486273487,-0.09885572094822002,0.24689999538434615
role,0.001941942722139325,-0.09461019345365175,0.38650836104573205,0.14705406121857528,0.3580336631933095,-0.010668656776688766,0.41845044680921456,1.0,0.08139624555907327,0.17075456647255036,0.016260727211309164,0.006299785818287051,0.04946478558650024,0.14268334560016646,0.2549411156864724,0.19290804800285954,0.42359027009866834,0.21555518948176083,0.025855360885849464,0.05664862259953539
roleMixin,0.3239298062477049,0.2698776794239502,-0.18950045061688214,0.2628073853597932,0.052565870833338045,0.008103592774633607,0.20625671481662936,0.08139624555907327,1.0,-0.05243727977346417,0.4013329272653123,0.12578783548970246,0.2598668297479841,0.09387719407091955,0.09025668196634572,0.05004364251516498,0.2536246790660656,0.09518331564890216,0.1601828484137729,0.23821107371454828
subkind,0.2677117319788486,-0.016878782158023093,0.5646233840215196,0.13713958525660278,0.3187331237178646,0.2552440793481718,0.27252927481953493,0.17075456647255036,-0.05243727977346417,1.0,0.06646755265415201,-0.14938915829182836,0.14264710172743605,0.32162621322996243,-0.010895709811639927,0.26741438542944845,0.30214997116083103,0.18991098401842826,-0.13519138016251686,-0.06604195125204808
