Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,26,0.23214285714285715,11,0.09821428571428571,0.004121750158528852,0.02018348623853211
characterization,455,4.0625,61,0.5446428571428571,0.07213062777425491,0.11192660550458716
comparative,28,0.25,5,0.044642857142857144,0.004438807863031071,0.009174311926605505
componentOf,445,3.9732142857142856,38,0.3392857142857143,0.07054533925174382,0.06972477064220184
creation,43,0.38392857142857145,15,0.13392857142857142,0.006816740646797717,0.027522935779816515
derivation,176,1.5714285714285714,34,0.30357142857142855,0.027901077996195307,0.062385321100917435
externalDependence,73,0.6517857142857143,21,0.1875,0.011572606214331009,0.03853211009174312
historicalDependence,35,0.3125,14,0.125,0.00554850982878884,0.025688073394495414
instantiation,63,0.5625,15,0.13392857142857142,0.009987317691819911,0.027522935779816515
manifestation,34,0.30357142857142855,12,0.10714285714285714,0.00538998097653773,0.022018348623853212
material,537,4.794642857142857,48,0.42857142857142855,0.08512999365884591,0.08807339449541285
mediation,1737,15.508928571428571,71,0.6339285714285714,0.27536461636017756,0.13027522935779817
memberOf,170,1.5178571428571428,26,0.23214285714285715,0.026949904882688648,0.047706422018348627
participation,146,1.3035714285714286,25,0.22321428571428573,0.023145212428662017,0.045871559633027525
participational,9,0.08035714285714286,3,0.026785714285714284,0.0014267596702599874,0.005504587155963303
subCollectionOf,19,0.16964285714285715,4,0.03571428571428571,0.0030120481927710845,0.007339449541284404
subQuantityOf,3,0.026785714285714284,2,0.017857142857142856,0.0004755865567533291,0.003669724770642202
termination,3,0.026785714285714284,2,0.017857142857142856,0.0004755865567533291,0.003669724770642202
triggers,15,0.13392857142857142,9,0.08035714285714286,0.0023779327837666455,0.01651376146788991
none,1798,16.053571428571427,96,0.8571428571428571,0.28503487634749525,0.1761467889908257
other,493,4.401785714285714,33,0.29464285714285715,0.07815472415979709,0.060550458715596334
