Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,96,1,96,17.61467889908257
mediation,71,2,167,30.642201834862387
characterization,61,3,228,41.8348623853211
material,48,4,276,50.64220183486239
componentOf,38,5,314,57.61467889908257
derivation,34,6,348,63.853211009174316
other,33,7,381,69.90825688073394
memberOf,26,8,407,74.6788990825688
participation,25,9,432,79.26605504587157
externalDependence,21,10,453,83.11926605504587
instantiation,15,11,468,85.87155963302753
creation,15,12,483,88.62385321100918
historicalDependence,14,13,497,91.19266055045871
manifestation,12,14,509,93.39449541284404
bringsAbout,11,15,520,95.41284403669725
triggers,9,16,529,97.06422018348624
comparative,5,17,534,97.9816513761468
subCollectionOf,4,18,538,98.71559633027523
participational,3,19,541,99.26605504587155
subQuantityOf,2,20,543,99.63302752293578
termination,2,21,545,100.0
