year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.001834862385321101,0.0,0.001834862385321101,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.001834862385321101,0.001834862385321101,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.001834862385321101,0.001834862385321101
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001834862385321101,0.0
2011,0.0,0.0,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001834862385321101
2012,0.0,0.0,0.0,0.0,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.003669724770642202,0.003669724770642202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003669724770642202,0.001834862385321101
2013,0.0,0.0,0.0,0.001834862385321101,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.001834862385321101,0.001834862385321101,0.003669724770642202,0.0,0.0,0.003669724770642202,0.0,0.0,0.0,0.0,0.001834862385321101
2014,0.0,0.0,0.0,0.001834862385321101,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003669724770642202,0.0
2015,0.0,0.011009174311926606,0.0,0.011009174311926606,0.0,0.007339449541284404,0.001834862385321101,0.0,0.0,0.0,0.009174311926605505,0.012844036697247707,0.009174311926605505,0.0,0.0,0.003669724770642202,0.003669724770642202,0.0,0.0,0.012844036697247707,0.011009174311926606
2016,0.0,0.005504587155963303,0.001834862385321101,0.001834862385321101,0.0,0.0,0.001834862385321101,0.0,0.0,0.0,0.001834862385321101,0.005504587155963303,0.003669724770642202,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,0.005504587155963303,0.003669724770642202
2017,0.0,0.001834862385321101,0.0,0.003669724770642202,0.0,0.001834862385321101,0.0,0.0,0.0,0.0,0.009174311926605505,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014678899082568808,0.003669724770642202
2018,0.001834862385321101,0.007339449541284404,0.0,0.005504587155963303,0.0,0.001834862385321101,0.001834862385321101,0.001834862385321101,0.001834862385321101,0.001834862385321101,0.005504587155963303,0.011009174311926606,0.003669724770642202,0.001834862385321101,0.0,0.0,0.0,0.0,0.001834862385321101,0.01651376146788991,0.003669724770642202
2019,0.0,0.007339449541284404,0.0,0.003669724770642202,0.0,0.005504587155963303,0.0,0.001834862385321101,0.001834862385321101,0.001834862385321101,0.005504587155963303,0.011009174311926606,0.005504587155963303,0.001834862385321101,0.0,0.0,0.0,0.0,0.0,0.012844036697247707,0.009174311926605505
2020,0.0,0.011009174311926606,0.0,0.005504587155963303,0.003669724770642202,0.009174311926605505,0.003669724770642202,0.0,0.003669724770642202,0.001834862385321101,0.007339449541284404,0.012844036697247707,0.0,0.005504587155963303,0.0,0.0,0.0,0.0,0.003669724770642202,0.025688073394495414,0.009174311926605505
2021,0.007339449541284404,0.023853211009174313,0.001834862385321101,0.012844036697247707,0.005504587155963303,0.007339449541284404,0.011009174311926606,0.005504587155963303,0.007339449541284404,0.007339449541284404,0.014678899082568808,0.02018348623853211,0.005504587155963303,0.011009174311926606,0.001834862385321101,0.0,0.0,0.0,0.003669724770642202,0.027522935779816515,0.005504587155963303
2022,0.003669724770642202,0.01834862385321101,0.0,0.005504587155963303,0.007339449541284404,0.009174311926605505,0.011009174311926606,0.011009174311926606,0.009174311926605505,0.003669724770642202,0.011009174311926606,0.02018348623853211,0.003669724770642202,0.009174311926605505,0.001834862385321101,0.0,0.0,0.001834862385321101,0.003669724770642202,0.023853211009174313,0.003669724770642202
2023,0.003669724770642202,0.014678899082568808,0.001834862385321101,0.009174311926605505,0.007339449541284404,0.011009174311926606,0.005504587155963303,0.0,0.001834862385321101,0.001834862385321101,0.009174311926605505,0.02018348623853211,0.009174311926605505,0.007339449541284404,0.0,0.0,0.0,0.001834862385321101,0.001834862385321101,0.01834862385321101,0.001834862385321101
2024,0.003669724770642202,0.009174311926605505,0.003669724770642202,0.003669724770642202,0.003669724770642202,0.001834862385321101,0.001834862385321101,0.005504587155963303,0.001834862385321101,0.003669724770642202,0.005504587155963303,0.007339449541284404,0.001834862385321101,0.007339449541284404,0.001834862385321101,0.0,0.0,0.0,0.001834862385321101,0.007339449541284404,0.001834862385321101
