Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
category,0.0,2.070234166319314,0.5584123412543139,0.256917704021037,0.24100904104963994,0.7542866906892611,0.0,0.0,1.2175890483310008,0.5143261642343753,1.0250280187360958,0.6025833897901168,0.0,0.26632770492744984,0.3809867522643225,1.0827034181841786,1.1814799473685986,0.9956002216563818,0.25514279455842276,1.1696576362135744,0.6717433894464844
collective,0.0,0.5584123412543139,1.0706271189859256,0.30419315473018704,0.14685688700411625,0.1696940323250195,0.0,0.0,0.6224047219228259,0.38796769289644156,0.5702857518299106,0.2556618139216573,0.0,0.1113108777446319,0.26608423044556734,0.5948520443430907,0.6504497778242944,0.4817080713842281,0.06204696533617225,0.5903597631275337,0.39652335461416693
datatype,0.0,0.256917704021037,0.30419315473018704,0.5849236780394395,0.08162439650033618,0.15200437746469964,0.0,0.0,0.3226849941521634,0.30329455641292186,0.306439646628083,0.11650857644571341,0.0,0.08162439650033618,0.2046942201155975,0.28618372490539296,0.32176135721322874,0.16399362335742268,0.08126437127865652,0.3653804318043621,0.17262332942911268
enumeration,0.0,0.24100904104963994,0.14685688700411625,0.08162439650033618,0.4728646678699162,0.11103738581414525,0.0,0.0,0.345872159365479,0.19123554624339864,0.2654726549775284,0.1382922045943323,0.0,0.12584843036893617,0.24228238716842315,0.28030363827501154,0.28454295352856124,0.22164681315624218,0.08162439650033618,0.25332142163483884,0.13563705109725369
event,0.0,0.7542866906892611,0.1696940323250195,0.15200437746469964,0.11103738581414525,1.658823375498504,0.0,0.0,0.7350862389912215,0.3409894224509763,0.8011155153550703,0.3841461570998039,0.0,0.21412266071445457,0.19192533335414774,0.8134766644013056,0.888348893934513,0.9018695004690052,0.5359610497090692,0.9493935107610719,0.5366087820185056
historicalRole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind,0.0,1.2175890483310008,0.6224047219228259,0.3226849941521634,0.345872159365479,0.7350862389912215,0.0,0.0,2.3709477979566334,0.42130352456746684,0.9384841364849745,0.546062019369979,0.0,0.17404875851021132,0.3270599407821266,1.2901956411139313,1.4339746439252181,0.9057668556786848,0.1812446503638957,1.3212493691578584,0.47234305719977515
mixin,0.0,0.5143261642343753,0.38796769289644156,0.30329455641292186,0.19123554624339864,0.3409894224509763,0.0,0.0,0.42130352456746684,0.9050719308900508,0.6265878994786942,0.41186798303901073,0.0,0.21826159544077586,0.38365818057063306,0.6157396736623506,0.7494712747812275,0.4616053650796996,0.11855296833017104,0.5658345830416515,0.5417342106100942
mode,0.0,1.0250280187360958,0.5702857518299106,0.306439646628083,0.2654726549775284,0.8011155153550703,0.0,0.0,0.9384841364849745,0.6265878994786942,1.6932039978125475,0.49795197244160333,0.0,0.12812395682272476,0.4004832490874697,1.0121707139418854,1.0380803151447229,1.032164649431853,0.1263138104333775,1.076536437543372,0.655498041922404
phase,0.0,0.6025833897901168,0.2556618139216573,0.11650857644571341,0.1382922045943323,0.3841461570998039,0.0,0.0,0.546062019369979,0.41186798303901073,0.49795197244160333,0.9627473303381335,0.0,0.08932957626396207,0.3297988932314841,0.5801936644028662,0.6946208263600973,0.6048914478460066,0.10309195737482756,0.6555061728239904,0.29654969656032587
phaseMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality,0.0,0.26632770492744984,0.1113108777446319,0.08162439650033618,0.12584843036893617,0.21412266071445457,0.0,0.0,0.17404875851021132,0.21826159544077586,0.12812395682272476,0.08932957626396207,0.0,0.4728646678699162,0.12818121920555864,0.22262823882692861,0.22686755408047837,0.2778405702670298,0.1593522818350792,0.22507381926646997,0.21162572862500123
quantity,0.0,0.3809867522643225,0.26608423044556734,0.2046942201155975,0.24228238716842315,0.19192533335414774,0.0,0.0,0.3270599407821266,0.38365818057063306,0.4004832490874697,0.3297988932314841,0.0,0.12818121920555864,0.5537526154099185,0.33435834767324213,0.4336979685605799,0.21692407737802058,0.12696633478085448,0.35014459095801115,0.21652499863725627
relator,0.0,1.0827034181841786,0.5948520443430907,0.28618372490539296,0.28030363827501154,0.8134766644013056,0.0,0.0,1.2901956411139313,0.6157396736623506,1.0121707139418854,0.5801936644028662,0.0,0.22262823882692861,0.33435834767324213,2.2716081770692957,1.2627993112692417,1.077378689796336,0.2600454115522549,1.255680848067391,0.6039408546540918
role,0.0,1.1814799473685986,0.6504497778242944,0.32176135721322874,0.28454295352856124,0.888348893934513,0.0,0.0,1.4339746439252181,0.7494712747812275,1.0380803151447229,0.6946208263600973,0.0,0.22686755408047837,0.4336979685605799,1.2627993112692417,2.3062305493898454,0.9770394757444059,0.2358383553967769,1.234402730402472,0.7148181976860947
roleMixin,0.0,0.9956002216563818,0.4817080713842281,0.16399362335742268,0.22164681315624218,0.9018695004690052,0.0,0.0,0.9057668556786848,0.4616053650796996,1.032164649431853,0.6048914478460066,0.0,0.2778405702670298,0.21692407737802058,1.077378689796336,0.9770394757444059,1.7939579829264827,0.24809514000754138,1.0134360996700822,0.6250888191720035
situation,0.0,0.25514279455842276,0.06204696533617225,0.08126437127865652,0.08162439650033618,0.5359610497090692,0.0,0.0,0.1812446503638957,0.11855296833017104,0.1263138104333775,0.10309195737482756,0.0,0.1593522818350792,0.12696633478085448,0.2600454115522549,0.2358383553967769,0.24809514000754138,0.5849236780394395,0.19610282142600055,0.13707732016962831
subkind,0.0,1.1696576362135744,0.5903597631275337,0.3653804318043621,0.25332142163483884,0.9493935107610719,0.0,0.0,1.3212493691578584,0.5658345830416515,1.076536437543372,0.6555061728239904,0.0,0.22507381926646997,0.35014459095801115,1.255680848067391,1.234402730402472,1.0134360996700822,0.19610282142600055,2.265340986391125,0.633678777474716
type,0.0,0.6717433894464844,0.39652335461416693,0.17262332942911268,0.13563705109725369,0.5366087820185056,0.0,0.0,0.47234305719977515,0.5417342106100942,0.655498041922404,0.29654969656032587,0.0,0.21162572862500123,0.21652499863725627,0.6039408546540918,0.7148181976860947,0.6250888191720035,0.13707732016962831,0.633678777474716,0.8984360640742763
