Stereotype,category,collective,event,kind,mixin,mode,phase,relator,role,roleMixin,subkind,type,none,other
category,1.0,0.3388713552990358,0.046099489352494576,0.476055984365645,0.46169926863763017,0.5015836916682662,0.42881373166206543,0.319816974177032,0.33570999518310524,0.46522269209266365,0.6118837669146492,0.5268882257474768,0.07533215196309698,0.06535500370509356
collective,0.3388713552990358,1.0,-0.381965378575384,0.28406929624634,0.33702071125709576,0.4018601868775284,0.167696352676516,0.1857153102404179,0.12085179645571567,0.14069450338976297,0.23026916771794456,0.23974067839416452,-0.175551569596843,-0.12283387086332509
event,0.046099489352494576,-0.381965378575384,1.0,-0.32135761529072876,0.029956566689925312,0.13289861934587716,-0.05218849262776773,-0.41209136485519976,0.008000748998630096,0.27257662332629273,-0.008985459426924249,0.30522443880711253,0.5085913786941105,0.36447553624373896
kind,0.476055984365645,0.28406929624634,-0.32135761529072876,1.0,0.15936359966337765,0.2185605489722541,0.1629767542129647,0.3424072465347157,0.5350945624019946,-0.05273816226918011,0.5561542335602263,0.22698007232399992,-0.012256629917128262,-0.08279856773661144
mixin,0.46169926863763017,0.33702071125709576,0.029956566689925312,0.15936359966337765,1.0,0.46234749149610677,0.4497240534317818,0.30081488191742106,0.48366993933031577,0.27779187695259466,0.2445049868519026,0.5593315775218703,0.055404220528724214,0.013205878851778614
mode,0.5015836916682662,0.4018601868775284,0.13289861934587716,0.2185605489722541,0.46234749149610677,1.0,0.21105895166146535,0.2381043371194264,0.2682573794991395,0.5064204822950009,0.22463970160358876,0.47273331449219663,0.2940184956385167,0.1059009639364744
phase,0.42881373166206543,0.167696352676516,-0.05218849262776773,0.1629767542129647,0.4497240534317818,0.21105895166146535,1.0,0.18210522305759674,0.4029320013137426,0.3844678989428518,0.3581066716709065,0.17860833927074551,0.04104002298241931,-0.05673200287054941
relator,0.319816974177032,0.1857153102404179,-0.41209136485519976,0.3424072465347157,0.30081488191742106,0.2381043371194264,0.18210522305759674,1.0,0.49941715040098666,0.3884201296050317,0.10442346958507316,0.2841077150474624,-0.15795780244998314,-0.012250605524598045
role,0.33570999518310524,0.12085179645571567,0.008000748998630096,0.5350945624019946,0.48366993933031577,0.2682573794991395,0.4029320013137426,0.49941715040098666,1.0,0.21484691533734787,0.26382217642397354,0.42547750038458954,0.10849708416589751,0.03300766197836774
roleMixin,0.46522269209266365,0.14069450338976297,0.27257662332629273,-0.05273816226918011,0.27779187695259466,0.5064204822950009,0.3844678989428518,0.3884201296050317,0.21484691533734787,1.0,0.1779448889505285,0.4385873060375596,0.20275186035252094,0.0031414328848897843
subkind,0.6118837669146492,0.23026916771794456,-0.008985459426924249,0.5561542335602263,0.2445049868519026,0.22463970160358876,0.3581066716709065,0.10442346958507316,0.26382217642397354,0.1779448889505285,1.0,0.32180256884405634,-0.007731466168939872,-0.1691513092739067
type,0.5268882257474768,0.23974067839416452,0.30522443880711253,0.22698007232399992,0.5593315775218703,0.47273331449219663,0.17860833927074551,0.2841077150474624,0.42547750038458954,0.4385873060375596,0.32180256884405634,1.0,0.2812780087923288,0.213051602372022
none,0.07533215196309698,-0.175551569596843,0.5085913786941105,-0.012256629917128262,0.055404220528724214,0.2940184956385167,0.04104002298241931,-0.15795780244998314,0.10849708416589751,0.20275186035252094,-0.007731466168939872,0.2812780087923288,1.0,0.04558655366841659
other,0.06535500370509356,-0.12283387086332509,0.36447553624373896,-0.08279856773661144,0.013205878851778614,0.1059009639364744,-0.05673200287054941,-0.012250605524598045,0.03300766197836774,0.0031414328848897843,-0.1691513092739067,0.213051602372022,0.04558655366841659,1.0
