year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0.0,0.0011541632316570487,0.00016488046166529267,0.00032976092333058534,0.0,0.0,0.0,0.0,0.001483924154987634,0.00032976092333058534,0.0006595218466611707,0.0006595218466611707,0.0,0.0,0.00016488046166529267,0.000494641384995878,0.0011541632316570487,0.0,0.0,0.000494641384995878,0.0,0.0,0.0
2007,0.0,0.000494641384995878,0.0,0.00016488046166529267,0.0,0.00032976092333058534,0.0,0.0,0.0006595218466611707,0.0,0.00016488046166529267,0.0,0.0,0.0,0.0,0.0,0.0,0.00016488046166529267,0.0,0.0006595218466611707,0.0,0.0,0.0006595218466611707
2011,0.0,0.0006595218466611707,0.0,0.0,0.0,0.0,0.0,0.0,0.0008244023083264633,0.0,0.0,0.000494641384995878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000494641384995878,0.0,0.0,0.0
2012,0.0,0.0018136850783182193,0.0,0.0,0.0,0.0,0.0,0.0,0.006265457543281121,0.0,0.0,0.0,0.0,0.0,0.0,0.0026380873866446827,0.001483924154987634,0.0,0.0,0.0069249793899422915,0.0,0.0,0.0
2013,0.0,0.0,0.001483924154987634,0.000494641384995878,0.0,0.0,0.0,0.0,0.0018136850783182193,0.0,0.0,0.0,0.0,0.0,0.0,0.00032976092333058534,0.000494641384995878,0.0,0.0,0.004451772464962902,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011541632316570487,0.0,0.0,0.0,0.0,0.0,0.0,0.0008244023083264633,0.0008244023083264633,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.033305853256389115,0.008408903544929926,0.000494641384995878,0.003792250618301731,0.0031327287716405605,0.0,0.0,0.09035449299258037,0.009068425391591096,0.03907666941467436,0.01995053586150041,0.0,0.00032976092333058534,0.004286892003297609,0.1393239901071723,0.22192910140148392,0.04765045342126958,0.000989282769991756,0.1439406430338005,0.01747732893652102,0.02605111294311624,0.00247320692497939
2016,0.0,0.0067600989282769995,0.0006595218466611707,0.00016488046166529267,0.0,0.0011541632316570487,0.0,0.0,0.001483924154987634,0.001483924154987634,0.0036273701566364386,0.0,0.0,0.0011541632316570487,0.000494641384995878,0.0031327287716405605,0.0023083264633140975,0.001483924154987634,0.00016488046166529267,0.0067600989282769995,0.001483924154987634,0.0,0.0013190436933223414
2017,0.0,0.002802967848309975,0.0,0.0,0.0,0.016488046166529265,0.0,0.0,0.007089859851607584,0.00016488046166529267,0.0023083264633140975,0.0011541632316570487,0.0,0.0,0.000494641384995878,0.00247320692497939,0.008573784006595218,0.001978565539983512,0.0006595218466611707,0.003792250618301731,0.0034624896949711458,0.010387469084913437,0.004122011541632316
2018,0.0,0.004451772464962902,0.0008244023083264633,0.0,0.00032976092333058534,0.004286892003297609,0.0,0.0,0.00560593569661995,0.00016488046166529267,0.002967848309975268,0.00032976092333058534,0.0,0.0006595218466611707,0.0,0.00494641384995878,0.001483924154987634,0.005111294311624073,0.000989282769991756,0.007089859851607584,0.000494641384995878,0.002802967848309975,0.001978565539983512
