Stereotype,average_quantity,rank,proportion
bringsAbout,0,9,0.0
characterization,4,6,0.0425531914893617
comparative,0,9,0.0
componentOf,8,4,0.0851063829787234
creation,0,9,0.0
derivation,3,7,0.031914893617021274
externalDependence,0,9,0.0
historicalDependence,0,9,0.0
instantiation,0,9,0.0
manifestation,0,9,0.0
material,8,4,0.0851063829787234
mediation,40,1,0.425531914893617
memberOf,3,7,0.031914893617021274
participation,0,9,0.0
participational,0,9,0.0
subCollectionOf,0,9,0.0
subQuantityOf,0,9,0.0
termination,0,9,0.0
triggers,0,9,0.0
none,19,2,0.20212765957446807
other,9,3,0.09574468085106383
