Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0,0.0,0.0,41,Q3
category,0.03231486276540652,0.7105263157894737,0.7112607790289789,5,Q1
collective,0.0072501294665976174,0.3157894736842105,0.31587268965048737,16,Q1
datatype,0.0010357327809425167,0.15789473684210525,0.15789813382314305,24,Q3
enumeration,0.002589331952356292,0.10526315789473684,0.10529500011839019,26,Q3
event,0.015950284826514758,0.42105263157894735,0.42135463702871917,13,Q1
historicalRole,0.0,0.0,0.0,41,Q3
historicalRoleMixin,0.0,0.0,0.0,41,Q3
kind,0.0733298808907302,0.7631578947368421,0.7666728400893159,2,Q1
mixin,0.007042982910409114,0.23684210526315788,0.2369468008515014,19,Q1
mode,0.0306576903158985,0.4473684210526316,0.44841766036880193,10,Q1
phase,0.01418953909891248,0.23684210526315788,0.23726678200988086,18,Q1
phaseMixin,0.0,0.0,0.0,41,Q3
quality,0.001346452615225272,0.10526315789473684,0.10527176898208439,28,Q3
quantity,0.0034179181771103054,0.13157894736842105,0.1316233321081302,25,Q3
relator,0.09684101501812532,0.7368421052631579,0.7431786260909172,3,Q1
role,0.14966338684619368,0.6842105263157895,0.7003878737411171,6,Q1
roleMixin,0.03542206110823407,0.5,0.5012531520231623,8,Q1
situation,0.0017607457276022785,0.15789473684210525,0.15790455391772254,23,Q3
subkind,0.10968410150181253,0.7105263157894737,0.7189424507925671,4,Q1
type,0.014396685655100983,0.21052631578947367,0.21101799496190124,21,Q1
none_c,0.0246504401864319,0.18421052631578946,0.18585252811550618,22,Q1
other_c,0.0066286897980321075,0.23684210526315788,0.23693484833161055,20,Q1
bringsAbout,0.00031071983428275507,0.02631578947368421,0.026317623799246872,34,Q3
characterization,0.018228896944588298,0.39473684210526316,0.3951575220074292,14,Q1
comparative,0.0015535991714137752,0.02631578947368421,0.026361609321296872,32,Q3
componentOf,0.03397203521491455,0.42105263157894735,0.4224209011592586,12,Q1
creation,0.0,0.0,0.0,41,Q3
derivation,0.01232522009321595,0.2631578947368421,0.26344636762095064,17,Q1
externalDependence,0.0010357327809425167,0.07894736842105263,0.07895416216389695,29,Q3
historicalDependence,0.0005178663904712584,0.02631578947368421,0.026320884506825532,33,Q3
instantiation,0.00020714655618850336,0.02631578947368421,0.026316604745274596,36,Q3
manifestation,0.00031071983428275507,0.02631578947368421,0.026317623799246872,34,Q3
material,0.03231486276540652,0.5,0.5010431621682379,9,Q1
mediation,0.13899533920248575,0.5526315789473685,0.5698432822889778,7,Q1
memberOf,0.013878819264629725,0.3157894736842105,0.316094310790199,15,Q1
participation,0.0015535991714137752,0.05263157894736842,0.052654503823305485,30,Q3
participational,0.0,0.0,0.0,41,Q3
subCollectionOf,0.001967892283790782,0.10526315789473684,0.10528155113795057,27,Q3
subQuantityOf,0.00031071983428275507,0.05263157894736842,0.05263249613412317,31,Q3
termination,0.0,0.0,0.0,41,Q3
triggers,0.00020714655618850336,0.02631578947368421,0.026316604745274596,36,Q3
none_r,0.07581563956499224,0.8421052631578947,0.8455112568386514,1,Q1
other_r,0.038322112894873125,0.42105263157894735,0.4227929787689055,11,Q1
