Stereotype,average_quantity,rank,proportion
bringsAbout,0,7,0.0
characterization,4,4,0.06153846153846154
comparative,0,7,0.0
componentOf,8,2,0.12307692307692308
creation,0,7,0.0
derivation,3,5,0.046153846153846156
externalDependence,0,7,0.0
historicalDependence,0,7,0.0
instantiation,0,7,0.0
manifestation,0,7,0.0
material,8,2,0.12307692307692308
mediation,39,1,0.6
memberOf,3,5,0.046153846153846156
participation,0,7,0.0
participational,0,7,0.0
subCollectionOf,0,7,0.0
subQuantityOf,0,7,0.0
termination,0,7,0.0
triggers,0,7,0.0
