Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.2926976883388273,positive,weak
derivation,characterization,0.2509608863142369,positive,weak
material,characterization,0.05383819020581655,positive,very_weak
mediation,characterization,0.6183239636408276,positive,strong
memberOf,characterization,0.3779504272457185,positive,weak
subCollectionOf,characterization,0.07386538757544653,positive,very_weak
characterization,componentOf,0.2926976883388273,positive,weak
derivation,componentOf,0.3376412643274269,positive,weak
material,componentOf,0.31980107453341566,positive,weak
mediation,componentOf,0.23131745879431767,positive,weak
memberOf,componentOf,0.4526292652361884,positive,moderate
subCollectionOf,componentOf,0.22852263253972832,positive,weak
characterization,derivation,0.2509608863142369,positive,weak
componentOf,derivation,0.3376412643274269,positive,weak
material,derivation,0.5976143046671968,positive,moderate
mediation,derivation,0.4175041603260449,positive,moderate
memberOf,derivation,0.3653990743235176,positive,weak
subCollectionOf,derivation,0.37921302853198935,positive,weak
characterization,material,0.05383819020581655,positive,very_weak
componentOf,material,0.31980107453341566,positive,weak
derivation,material,0.5976143046671968,positive,moderate
mediation,material,0.26462806201248157,positive,weak
memberOf,material,0.22645540682891915,positive,weak
subCollectionOf,material,0.17149858514250882,positive,very_weak
characterization,mediation,0.6183239636408276,positive,strong
componentOf,mediation,0.23131745879431767,positive,weak
derivation,mediation,0.4175041603260449,positive,moderate
material,mediation,0.26462806201248157,positive,weak
memberOf,mediation,0.38352931482486374,positive,weak
subCollectionOf,mediation,0.13615001467243404,positive,very_weak
characterization,memberOf,0.3779504272457185,positive,weak
componentOf,memberOf,0.4526292652361884,positive,moderate
derivation,memberOf,0.3653990743235176,positive,weak
material,memberOf,0.22645540682891915,positive,weak
mediation,memberOf,0.38352931482486374,positive,weak
subCollectionOf,memberOf,0.5048781642974013,positive,moderate
characterization,subCollectionOf,0.07386538757544653,positive,very_weak
componentOf,subCollectionOf,0.22852263253972832,positive,weak
derivation,subCollectionOf,0.37921302853198935,positive,weak
material,subCollectionOf,0.17149858514250882,positive,very_weak
mediation,subCollectionOf,0.13615001467243404,positive,very_weak
memberOf,subCollectionOf,0.5048781642974013,positive,moderate
