Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.382677558442071,positive,weak
derivation,characterization,0.21310420668955146,positive,weak
material,characterization,0.06730738152083446,positive,very_weak
mediation,characterization,0.6598034848475057,positive,strong
memberOf,characterization,0.38469934556539837,positive,weak
characterization,componentOf,0.382677558442071,positive,weak
derivation,componentOf,0.4269202111692246,positive,moderate
material,componentOf,0.3757965783007417,positive,weak
mediation,componentOf,0.4371290621903509,positive,moderate
memberOf,componentOf,0.5697231605778025,positive,moderate
characterization,derivation,0.21310420668955146,positive,weak
componentOf,derivation,0.4269202111692246,positive,moderate
material,derivation,0.6954209711401158,positive,strong
mediation,derivation,0.5118405754373725,positive,moderate
memberOf,derivation,0.32750449729333714,positive,weak
characterization,material,0.06730738152083446,positive,very_weak
componentOf,material,0.3757965783007417,positive,weak
derivation,material,0.6954209711401158,positive,strong
mediation,material,0.4024654226054859,positive,moderate
memberOf,material,0.24596879363801735,positive,weak
characterization,mediation,0.6598034848475057,positive,strong
componentOf,mediation,0.4371290621903509,positive,moderate
derivation,mediation,0.5118405754373725,positive,moderate
material,mediation,0.4024654226054859,positive,moderate
memberOf,mediation,0.4627200892653107,positive,moderate
characterization,memberOf,0.38469934556539837,positive,weak
componentOf,memberOf,0.5697231605778025,positive,moderate
derivation,memberOf,0.32750449729333714,positive,weak
material,memberOf,0.24596879363801735,positive,weak
mediation,memberOf,0.4627200892653107,positive,moderate
