Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.12169240267806194,0.1216924026780617,0.000711324167105537,0.014640750528297192,0.0,0.008162642078356208,0.08521097212227532,0.12169240267806194,0.12169240267806194,0.12169240267806194,0.018596377361445995,0.06249922956029258,0.010149919339811506,0.12169240267806153,0.0,0.002968499821334833,0.0014424123546277617,0.0,0.12169240267806194,0.12169240267806192,0.014640750528297247
characterization,0.1216924026780617,1.5800916188154763,0.07144128412847117,0.7844814043403419,0.0,0.5605210913980226,0.3264420409566653,0.1216924026780617,0.1216924026780617,0.1216924026780617,0.6755125265948512,1.1587947783247041,0.5018747232910992,0.24267348118901838,0.0,0.26712159101248956,0.24267348118901835,0.0,0.1216924026780617,1.2762921039817465,0.9210472373466332
comparative,0.000711324167105537,0.07144128412847117,0.12169240267806194,0.07144128412847173,0.0,0.008162642078356208,0.0021943943838519386,0.000711324167105537,0.000711324167105537,0.000711324167105537,0.07144128412847131,0.08521097212227527,0.08521097212227541,0.0014424123546277617,0.0,0.002968499821334833,0.0014424123546277617,0.0,0.000711324167105537,0.12169240267806192,0.014640750528297247
componentOf,0.014640750528297192,0.7844814043403419,0.07144128412847173,1.5651258757987203,0.0,0.632287897486644,0.0633412249648875,0.014640750528297192,0.014640750528297192,0.014640750528297192,0.7978725812694947,0.8478631697191015,0.5233904108301296,0.029823783746830534,0.0,0.32511870910730667,0.19242236263942786,0.0,0.014640750528297192,1.0860396451478695,0.6838384545377121
creation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,0.008162642078356208,0.5605210913980226,0.008162642078356208,0.632287897486644,0.0,1.036351851058352,0.10035740157910847,0.008162642078356208,0.008162642078356208,0.008162642078356208,0.8264053222918114,0.7382689902287434,0.34842922111187935,0.016588841811460947,0.0,0.2594474275395968,0.18348030807124877,0.0,0.008162642078356208,0.7899238917360247,0.8287979618094065
externalDependence,0.08521097212227532,0.3264420409566653,0.0021943943838519386,0.0633412249648875,0.0,0.10035740157910847,0.3264420409566655,0.08521097212227532,0.08521097212227532,0.08521097212227532,0.07146161305953046,0.2169977492893055,0.08986396035088416,0.20619205063323134,0.0,0.009169405777979922,0.004451570038080471,0.0,0.08521097212227532,0.218819366895673,0.21939038880690087
historicalDependence,0.12169240267806194,0.1216924026780617,0.000711324167105537,0.014640750528297192,0.0,0.008162642078356208,0.08521097212227532,0.12169240267806194,0.12169240267806194,0.12169240267806194,0.018596377361445995,0.06249922956029258,0.010149919339811506,0.12169240267806153,0.0,0.002968499821334833,0.0014424123546277617,0.0,0.12169240267806194,0.12169240267806192,0.014640750528297247
instantiation,0.12169240267806194,0.1216924026780617,0.000711324167105537,0.014640750528297192,0.0,0.008162642078356208,0.08521097212227532,0.12169240267806194,0.12169240267806194,0.12169240267806194,0.018596377361445995,0.06249922956029258,0.010149919339811506,0.12169240267806153,0.0,0.002968499821334833,0.0014424123546277617,0.0,0.12169240267806194,0.12169240267806192,0.014640750528297247
manifestation,0.12169240267806194,0.1216924026780617,0.000711324167105537,0.014640750528297192,0.0,0.008162642078356208,0.08521097212227532,0.12169240267806194,0.12169240267806194,0.12169240267806194,0.018596377361445995,0.06249922956029258,0.010149919339811506,0.12169240267806153,0.0,0.002968499821334833,0.0014424123546277617,0.0,0.12169240267806194,0.12169240267806192,0.014640750528297247
material,0.018596377361445995,0.6755125265948512,0.07144128412847131,0.7978725812694947,0.0,0.8264053222918114,0.07146161305953046,0.018596377361445995,0.018596377361445995,0.018596377361445995,1.6497990089365282,0.9789401863888789,0.3645066492472765,0.03794417184147386,0.0,0.3081842109848404,0.2426734811890183,0.0,0.018596377361445995,1.2574453273910542,0.8187627062251103
mediation,0.06249922956029258,1.1587947783247041,0.08521097212227527,0.8478631697191015,0.0,0.7382689902287434,0.2169977492893055,0.06249922956029258,0.06249922956029258,0.06249922956029258,0.9789401863888789,1.9394392497830824,0.6038957715442408,0.13322918952165852,0.0,0.34585564680037084,0.24267348118901835,0.0,0.06249922956029258,1.4238715885764448,1.036313085222762
memberOf,0.010149919339811506,0.5018747232910992,0.08521097212227541,0.5233904108301296,0.0,0.34842922111187935,0.08986396035088416,0.010149919339811506,0.010149919339811506,0.010149919339811506,0.3645066492472765,0.6038957715442408,1.0141869135072148,0.06528857370100652,0.0,0.336495757583516,0.18348030807124935,0.0,0.010149919339811506,0.644544974523724,0.579989795730464
participation,0.12169240267806153,0.24267348118901838,0.0014424123546277617,0.029823783746830534,0.0,0.016588841811460947,0.20619205063323134,0.12169240267806153,0.12169240267806153,0.12169240267806153,0.03794417184147386,0.13322918952165852,0.06528857370100652,0.24267348118901835,0.0,0.0060232457322224875,0.0029254825713746074,0.0,0.12169240267806153,0.17153223768381232,0.13562182903925335
participational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subCollectionOf,0.002968499821334833,0.26712159101248956,0.002968499821334833,0.32511870910730667,0.0,0.2594474275395968,0.009169405777979922,0.002968499821334833,0.002968499821334833,0.002968499821334833,0.3081842109848404,0.34585564680037084,0.336495757583516,0.0060232457322224875,0.0,0.48242147980666217,0.24267348118901835,0.0,0.002968499821334833,0.30895638159590794,0.3753698276568973
