Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.0008356545961002785,0.02631578947368421,0.026329054184061607,15,Q3
characterization,0.04902506963788301,0.39473684210526316,0.3977695714458746,6,Q1
comparative,0.004178272980501393,0.02631578947368421,0.02664542626273516,13,Q4
componentOf,0.09136490250696379,0.42105263157894735,0.4308513246697331,5,Q1
creation,0.0,0.0,0.0,20,Q3
derivation,0.03314763231197772,0.2631578947368421,0.2652373335151312,8,Q1
externalDependence,0.002785515320334262,0.07894736842105263,0.07899649407542865,10,Q2
historicalDependence,0.001392757660167131,0.02631578947368421,0.026352619405349876,14,Q3
instantiation,0.0005571030640668524,0.02631578947368421,0.026321685725790078,17,Q3
manifestation,0.0008356545961002785,0.02631578947368421,0.026329054184061607,15,Q3
material,0.08690807799442897,0.5,0.507496811833026,3,Q1
mediation,0.3738161559888579,0.5526315789473685,0.6671882646810776,2,Q1
memberOf,0.03732590529247911,0.3157894736842105,0.3179877590342965,7,Q1
participation,0.004178272980501393,0.05263157894736842,0.05279716912479932,11,Q1
participational,0.0,0.0,0.0,20,Q3
subCollectionOf,0.0052924791086350976,0.10526315789473684,0.10539612300785849,9,Q1
subQuantityOf,0.0008356545961002785,0.05263157894736842,0.052638212556061,12,Q2
termination,0.0,0.0,0.0,20,Q3
triggers,0.0005571030640668524,0.02631578947368421,0.026321685725790078,17,Q3
none,0.20389972144846796,0.8421052631578947,0.866438901853437,1,Q1
other,0.10306406685236769,0.42105263157894735,0.4334830105502476,4,Q1
